,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Patrick Gray,"Weve got a slightly different edition of the show this week Alex Stamos is filling in for Adam Boileau this week in the news slot. Most of you know him as Facebooks recently departed chief security officer. Alex also served as the CSO at Yahoo for a time, but… [+1646 chars]","We’ve got a slightly different edition of the show this week – Alex Stamos is filling in for Adam Boileau this week in the news slot. Most of you know him as Facebook’s recently departed chief security officer. Alex also served as the CSO at Yahoo for a time,…",2018-11-28T00:00:00Z,"{'id': None, 'name': 'Risky.biz'}","Risky Business #522 -- Alex Stamos co-hosts the show, reflects on Snowden disclosures",https://risky.biz/RB522/,,220
1,Shobhit Kumar,"[Total: 0 Average: 0/5] How To Share All Cryptocurrency Wallet Addresses In A Single Link reviewed by Shobhit Kumar on November 27, 2018 rated 4.3 of 5 The immense price hike of Bitcoin last year rapidly increased the growth of cryptocurrencies. As a result, … [+3784 chars]",This article talks about a free crypto wallet that lets you share all cryptocurrency wallet addresses in a single link with other info for authenticity. The post How To Share All Cryptocurrency Wallet Addresses In A Single Link appeared first on I Love Free S…,2018-11-28T00:00:18Z,"{'id': None, 'name': 'Ilovefreesoftware.com'}",How To Share All Cryptocurrency Wallet Addresses In A Single Link,http://www.ilovefreesoftware.com/27/webware/how-to-share-all-cryptocurrency-wallet-addresses-in-a-single-link.html,http://cdn.ilovefreesoftware.com/wp-content/uploads/2018/11/free_crypto_wallet_manager-ilfs-Single-1.png,124
2,Sputnik,,"A Pakistan-born resident of Long Island, New York, admitted to using bitcoin to defraud a number of financial institutions in a cryptocurrency scheme to aid Daesh.",2018-11-28T00:09:03Z,"{'id': None, 'name': 'Sputniknews.com'}",Pakistani-American Woman Pleads Guilty to Wiring Bitcoin to Daesh,https://sputniknews.com/us/201811281070186442-Pakistani-American-Woman-Bitcoin-Daesh/,https://cdn1.img.sputniknews.com/images/104879/39/1048793942.jpg,69
3,Sandeep Singh Ahluwalia,"The past two weeks have been very tough for Bitcoin ( BTC-USD ) investors. This is as the cryptocurrency ( COIN ) has fallen by 43.22% from $6,485 to $3,663. However, I believe the downfall will now slow down as I expect the cryptocurrency to commence a sidew… [+5280 chars]","In the prior two weeks, Bitcoin’s price has fallen by 43.22%. The U.S. Department of Justice has commenced an investigation into Tether. The technical picture o",2018-11-28T00:30:36Z,"{'id': None, 'name': 'Seekingalpha.com'}",A Slight Relief For Bitcoin Investors,https://seekingalpha.com/article/4224935-slight-relief-bitcoin-investors,https://static2.seekingalpha.com/images/marketing_images/fair_use_logos_products/sacl_bitcoin_bitcoin.jpeg,22
4,Theresa Braine,"As the price of bitcoin plummets, the cryptocurrency may be bottoming out, according to reports. On Tuesday, bitcoin was trading at $3,759.62, a 2.2% increase since its low at 5 p.m. on Monday on the Kraken crypto exchange, reported Marketwatch. “After droppi… [+1147 chars]","As the price of bitcoin plummets, the cryptocurrency may be bottoming out, according to reports. On Tuesday, bitcoin was trading at $3,759.62, a 2.2% increase since its low at 5 p.m. on Monday on the Kraken crypto exchange, reported Marketwatch. “After droppi…",2018-11-28T00:35:06Z,"{'id': None, 'name': 'Nydailynews.com'}",Bitcoin plunges another 7% amid fears it may bottom out,https://www.nydailynews.com/news/national/ny-news-bitcoin-cryptocurrency-slide-20181127-story.html,https://www.nydailynews.com/resizer/fSc3aw8aU9T7sNOC94CGoUuHIVs=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/FZT5NZP4TJHLHNKQG6A47V6DS4.jpg,251
5,P. H. Madore,"CCN is expanding. Are you our next full-time journalist from the West Coast USA? Send us your CV and examples here. Riggs Eckelberry is the CEO of OriginClear, a company which provides water treatment solutions, and Chairman of WaterChain, a token project whi… [+3745 chars]","Riggs Eckelberry is the CEO of OriginClear, a company which provides water treatment solutions, and Chairman of WaterChain, a token project which works to crowdsource water funding in an effort to alleviate suffering as a result of the ongoing global water cr…",2018-11-28T00:38:33Z,"{'id': 'crypto-coins-news', 'name': 'Crypto Coins News'}",WaterChain Chairman: Cryptocurrencies Will Create An Entirely New Economy,https://www.ccn.com/waterchain-chairman-cryptocurrencies-will-create-an-entirely-new-economy/,https://www.ccn.com/wp-content/uploads/2018/04/Bitcoin-Ethereum-Litecoin.jpg,105
6,Jonathan Garber,"Here is what you need to know. “Farm bankruptcies are surging as Trump’s trade war drags on.” The strain of low commodity prices on farmers and ranchers has been compounded by tariffs, causing at least 84 farm operations in the upper Midwest to file for bankr… [+2673 chars]","Here is what you need to know. ""Farm bankruptcies are surging as Trump's trade war drags on.""The strain of low commodity prices on farmers and ranchers has been compounded by tariffs, causing at least 84 farm operations in the upper Midwest to file for bankru…",2018-11-28T00:57:00Z,"{'id': None, 'name': 'Businessinsider.com.au'}",10 things things you need to know before the opening bell,https://www.businessinsider.com.au/stock-market-news-opening-bell-november-28-2018-2018-11,https://static.businessinsider.com/image/5bfe8254f556fc2ea921c4db-640.jpg,213
7,Georgi Georgiev,"Despite the tumbling state of the crypto market and the sharp decrease in Bitcoin price, venture capitalist and permabull Tim Draper remains overly positive on the future of cryptocurrencies. Meanwhile, Bitcoins dominance has been increasing since the first w… [+1885 chars]","Despite the tumbling state of the crypto market and the sharp decrease in Bitcoin price, venture capitalist and permabull Tim Draper remains overly positive on the future of cryptocurrencies. Meanwhile, Bitcoin’s dominance has been increasing since the first …",2018-11-28T01:00:13Z,"{'id': None, 'name': 'Bitcoinist.com'}",Venture Capitalist Tim Draper Holds Strong to Bitcoin as Dominance Rises,https://bitcoinist.com/venture-capitalist-tim-draper-holds-strong-on-bitcoin-as-dominance-moves-up/,https://bitcoinist.com/wp-content/uploads/2018/08/shutterstock_433833211.jpg,117
8,"By Michael Hiltzik, Los Angeles Times","Back in September 2017, when the price of bitcoin first broke the $5,000 barrier, I declared the crypto-currency ""still a dumb investment."" Ever since then, as the price moved past $10,000 and approached $20,000, bitcoin fanboyz dredged up the piece as a repr… [+5964 chars]","Back in September 2017, when the price of bitcoin first broke the $5,000 barrier, I declared the crypto-currency ""still a dumb investment."" Ever since then, as the price moved past $10,000 and approached $20,000, bitcoin fanboyz dredged up the piece…",2018-11-28T01:04:00Z,"{'id': None, 'name': 'Mctdirect.com'}",Michael Hiltzik: The latest bitcoin plunge is making its fans loopy,http://www.mctdirect.com/preview.php?id=201811272004MCT_____NEWS_SVC_24190284_0000,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/custom/image/4ce82390-59b2-11e6-a3c5-b77ec6e8d16d.png,205
9,alexmark,"The global monetary base is now shrinking, the last time this happened was in 2006. Time to get liquid? pic.twitter.com/E1B9fFmAUJ — Steve Saretsky (@SteveSaretsky) November 27, 2018 Imho it's a liquidity indicator. Liquidity going down (QT) and down goes Bit… [+1531 chars]",,2018-11-28T01:07:19Z,"{'id': None, 'name': 'Investmentwatchblog.com'}","The global monetary base is now shrinking, the last time this happened was in 2006. Time to get liquid?",http://www.investmentwatchblog.com/the-global-monetary-base-is-now-shrinking-the-last-time-this-happened-was-in-2006-time-to-get-liquid/,,152
