Date,Date,Price,Open,High,Low,volume,change_percentage
2018-12-04,2018-12-04,53.25,53.13,54.55,52.43,738.13K,0.57%
2018-12-05,2018-12-05,52.89,52.59,54.44,52.16,624.91K,-0.68%
2018-12-06,2018-12-06,51.49,52.93,53.3,50.08,987.27K,-2.65%
2018-12-07,2018-12-07,52.61,51.76,54.22,50.6,987.72K,2.18%
2018-12-10,2018-12-10,51.0,52.03,52.81,50.53,733.23K,-3.06%
2018-12-11,2018-12-11,51.65,50.89,52.43,50.7,665.26K,1.27%
2018-12-12,2018-12-12,51.15,51.95,52.88,50.94,730.81K,-0.97%
2018-12-13,2018-12-13,52.58,51.2,53.27,50.35,733.63K,2.80%
2018-12-14,2018-12-14,51.2,52.83,52.95,50.84,526.84K,-2.62%
2018-12-17,2018-12-17,49.88,51.25,51.87,49.01,211.26K,-2.58%
2018-12-18,2018-12-18,46.24,49.16,49.59,45.79,120.10K,-7.30%
2018-12-19,2018-12-19,47.2,45.93,48.0,45.93,37.16K,2.08%
2018-12-20,2018-12-20,45.88,47.39,47.51,45.67,794.13K,-2.80%
2018-12-21,2018-12-21,45.59,46.25,46.77,45.13,694.00K,-0.63%
2018-12-24,2018-12-24,42.53,45.45,46.24,42.36,415.86K,-6.71%
2018-12-25,2018-12-25,43.16,43.0,43.25,42.88,-,1.48%
2018-12-26,2018-12-26,46.22,42.85,47.0,42.52,698.41K,7.09%
2018-12-27,2018-12-27,44.61,46.58,46.7,44.37,665.59K,-3.48%
2018-12-28,2018-12-28,45.33,45.44,46.22,44.42,564.39K,1.61%
2018-12-31,2018-12-31,45.41,45.22,46.53,44.73,476.97K,0.18%
2019-01-01,2019-01-01,45.89,45.77,45.95,45.73,-,1.06%
2019-01-02,2019-01-02,46.54,45.8,47.78,44.35,850.48K,1.42%
2019-01-03,2019-01-03,47.09,46.26,47.49,45.35,788.72K,1.18%
2019-01-04,2019-01-04,47.96,46.9,49.22,46.65,817.28K,1.85%
2019-01-07,2019-01-07,48.52,48.3,49.79,48.11,819.94K,1.17%
2019-01-08,2019-01-08,49.78,48.73,49.95,48.31,765.98K,2.60%
2019-01-09,2019-01-09,52.36,49.8,52.58,49.71,891.92K,5.18%
2019-01-10,2019-01-10,52.59,52.18,52.78,51.37,821.78K,0.44%
2019-01-11,2019-01-11,51.59,52.28,53.31,51.18,812.34K,-1.90%
2019-01-14,2019-01-14,50.51,51.73,52.11,50.38,791.53K,-2.09%
2019-01-15,2019-01-15,52.11,50.78,52.3,50.64,664.18K,3.17%
2019-01-16,2019-01-16,52.31,52.0,52.52,51.26,694.18K,0.38%
2019-01-17,2019-01-17,52.07,52.3,52.58,50.98,288.56K,-0.46%
2019-01-18,2019-01-18,53.8,52.23,53.92,52.09,193.10K,3.32%
2019-01-20,2019-01-20,53.65,53.97,54.05,53.59,-,-0.28%
2019-01-21,2019-01-21,54.24,53.66,54.48,53.58,-,1.10%
2019-01-22,2019-01-22,52.57,53.73,54.24,51.8,46.03K,-3.08%
2019-01-23,2019-01-23,52.62,52.95,53.64,51.86,702.87K,0.10%
2019-01-24,2019-01-24,53.13,52.45,53.47,52.07,714.42K,0.97%
2019-01-25,2019-01-25,53.69,53.17,53.94,52.91,593.39K,1.05%
2019-01-28,2019-01-28,51.99,53.56,53.64,51.33,650.67K,-3.17%
2019-01-29,2019-01-29,53.31,52.12,53.93,51.84,660.53K,2.54%
2019-01-30,2019-01-30,54.23,53.24,54.93,53.09,731.31K,1.73%
2019-01-31,2019-01-31,53.79,54.28,55.37,53.62,718.65K,-0.81%
2019-02-01,2019-02-01,55.26,54.01,55.66,53.37,689.57K,2.73%
2019-02-04,2019-02-04,54.56,55.32,55.75,53.29,622.47K,-1.27%
2019-02-05,2019-02-05,53.66,54.86,55.21,53.47,609.76K,-1.65%
2019-02-06,2019-02-06,54.01,53.73,54.3,52.86,606.72K,0.65%
2019-02-07,2019-02-07,52.64,53.94,54.21,51.8,749.01K,-2.54%
2019-02-08,2019-02-08,52.72,52.59,52.99,52.08,621.00K,0.15%
2019-02-11,2019-02-11,52.41,52.66,52.78,51.23,750.24K,-0.59%
2019-02-12,2019-02-12,53.1,52.47,54.05,52.29,708.31K,1.32%
2019-02-13,2019-02-13,53.9,53.35,54.6,53.27,706.55K,1.51%
2019-02-14,2019-02-14,54.41,53.96,54.68,53.08,623.55K,0.95%
2019-02-15,2019-02-15,55.59,54.48,55.87,54.24,276.91K,2.17%
2019-02-17,2019-02-17,56.33,56.17,56.39,56.11,-,1.33%
2019-02-18,2019-02-18,56.27,56.33,56.73,56.12,-,-0.11%
2019-02-19,2019-02-19,56.09,55.78,56.33,55.29,153.73K,-0.32%
2019-02-20,2019-02-20,56.92,55.94,57.55,55.48,37.68K,1.48%
2019-02-21,2019-02-21,56.96,57.24,57.61,56.64,546.20K,0.07%
2019-02-22,2019-02-22,57.26,56.84,57.81,56.71,513.44K,0.53%
2019-02-25,2019-02-25,55.48,57.17,57.53,55.08,723.01K,-3.11%
2019-02-26,2019-02-26,55.5,55.46,56.08,55.02,538.92K,0.04%
2019-02-27,2019-02-27,56.94,55.95,57.39,55.72,577.23K,2.59%
2019-02-28,2019-02-28,57.22,57.0,57.43,56.43,496.68K,0.49%
2019-03-01,2019-03-01,55.8,57.22,57.88,55.57,684.19K,-2.48%
2019-03-04,2019-03-04,56.59,55.83,57.0,55.81,549.40K,1.42%
2019-03-05,2019-03-05,56.56,56.45,57.19,56.09,538.40K,-0.05%
2019-03-06,2019-03-06,56.22,56.28,56.4,55.42,637.68K,-0.60%
2019-03-07,2019-03-07,56.66,56.2,56.99,56.08,628.82K,0.78%
2019-03-08,2019-03-08,56.07,56.43,56.51,54.52,747.36K,-1.04%
2019-03-11,2019-03-11,56.79,56.07,57.01,55.96,597.16K,1.28%
2019-03-12,2019-03-12,56.87,56.76,57.55,56.74,652.80K,0.14%
2019-03-13,2019-03-13,58.26,57.09,58.48,57.01,610.62K,2.44%
2019-03-14,2019-03-14,58.61,58.35,58.74,58.0,567.60K,0.60%
2019-03-15,2019-03-15,58.52,58.51,58.95,57.74,507.39K,-0.15%
2019-03-18,2019-03-18,59.09,58.45,59.23,58.05,157.24K,0.97%
2019-03-19,2019-03-19,59.03,59.01,59.57,58.62,114.82K,-0.10%
2019-03-20,2019-03-20,59.83,59.02,60.12,58.39,31.13K,1.36%
2019-03-21,2019-03-21,59.98,59.99,60.39,59.66,655.38K,0.25%
2019-03-22,2019-03-22,59.04,59.87,60.07,58.28,738.84K,-1.57%
2019-03-25,2019-03-25,58.82,58.98,59.35,58.17,705.40K,-0.37%
2019-03-26,2019-03-26,59.94,59.12,60.38,59.04,685.99K,1.90%
2019-03-27,2019-03-27,59.41,60.03,60.22,58.81,732.15K,-0.88%
2019-03-28,2019-03-28,59.3,59.4,59.56,58.2,712.21K,-0.19%
2019-03-29,2019-03-29,60.14,59.53,60.73,59.41,-,1.42%
