publish_datetime,content,href,story_abstract,title
2019-01-28,"SYDNEY, Jan 29 (Reuters) - Oil prices steadied on Tuesday, edging up from a near two-week low in the previous session when prices fell around 3 percent on fears of supply growth and a global economic slowdown. U.S. West Texas Intermediate (WTI) crude futures were at $52.07 per barrel, up 8 cents from their last settlement. WTI futures closed down 3.2 percent on Monday when prices touched $51.33 a barrel - the lowest since Jan. 17. International Brent crude oil futures had yet to trade, after closing down 2.8 percent in the previous session when prices hit a low of $59.49 a barrel - the lowest since Jan. 15. ""Rising supplies continue to put downward pressure on crude prices despite the efforts of the Organization of the Petroleum Exporting Countries (OPEC) and other major producers to limit production,"" said Alfonso Esparza, senior market analyst, OANDA. U.S. drillers added 10 oil rigs last week, according to energy services firm Baker Hughes on Friday, in another sign of the expanding record U.S. crude production that has soured market sentiment. (Reporting by Colin Packham; editing by Richard Pullin) ",https://www.cnbc.com//2019/01/28/reuters-america-oil-nudges-higher-but-ample-global-production-weighs.html,,"Oil nudges higher, but ample global production weighs"
2019-01-28,"Chinese stocks, especially ones that are new to U.S. markets, may seem like appealing investments, but to CNBC's Jim Cramer, most of them aren't worth the risk. In 2018, 31 Chinese companies had initial public offerings on U.S. stock exchanges, up from 12 the year before. The 2018 deals raised about $8.5 billion in gross proceeds, accounting for roughly 18 percent of the U.S. IPO market. But aside from a few decent names like Tencent Music Entertainment, which Cramer tentatively recommended after its IPO in December, investors should steer clear of this volatile group, the ""Mad Money"" host said. Still, ""there are some exceptions,"" he told investors Monday. ""Larger companies from China with higher profiles do tend to perform better. [...] If you absolutely have to dabble in Chinese IPOs, please, stick with the larger, high-quality companies that we know more about, that even can be household names like Alibaba."" But, even with Alibaba, he insisted that you should invest ""only if you want to go there."" ",https://www.cnbc.com//2019/01/28/cramer-remix-if-you-have-to-buy-a-chinese-stock-stick-with-alibaba.html,,"Cramer Remix: If you absolutely have to dabble in Chinese stocks, stick with this one"
2019-01-28,"The most important trend happening in the oil market has to do with China, oil guru and RBN Energy President and Principal Energy Markets Consultant Rusty Braziel tells CNBC's Jim Cramer. Braziel, a frequent ""Mad Money"" guest who has correctly predicted several oil price collapses in recent years, referenced the commodity's price drop in October of last year. After starting the month near four-year highs, crude oil prices saw their biggest monthly drop in over two years. Since October, oil prices have been trading lower, a trend some have connected to incipient economic weakness in China. While Cramer wasn't convinced by that line of thinking, Braziel said in a Monday interview that it actually had merit. ""If demand in China is down, if the economy in China is down, that means the total demand for crude oil is going to be down. If crude oil demand drops, then total demand drops, then … crude oil prices are likely to decline, too,"" Braziel said. ""As a matter of fact, that's really the most important thing that's going on right now, and it's what happened back in 2014."" In the fourth quarter of 2014, crude oil prices saw a steep decline during a worldwide oil glut, in which global production exceeded demand. From their highs in June to their troughs in December, they lost over 40 percent in market value. ""In 2014, the economy got weaker, and when that happened, the market lost confidence in its ability to absorb incremental production of crude oil from the United States,"" Braziel explained. ""That's exactly what happened in October."" As for where oil's going next, Braziel's answer wasn't quite as colorful, but it could come as a relief to energy market-watchers. ""The market has recognized that it was never going to be $70,"" he said, pointing to the oil futures curve. ""It was never going to be $40, $42. It's going to be bouncing back and forth between some number around $55 or $60."" U.S. crude prices fell Monday amid worries about a global economic slowdown. West Texas Intermediate crude shed 3.2 percent, settling at $51.99 a barrel. Brent crude, the international benchmark, lost 2.8 percent, ending the day at $59.93. ",https://www.cnbc.com//2019/01/28/rbn-energys-rusty-braziel-on-the-most-important-trend-in-oil-market.html,,"Here's the most important thing going on in the oil market, according to oil guru who predicted past declines"
2019-01-28,"NEW YORK, Jan 28 (Reuters) - Oil fell about 3 percent on Monday, its biggest one-day percentage drop in a month, after an increase in U.S. crude drilling pointed to further supply growth amid continuing concerns about a global economic slowdown. Brent crude oil futures sank $1.71, or 2.8 percent, to settle at $59.93 a barrel, while U.S. West Texas Intermediate crude slumped $1.70, or 3.2 percent, to settle at $51.99 a barrel. The last time both crude benchmarks saw bigger daily percentage drops was on Dec. 27. ""We're seeing oil prices really start to break down here,"" said Phillip Streible, senior market strategist at RJO Futures in Chicago. ""One of the factors that played (into prices) is the rising rig count that we saw on Friday."" U.S. drillers added 10 oil rigs last week, according to energy services firm Baker Hughes on Friday, in another sign of the expanding record U.S. crude production that has soured market sentiment. The trade war between Washington and Beijing weighed on futures as investor optimism waned that the two sides would soon end the months-long tariff fight that has damaged China's economy. That, coupled with uncertainty about how long the U.S. government will stay open after Washington agreed to end a historic shutdown, dampened investor optimism, said Gene McGillian, director of market research at Tradition Energy in Stamford, Connecticut. ""I think both those factors seem to have sparked fears about slowing demand growth, which have been one of the main bearish drivers in the market for a while,"" McGillian said. Crude futures remain on course for their strongest monthly gains in more than two years following production cuts by the Organization of Petroleum Exporting Countries and its allies this month. Brent has risen nearly 12 percent so far in January, which would be the largest monthly percentage increase since December 2016. WTI has risen more than 13 percent this month, the biggest jump since April 2016, when it surged almost 20 percent. Investors have added to bets on a sustained rise in the oil price this month for the first time since September, according to data from the InterContinental Exchange. Much of the demand outlook hinges on China and whether its refiners will continue to import crude at 2018's breakneck pace. Industrial companies in China reported a second monthly fall in earnings in December, despite the government's efforts to support borrowing and investment. (Additional reporting by Amanda Cooper in London, Henning Gloystein and Roslan Khasawneh in Singapore; Editing by Marguerita Choy and Sonya Hepinstall) ",https://www.cnbc.com//2019/01/28/reuters-america-update-8-oil-falls-3-pct-on-rising-u-s-production-economic-slowdown-fears.html,"* U.S. rig count last week rose for first time in 2019 * China December industrial profits shrink for second month * Concerns about slowing global economy weighs on oil * U.S. oil production & drilling levels: https://tmsnrt.rs/2S87iVI (Updates with settlement prices, market activity, adds commentary) ","UPDATE 8-Oil falls 3 pct on rising U.S. production, economic slowdown fears"
2019-01-28,"The Trump administration will sanction Venezuela's state-owned oil firm, a move the White House has long put off for fear that it would raise oil prices and hurt American refiners. The move comes after a turbulent week for Venezuela that has created a standoff over the country's leadership. The sanctions aim to transfer control of Venezuela's oil wealth to forces that oppose socialist dictator Nicolas Maduro and deprive the strongman of resources that could prolong his grip on power. Last week, the opposition leader of Venezuela's National Assembly, Juan Guaido, named himself interim president amid street protests. President Donald Trump soon recognized Guaido as the nation's leader and his administration has been marshaling international support for the opposition figure since then. Maduro, having recently started another term after highly disputed elections, is refusing to back down. He is supported by the country's minister of defense and Russia. ",https://www.cnbc.com//2019/01/28/treasury-set-to-sanction-venezuela-state-owned-oil-firm-sen-rubio.html,,Treasury sanctions Venezuela state-owned oil firm in bid to transfer control to Maduro opposition
2019-01-28,"OIL PRICES EXTEND LOSSES, WTI FALLS BY MORE THAN $2 TO SESSION LOW OF $51.64 A BARREL ",https://www.cnbc.com//2019/01/28/reuters-america-oil-prices-extend-losses-wti-falls-by-more-than-2-to-session-low-of-51-point-64-a-barrel.html,,"OIL PRICES EXTEND LOSSES, WTI FALLS BY MORE THAN $2 TO SESSION LOW OF $51.64 A BARREL"
2019-01-28,"Industrial progress is more vital to Saudi Arabia's future than oil, the kingdom's energy minister told CNBC Monday. ""Industry is the number one priority for the kingdom,"" Khalid Al-Falih told CNBC's Hadley Gamble in Riyadh. ""Oil is important, it's going to be important for as long as all of us live and beyond for generations to come. But the future of this nation, and the future of my children and grandchildren and the next few generations of Saudi Arabia is going to be shaped by how we plan and execute programs for implementing Vision 2030, like the program we're launching today. And I have to give it higher priority,"" he said. Saudi Arabia launched a National Industrial Development and Logistics Program (NIDLP) on Monday as the kingdom hopes to attract 1.6 trillion riyals ($426 billion) of foreign investment by 2030, specifically into the industry, logistics, mining and energy sectors. ""This is a program that integrates four major pillars of the Saudi economy, they're all active now. These are nothing new but they will be stronger, more competitive and more diverse,"" Al-Falih said. ""The sophisticated integrative logistics sector will connect (the other pillars) and will connect the kingdom with the rest of the world and will create a platform for exports and competitiveness for the new economy for Saudi Arabia being built under the Vision 2030."" ",https://www.cnbc.com//2019/01/28/khalid-al-falih-industry-more-important-to-saudi-future-than-oil.html,,"Industry is more important to Saudi's future than oil, energy minister says"
2019-01-28,"Saudi Arabia's energy minister is hoping Russia will pull its weight on recently agreed to OPEC oil production cuts despite its slow start, expressing confidence Monday that the world's second-largest exporter would come through. ""We're committed both to the agreement in December. ... All indications so far so good, the Russians have promised me that they will pick up the pace,"" Energy Minister Khalid al-Falih told CNBC's Hadley Gamble in Riyadh on Monday. OPEC members, along with several other countries, in December agreed on output cuts totaling 1.2 million barrels per day (bpd) in order to stem a sinking market and support their own export-dependent economies. ""OPEC plus"" refers to the group's cooperation with the non-OPEC producers like Russia and other former Soviet states. Russia was more reluctant to cut its output, as its growth is heavily dependent on robust crude exports. Russia has initially let the Saudis shoulder the bulk of output cuts. The top OPEC ally, which in late 2016 began a cooperation agreement with Riyadh to stabilize oil prices, has often said that $60 per barrel is enough to meet its economic needs. Moscow in December said it would cut production by 50,000 to 60,000 barrels per day in January, whereas Saudi Arabia reportedly pledged to cut by 900,000 barrels a day compared with November levels. Russia pumped a record 11.45 million bpd in December, an increase of 80,000 bpd on the previous month, its Energy Ministry reported in early January. Saudi Arabia's crude output, by contrast, fell by more than 450,000 bpd from November to December. Global benchmark Brent crude has bounced back 25 percent from its late December rout, but is still far from the more than $86 per barrel highs it witnessed in October. Brent was trading at $60.18 a barrel at 2.30 p.m. London time. ",https://www.cnbc.com//2019/01/28/saudi-energy-minister-russians-promised-to-speed-up-opec-cuts.html,,Saudi energy minister: Russians promised me they'd 'pick up the pace' on OPEC cuts
2019-01-28,"Jan 28 (Reuters) - Canada's main stock index opened lower on Monday, as energy shares were weighed by a drop in oil prices after U.S. companies added rigs, a signal that crude output may rise further. (Reporting by Amy Caren Daniel in Bengaluru; Editing by James Emmanuel) ",https://www.cnbc.com//2019/01/28/reuters-america-canada-stocks-tsx-opens-lower-as-fall-in-oil-prices-weigh-on-energy-shares.html,"* At 9:30 a.m. ET (14:30 GMT), the Toronto Stock Exchange's S&P/TSX composite index was down 78.79 points, or 0.51 percent, at 15,287.26. ",CANADA STOCKS-TSX opens lower as fall in oil prices weigh on energy shares
2019-01-28,"Crisis-stricken Venezuela has been thrust back into the energy spotlight, analysts told CNBC on Monday, with a further slide into political chaos likely to trigger wild swings in the oil price. The oil-rich, but cash-poor, South American country is embroiled in a political meltdown. It comes after an opposition leader stood in the streets of Caracas last week and declared himself as the rightful president. Growing unrest in Venezuela follows years of economic mismanagement, repression and corruption. ",https://www.cnbc.com//2019/01/28/-venezuela-crisis-oils-ticking-time-bomb-to-detonate-analysts-say.html,,Oil market's 'ticking time bomb' set to detonate — and the price reaction will be 'anything but muted'
