publish_datetime,content,href,publish_timestr,summarize,title
2018-09-30,"(Corrects typographical error in paragraph 7) Sept 30 (Reuters) - Canadian oil and gas producer Husky Energy Inc said on Sunday it has made an unsolicited bid to acquire rival MEG Energy Corp in a deal valued at C$6.4 billion ($5 billion) including debt. The combined company would have total production of more than 410,000 barrels of oil equivalent per day (boepd) and refining and upgrading capacity of about 400,000 barrels per day (bpd), Husky said in a statement. The offer comes as many Canadian oil producers have struggled with transportation bottlenecks as output has surged, pushing Canadian heavy crude to near-historic discounts to U.S. light crude. Husky Chief Executive Rob Peabody told Reuters that the combination of MEG’s top-quality assets and staff with its own production and downstream network would allow MEG to circumvent some of the effects from the Canadian crude discount, and provide benefits for both sets of shareholders. The Husky offer comes less than two months into the tenure of Derek Evans, an industry veteran who took over as chief executive of MEG in August. “We acknowledge that we have received an unsolicited offer from Husky,” John Rogers, vice president of investor relations and external communications at MEG, said in a statement. “The management and board will be reviewing the offer in due course and make a determination if it is in the best interest of shareholders.” Under the terms of the proposal, each MEG shareholder will have the option to choose to receive consideration of C$11 in cash or 0.485 of a Husky share for every share held. That offer is subject to a maximum aggregate cash consideration of C$1 billion and a maximum aggregate number of Husky shares issued of about 107 million. “The MEG Board of Directors has refused to engage in a discussion on the merits of a transaction, giving us no option but to bring this offer directly to MEG shareholders,” Peabody said in the statement. Husky’s offer delivers a 44 percent premium to the 10-day volume-weighted average MEG share price of C$7.62 as of Friday, and a 37 percent premium to MEG’s Friday close of C$8.03. Goldman Sachs Canada Inc is acting as financial adviser and Osler, Hoskin & Harcourt LLP is acting as lead legal adviser to Husky. The proposal, which has been unanimously approved by Husky’s board of directors, is expected to result in C$200 million per year in near-term, realizable synergies. ($1 = 1.2862 Canadian dollars) (Reporting by Devika Krishna Kumar and David French in New York; Editing by Lisa Shumaker)",https://uk.reuters.com/article/meg-energy-ma-husky-energy/refile-update-2-canadas-husky-energy-offers-to-buy-meg-energy-in-5-bln-deal-idUKL2N1WG08T,30 Sep 2018,"Canadian oil and gas producer Husky
Energy Inc said on Sunday it has made an unsolicited
bid to acquire rival MEG Energy Corp in a deal valued
at C$6.4 billion ($5 billion) including debt.",REFILE-UPDATE 2-Canada's Husky Energy offers to buy MEG Energy in $5 bln deal
2018-09-30,"Sept 30 (Reuters) - Canadian oil and gas producer Husky Energy Inc said on Sunday it has offered to acquire MEG Energy Corp in a deal valued at C$6.4 billion ($5 billion) including debt. The combined company will have total production of more than 410,000 barrels of oil equivalent per day (boepd) and refining and upgrading capacity of about 400,000 barrels per day (bpd), Husky said in a statement. ($1 = 1.2862 Canadian dollars) (Reporting by Devika Krishna Kumar in New York; Editing by Lisa Shumaker)",https://uk.reuters.com/article/meg-energy-ma-husky-energy/canadas-husky-energy-offers-to-buy-meg-energy-in-5-bln-deal-idUKASB00P2T,30 Sep 2018,"Canadian oil and gas producer Husky
Energy Inc said on Sunday it has offered to acquire MEG
Energy Corp in a deal valued at C$6.4 billion ($5
billion) including debt.",Canada's Husky Energy offers to buy MEG Energy in $5 bln deal
2018-09-30,"ERBIL/SULAIMANIYA, Iraq (Reuters) - One of the dominant Kurdish parties in northern Iraq said it would not recognise the results of Sunday’s parliamentary election, injecting political uncertainty into a region still demoralised by a failed independence bid. The Patriotic Union of Kurdistan (PUK) said its decision to ignore the results, which have yet to be announced, was based on what it described as fraud in the voting process.  The PUK is competing with its long-time rival the Kurdistan Democratic Party (KDP) in the election as discontent grows with perceived corruption and economic hardship. With a weak opposition, the political dynasties were expected to extend their power-sharing arrangement in the land of six million people, which gained semi-autonomous status after the 1991 Gulf War. Veteran KDP leader Masoud Barzani has managed to retain a support base even though he led an independence bid that brought humilition and hardship for the Kurds after military and economic retaliation from Baghdad. Splits within the PUK could give the KDP an upper hand in their power-sharing arrangement, which has been fraught with tensions.  While criticism of the ruling Kurdish establishment  -  dominated for decades by the Barzani and the Talabani families - has grown more vocal, a weak opposition means many voters may stick to traditional leaders.    “I don’t know who I will vote for, but our family has always supported the KDP. My son will pick a candidate for me,” said Halima Ahmed, 65, as she walked with a cane in the city of Erbil, the seat of the Kurdistan Regional Government (KRG). Preliminary results are expected within 72 hours. There are 111 seats being contested in the election, including 11 reserved for ethnic minorities.  At midday the Independent High Elections and Referendum Commission said turnout was 16-23 percent in a breakdown of provinces. At the Chenar School for Girls polling centre, turnout by 1500 local time (1200 GMT) was less than 35 percent, said poll worker Shaaban Kazem. “The participation rate is very weak, said lawyer and independent observer Belnd Omar. The number of voters has shrunk in recent elections as the region’s stagnant politics, unpaid public sector salaries and corruption have undermined the population’s faith in politics. Observers from two opposition parties said that some people tried to use fake identification to vote but were stopped, though this could not be verified independently by Reuters. Kurdish opposition parties did poorly when Iraq held federal elections in May. But multiple allegations that the KDP and PUK had committed election fraud  - not confirmed in a subsequent recount - may sway some voters in their favour.   Gorran, the main opposition movement, has been weakened by infighting and the death of its founder and leader Nechirvan Mustafa last year.    “I wanted to make sure I voted early. I gave my vote to Gorran and hope for the best,” said Omar Mahmoud Abdullah, 52, at a polling station set up at Shireen School in Sulaimaniya, stronghold of the PUK. At another polling station in Sulaimaniya, lawyer Hassan Dalloush, 65, also said he was voting for the opposition.  “If there’s no fraud in this election, I’ll feel good about it. But the parties in power always want to commit fraud, it’s the only way they stay in power,” he said. “I will never vote for the parties in power. Today I voted for the opposition.”       Reporting by Raya Jalabi in Suleimaniya and Ahmed Aboulenein in Erbil; Writing by Michael Georgy; Editing by David Goodman",https://uk.reuters.com/article/iraq-kurds/update-7-main-iraqi-kurdish-party-says-it-may-reject-regional-election-result-idUKL8N1WG02A,30 Sep 2018,"* Opposition weak, low turnout expected
(Adds fraud allegations)",UPDATE 7-Main Iraqi Kurdish party says it may reject regional election result
2018-09-30,"ABUJA (Reuters) - A Nigerian umbrella trade union suspended a nationwide strike on its fourth day on Sunday, after the government agreed to hold a meeting to discuss increasing the minimum wage, a union official said. “The general strike has been suspended, not called off,” said Chris Uyot, deputy secretary general of the Nigerian Labour Congress.  A meeting with the government will be held on Oct. 4-5, the union said in a letter to members. Unions want the monthly minimum wage raised to about 50,000 naira ($164) from 18,000 naira. The strike began on Thursday after talks between President Muhammadu Buhari’s government and unions had broken down. In the letter, the NLC said the meeting was as a result of “united and sustained action”, adding that the suspension was part of an attempt to provide a “conducive atmosphere” for the talks to reach a satisfactory conclusion. “Unions and state councils are requested to maintain a high level of vigilance and mobilization until the struggle for a reasonable minimum wage is successfully concluded,” the letter stated.  Evidence suggested patchy adherence to the strike, and its impact on the economy has been difficult to calculate. President Buhari had promised to review the minimum wage after a fuel price hike and currency devaluation in the last two years. Those were aimed at countering the effects of a global oil price plunge on Nigeria. Buhari’s handling of the economy and the cost of living since he took office in 2015 has become a campaign issue in the build up to the country’s presidential election which is scheduled to take place in February 2019. Nigeria’s ruling All Progressives Congress party on Saturday nominated Buhari as its candidate to stand for re-election in next year’s poll after he ran unopposed in a nationwide primary to select a candidate. The main opposition People’s Democratic Party has not yet selected a candidate. Additional reporting by Tife Owolabi and Felix Onuah; Writing by Paul Carsten and Alexis Akwagyiram; Editing by Peter Graff and Jane Merriman",https://uk.reuters.com/article/nigeria-strike/update-2-nigerian-umbrella-trade-union-suspends-nationwide-strike-idUKL8N1WG0PN,30 Sep 2018,"* Unions to hold talks with govt on Oct. 4-5
(Adds union letter, background)",UPDATE 2-Nigerian umbrella trade union suspends nationwide strike
2018-09-30,"ABUJA (Reuters) - A Nigerian umbrella trade union suspended a nationwide strike on its fourth day on Sunday, after the government agreed to hold a meeting to discuss increasing the minimum wage, a union official said. “The general strike has been suspended, not called off,” said Chris Uyot, deputy secretary general of the Nigerian Labour Congress.  A meeting with the government will be held on Oct. 4-5, the union said in a letter to members. Unions want the monthly minimum wage raised to about 50,000 naira ($164) from 18,000 naira. The strike began on Thursday after talks between President Muhammadu Buhari’s government and unions had broken down. In the letter, the NLC said the meeting was as a result of “united and sustained action”, adding that the suspension was part of an attempt to provide a “conducive atmosphere” for the talks to reach a satisfactory conclusion. “Unions and state councils are requested to maintain a high level of vigilance and mobilization until the struggle for a reasonable minimum wage is successfully concluded,” the letter stated.  Evidence suggested patchy adherence to the strike, and its impact on the economy has been difficult to calculate. President Buhari had promised to review the minimum wage after a fuel price hike and currency devaluation in the last two years. Those were aimed at countering the effects of a global oil price plunge on Nigeria. Buhari’s handling of the economy and the cost of living since he took office in 2015 has become a campaign issue in the build up to the country’s presidential election which is scheduled to take place in February 2019. Nigeria’s ruling All Progressives Congress party on Saturday nominated Buhari as its candidate to stand for re-election in next year’s poll after he ran unopposed in a nationwide primary to select a candidate. The main opposition People’s Democratic Party has not yet selected a candidate. Additional reporting by Tife Owolabi and Felix Onuah; Writing by Paul Carsten and Alexis Akwagyiram; Editing by Peter Graff and Jane Merriman",https://uk.reuters.com/article/nigeria-strike/update-2-nigerian-umbrella-trade-union-suspends-nationwide-strike-idUKL8N1WG0PN,30 Sep 2018,"* Unions to hold talks with govt on Oct. 4-5
(Adds union letter, background)",UPDATE 2-Nigerian umbrella trade union suspends nationwide strike
2018-09-30,"(Reuters) - Saudi Arabia has shelved a $200 billion plan with SoftBank Group Corp (9984.T) to build the world’s biggest solar-power-generation project, the Wall Street journal reported on Sunday, citing Saudi government officials. No one is actively working on the project, and instead, the Saudi kingdom is working up a broader, more practical strategy to boost renewable energy, to be announced in late October, the WSJ reported on.wsj.com/2NW8wlH. SoftBank Chief Executive Masayoshi Son had announced in March a plan to invest in creating the world’s biggest solar power project in Saudi Arabia, a project expected to have the capacity to produce up to 200 gigawatts (GW) by 2030. Softbank declined to comment. Reporting by Ismail Shakil in Bengaluru and Tom Arnold in Dubai. Editing by Jane Merriman",https://uk.reuters.com/article/saudi-softbank-group-solar/saudi-shelves-200-bln-softbank-solar-project-wsj-idUKL4N1WG0DX,30 Sep 2018,"Saudi Arabia has shelved a $200 billion
plan with SoftBank Group Corp to build the world's
biggest solar-power-generation project, the Wall Street journal
reported on Sunday, citing Saudi government officials.",Saudi shelves $200 bln SoftBank Solar project - WSJ
2018-09-30,"DUBAI (Reuters) - A unit of the National Iranian Oil Co. (NIOC) signed a deal with a local firm on Sunday to build a crude oil storage facility near Iran’s southeastern port of Jask with an initial investment of 200 million euros ($232 million), the oil ministry news website SHANA reported. State-run NIOC’s subsidiary Petroleum Engineering and Development Co. (PEDEC) signed the agreement with Petro Omid Asia Co. to build the facility with a total capacity of 10 million barrels on a build-operate-transfer (BOT) basis in Jask, which is located on the Gulf of Oman coast, SHANA said. Omid Investment Management Group Co. also signed the deal, under which construction should be completed within three years, SHANA added. Reporting by Dubai newsroom; Editing by Adrian Croft",https://uk.reuters.com/article/iran-oil-storage/iran-to-build-crude-oil-storage-facility-at-gulf-of-oman-port-shana-idUKL8N1WG0Y0,30 Sep 2018,"A unit of the National Iranian
Oil Co. (NIOC) signed a deal with a local firm on Sunday to
build a crude oil storage facility near Iran's southeastern port
of Jask with an initial investment of 200 million euros ($232
million), the oil ministry news website SHANA reported.",Iran to build crude oil storage facility at Gulf of Oman port -SHANA
2018-09-30,"DUBAI (Reuters) - A Saudi-led military coalition fighting against Yemen’s Houthi movement foiled an attack by two explosives-laden remote controlled boats deployed by the Houthis against Saudi Arabia’s Jizan port, Saudi state news agency SPA reported on Sunday. “The Royal Saudi Navy Forces detected the movement of two remote control explosive boats headed to the port of Jizan. They were intercepted and destroyed... which has led to minimal damage,” the coalition’s spokesman Colonel Turki al-Malki said in a statement carried by SPA. The attack occurred in the early hours of the morning on Sunday, he said. The Houthis say their attacks on the kingdom are in retaliation for air raids on Yemen by the Western-backed coalition, which entered Yemen’s war in 2015 to try to restore President Abd-Rabbu Mansour Hadi. Hadi was ousted from the capital Sanaa by the Houthis in 2015. Reporting by Rania El Gamal; Editing by Peter Graff",https://uk.reuters.com/article/yemen-security-attacks/saudi-led-coalition-foils-houthi-attack-on-jizan-port-spa-idUKL8N1WG0XG,30 Sep 2018,"A Saudi-led military coalition
fighting against Yemen's Houthi movement foiled an attack by two
explosives-laden remote controlled boats deployed by the Houthis
against Saudi Arabia's Jizan port, Saudi state news agency SPA
reported on Sunday.",Saudi-led coalition foils Houthi attack on Jizan port - SPA
2018-09-30,"KUWAIT (Reuters) - Saudi Crown Prince Mohammed bin Salman arrived in Kuwait on Sunday, state media reported, amid expectation that he will discuss oil supplies and a Kuwaiti mediation effort to resolve Saudi Arabia’s conflict with Qatar. Prince Mohammed will hold talks with Kuwaiti Emir Sheikh Sabah al-Ahmad al-Jaber al-Sabah, state news agency KUNA reported.  The Saudi prince is expected to discuss the resumption of oil output from a neutral zone which Saudi Arabia shares with Kuwait, a source familiar with the matter told Reuters. He will be accompanied by Energy Minister Khalid al-Falih during his trip to Kuwait, two separate sources said. A Gulf Arab official told Reuters earlier that the dispute with Qatar would also be on the agenda. Saudi Arabia, the United Arab Emirates, Bahrain and Egypt have imposed sanctions on Qatar accusing it of cosying up to Iran - their regional arch rival - and supporting terrorism. Doha denies the accusations. Kuwaiti mediation efforts have failed so far to end the dispute. Writing by Rania El Gamal; Editing by Peter Graff",https://uk.reuters.com/article/saudi-kuwait-crownprince/saudi-crown-prince-arrives-in-kuwait-for-talks-idUKL8N1WG0WU,30 Sep 2018,"Saudi Crown Prince Mohammed bin
Salman arrived in Kuwait on Sunday, state media reported, amid
expectation that he will discuss oil supplies and a Kuwaiti
mediation effort to resolve Saudi Arabia's conflict with Qatar.",Saudi Crown Prince arrives in Kuwait for talks
2018-09-30,"ERBIL/SULAIMANIYA, Iraq Sept 30 (Reuters) - The Patriotic Union of Kurdistan (PUK), one of the dominant Kurdish parties in northern Iraq, said it would not recognise the results of Sunday’s parliamentary election in the region. The PUK is competing with the Kurdistan Democratic Party (KDP) in the poll, one year after the Kurds’ failed bid for independence from the rest of Iraq. (Reporting by Raya Jalabi Writing by Michael Georgy Editing by Peter Graff)",https://uk.reuters.com/article/iraq-kurds-puk/puk-says-it-will-not-recognise-results-of-kurdish-parliamentary-election-idUKB2N1U801A,30 Sep 2018,"The Patriotic
Union of Kurdistan (PUK), one of the dominant Kurdish parties in
northern Iraq, said it would not recognise the results of
Sunday's parliamentary election in the region.",PUK says it will not recognise results of Kurdish parliamentary election
