publish_datetime,content,href,story_abstract,title
2019-01-09,"(Updates to close of U.S. markets) NEW YORK, Jan 9 (Reuters) - Stocks around the world extended recent gains and oil prices jumped on Wednesday on optimism the United States and China may be inching toward a trade deal, soothing fears of an all-out trade war and its possible impact on global growth. Heightened risk appetite boosted U.S. Treasury yields to the highest this year, while the U.S. dollar extended losses after minutes from a Dec. 18-19 Federal Reserve policy meeting showed many Fed policymakers said the central bank could be patient on future rate hikes. Delegations from China and the U.S. ended talks in Beijing on Wednesday amid signs of progress on issues including purchases of U.S. farm and energy commodities and increased access to China's markets. China has pledged to purchase ""a substantial amount"" of agricultural, energy and manufactured goods and services from the United States, the U.S. Trade Representative's office said on Wednesday. MSCI's all-country index climbed 1.03 percent for a fourth day of gains. That added to advances since last week in equity markets around the world, following a strong U.S. employment report and comments from the Federal Reserve chief that calmed worries U.S. interest rate hikes would hurt growth. A range of Fed policymakers said last month they could be patient about future interest rate increases and a few did not support the central bank's rate increase that month, minutes from their Dec. 18-19 policy meeting showed. On Wednesday, a clutch of Fed officials said they would be cautious about any further increases in interest rates so the central bank could assess growing risks to an otherwise-solid U.S. economic outlook. The U.S. stock market was supported by advances by technology and other trade-sensitive sectors. The benchmark S&P 500 index is up by about 10 percent from 20-month lows hit around Christmas. ""If you want to gauge how investors are viewing the trade talks, just watch tech, and semiconductors in particular,"" said Jack Ablin, chief investment officer at Cresset Wealth Advisors in Chicago. The Dow Jones Industrial Average rose 91.67 points, or 0.39 percent, to close at 23,879.12, the S&P 500 gained 10.55 points, or 0.41 percent, to end at 2,584.96 and the Nasdaq Composite added 60.08 points, or 0.87 percent, to finish at 6,957.08. The pan-European STOXX 600 benchmark closed up 0.53 percent, its highest close in nearly four weeks. Oil prices jumped, helped by the hopes of easing trade tensions between China and the U.S., while OPEC-led crude output cuts also provided support. Brent crude futures rose $2.72 to settle at $61.44 a barrel, a 4.6 percent gain. U.S. West Texas Intermediate (WTI) crude futures rose $2.58 to settle at $52.36 a barrel, a 5.2 percent gain. The dollar tumbled to its lowest level since October after the Fed expressed caution about future rate hikes, and as investors reduced safe-haven bets due to optimism about U.S.-China trade talks. ""It will probably be mid-year before the Fed excites hike prospects again,"" said Joseph Trevisani, senior analyst at FXStreet.com in New York. U.S. Treasury yields climbed to the highest this year, helped by improved risk appetite, but retreated following dovish commentary from Fed speakers and a strong 10-year note auction. Benchmark 10-year notes were last down 2/32 in price to yield 2.7225 percent after earlier rising to 2.747 percent, the highest since Dec. 28. Gold prices rose on Wednesday, with spot gold up 0.68 percent to $1,293.65 per ounce. (Reporting by Saqib Iqbal Ahmed; Additional reporting by Sruthi Shankar in Bengaluru and Gertrude Chavez-Dreyfuss in New York; Editing by Chizu Nomiyama and Chris Reese) ",https://www.cnbc.com//2019/01/09/reuters-america-global-markets-stocks-boosted-by-u-s-china-trade-hope-oil-prices-soar.html,"* U.S.-China trade talks end in Beijing after extra day * Hopes of a trade deal underpin risk assets * More Fed officials say caution needed before further rate hikes * Oil rises on U.S.-China trade talk optimism, OPEC cuts ","GLOBAL MARKETS-Stocks boosted by U.S.-China trade hope, oil prices soar"
2019-01-09,"(Adds details on Fed minutes, updates prices) NEW YORK, Jan 9 (Reuters) - Stocks around the world extended recent gains and oil prices jumped on Wednesday on optimism that the United States and China may be inching towards a trade deal, soothing fears of an all-out trade war and its possible impact on global growth. Optimism regarding a trade deal boosted U.S. Treasury yields to their highest this year, while the U.S. dollar extended its losses after minutes from a Dec. 18-19 Federal Reserve policy meeting showed that many Fed policymakers said the central bank could be patient on future rate hikes. Delegations from China and the U.S. ended talks in Beijing on Wednesday amid signs of progress on issues including purchases of U.S. farm and energy commodities and increased access to China's markets. China has pledged to purchase ""a substantial amount"" of agricultural, energy and manufactured goods and services from the United States, the U.S. Trade Representative's office said on Wednesday. MSCI's all-country index climbed 1.14 percent for a fourth day of gains. That added to advances since last week in equity markets around the world, following a strong U.S. employment report and comments from the Federal Reserve chief that calmed worries that U.S. interest rate hikes would hurt growth. A range of Federal Reserve policymakers said last month they could be patient about future interest rate increases and a few did not support the central bank's rate increase that month, minutes from their Dec. 18-19 policy meeting showed. On Wednesday, a clutch of U.S. Federal Reserve officials said they would be cautious about any further increases in interest rates so that the central bank could assess growing risks to an otherwise-solid U.S. economic outlook. The U.S. stock market was supported by advances by technology and other trade-sensitive sectors. The benchmark S&P 500 index is up by about 10 percent from 20-month lows hit around Christmas. ""If you want to gauge how investors are viewing the trade talks, just watch tech, and semiconductors in particular,"" said Jack Ablin, chief investment officer at Cresset Wealth Advisors in Chicago. The Dow Jones Industrial Average rose 169 points, or 0.71 percent, to 23,956.45, the S&P 500 gained 17.27 points, or 0.67 percent, to 2,591.68 and the Nasdaq Composite added 76.86 points, or 1.11 percent, to 6,973.86. The pan-European STOXX 600 benchmark closed up 0.53 percent, its highest close in nearly four weeks. Optimism that the trade standoff would be resolved also lifted oil prices. U.S. West Texas Intermediate (WTI) crude oil futures were at $52.32 per barrel, up $2.54, or 5.1 percent, the first time this year that WTI has topped $50. International Brent crude futures were up $2.71, or 4.62 percent, at $61.43 per barrel. The dollar sank to its lowest since October, with gains led by the euro and sterling, as risk appetite improved and investors reduced their safe-haven bets. ""As long as you don't see a situation where there is a negative turn much like what we saw over the last quarter, markets will probably view any trade development, even if they're not concluded by the March 1 deadline, with modest optimism just because it reduces the downside risk to the outlook,"" said Mazen Issa, senior FX strategist, at TD Securities in New York. Improved risk appetite sent U.S. Treasury yields to their highest this year, ahead of the sale of new 10-year supply by the Treasury Department. Benchmark 10-year notes were last down 3/32 in price to yield 2.7261 percent after earlier rising to 2.747 percent, the highest since Dec. 28. Gold prices rose on Wednesday, with spot gold rising 0.49 percent to $1,291.2 per ounce. (Reporting by Saqib Iqbal Ahmed; Additional reporting by Sruthi Shankar in Bengaluru and Gertrude Chavez-Dreyfuss in New York; Editing by Bernadette Baum and Chizu Nomiyama) ",https://www.cnbc.com//2019/01/09/reuters-america-global-markets-stocks-rise-on-u-s-china-trade-hope-oil-prices-soar.html,* U.S-China trade talks end in Beijing after extra day * Hopes of a trade deal underpin risk assets * More Fed officials say caution needed before more rate hikes * Oil rises 3 pct on U.S.-China trade talk optimism ,GLOBAL MARKETS-Stocks rise on U.S.-China trade hope; oil prices soar
2019-01-09,"NEW YORK, Jan 9 (Reuters) - Oil prices jumped more than 4 percent on Wednesday as the extension of U.S.-China talks raised hopes of easing trade tensions between the two superpowers, while OPEC-led crude output cuts also provided support. U.S. West Texas Intermediate (WTI) crude futures rose $2.38 to $52.16 a barrel, a 4.8 percent gain, by 1:15 p.m. EST (1815 GMT), the first time this year that WTI has topped $50. Brent crude futures gained $2.48, or 4.2 percent, to $61.20 a barrel. West Texas Intermediate (WTI) crude futures for February delivery rose $2.38 to $52.16 a barrel, a 4.8 percent gain. The day's sharp gains extended a rally that has pushed prices up more than 13 percent in 2019. ""After a dreadful December for risk markets, crude oil continues to catch a positive vibe,"" said Stephen Innes at futures brokerage Oanda in Singapore, noting that investors were growing less fearful that U.S.-China trade tensions would slow global economic growth and dampen demand for crude. The trade talks in Beijing were carried over into an unscheduled third day, amid signs of progress on issues including Chinese purchases of U.S. farm and energy commodities. State newspaper China Daily said Beijing was keen to end the trade dispute, but that any agreement must involve compromise. Oil prices also have received support from supply cuts by the Organization of the Petroleum Exporting Countries and allies including Russia. The OPEC-led cuts, which officially began in January, are aimed at reining in an emerging glut as U.S. crude output <C-OUT-T-EIA> has surged to a record 11.7 million bpd. Saudi Arabia's energy minister said he was confident that action to rein in output would bring the oil market into balance. Khalid al-Falih also said he would not rule out calling for further action. Data from the U.S. Energy Information Administration (EIA) showed domestic crude stockpiles fell less than expected last week. Gasoline and distillate inventories rose more than anticipated. Crude inventories fell by 1.7 million barrels, smaller than the 2.8 million-barrel draw analysts had expected. Gasoline inventories rose by 8.1 million barrels, far exceeding analysts' expectations in a Reuters poll for a 3.4 million-barrel gain. Distillate stockpiles rose by 10.6 million barrels, more than five times the expected 1.9 million-barrel increase, the EIA data showed. ""The report is bearish given the smaller-than-expected decline in crude oil inventories and the very large increase in refined product inventories,"" John Kilduff, a partner at Again Capital Management in New York. Morgan Stanley cut its 2019 oil price forecasts by more than 10 percent. The bank said in a note it now expected Brent to average $61 a barrel this year, and WTI to average around $54 per barrel. (Reporting by Stephanie Kelly in New York, Noah Browning in London and Henning Gloystein in Singapore; Editing by Dale Hudson, David Gregorio and Richard Chang) ",https://www.cnbc.com//2019/01/09/reuters-america-update-10-oil-up-more-than-4-pct-on-u-s-china-trade-talk-hopes-opec-cuts.html,"* U.S. crude climbs above $50/bbl for first time in 2019 * Saudi Arabia confident cuts by OPEC, allies will balance market * Sino-U.S. talks enter third day, U.S. officials say going well * U.S. oil stockpiles fall less than expected -EIA (Updates prices) ","UPDATE 10-Oil up more than 4 pct on U.S.-China trade talk hopes, OPEC cuts"
2019-01-09,"NEW YORK, Jan 9 (Reuters) - Oil prices jumped more than 4 percent on Wednesday as the extension of U.S.-China talks raised hopes of easing trade tensions between the two superpowers, while OPEC-led crude output cuts also provided support. U.S. West Texas Intermediate (WTI) crude futures rose $2.49 to $52.27 a barrel, a 5 percent gain, by 12:01 p.m. EST (1701 GMT), the first time this year that WTI has topped $50. Brent crude futures gained $2.55, or 4.3 percent, to $61.27 a barrel. The day's sharp gains extended a rally that has pushed prices up more than 13 percent in 2019. ""After a dreadful December for risk markets, crude oil continues to catch a positive vibe,"" said Stephen Innes at futures brokerage Oanda in Singapore, noting that investors were growing less fearful that U.S.-China trade tensions would slow global economic growth and dampen demand for crude. The trade talks in Beijing were carried over into an unscheduled third day, amid signs of progress on issues including Chinese purchases of U.S. farm and energy commodities. State newspaper China Daily said Beijing was keen to end the trade dispute, but that any agreement must involve compromise. Oil prices also have received support from supply cuts by the Organization of the Petroleum Exporting Countries and allies including Russia. The OPEC-led cuts, which officially began in January, are aimed at reining in an emerging glut as U.S. crude output <C-OUT-T-EIA> has surged to a record 11.7 million bpd. Saudi Arabia's energy minister said he was confident that action to rein in output would bring the oil market into balance. Khalid al-Falih also said he would not rule out calling for further action. Data from the U.S. Energy Information Administration (EIA) showed domestic crude stockpiles fell less than expected last week. Gasoline and distillate inventories rose more than anticipated. Crude inventories fell by 1.7 million barrels, smaller than the 2.8 million-barrel draw analysts had expected. Gasoline inventories rose by 8.1 million barrels, far exceeding analysts' expectations in a Reuters poll for a 3.4 million-barrel gain. Distillate stockpiles rose by 10.6 million barrels, more than five times the expected 1.9 million-barrel increase, the EIA data showed. ""The report is bearish given the smaller-than-expected decline in crude oil inventories and the very large increase in refined product inventories,"" John Kilduff, a partner at Again Capital Management in New York. Morgan Stanley cut its 2019 oil price forecasts by more than 10 percent. The bank said in a note it now expects Brent to average $61 a barrel this year, and WTI to average around $54 per barrel. (Reporting by Stephanie Kelly in New York, Noah Browning in London and Henning Gloystein in Singapore; Editing by Dale Hudson and David Gregorio) ",https://www.cnbc.com//2019/01/09/reuters-america-update-9-oil-rises-more-than-4-pct-on-u-s-china-trade-talk-hope-opec-cuts.html,"* U.S. crude climbs above $50/bbl for first time in 2019 * Saudi Arabia confident cuts by OPEC, allies will balance market * Sino-U.S. talks enter third day, U.S. officials say going well * U.S. oil stockpiles fall less than expected -EIA (New throughout, updates prices, market activity and comments) ","UPDATE 9-Oil rises more than 4 pct on U.S.-China trade talk hope, OPEC cuts"
2019-01-09,"Saudi Arabia's massive oil and gas reserves are even bigger than previously reported, according to an outside assessment commissioned by the kingdom. The independent audit not only revised Saudi reserves higher, but may help put to rest skepticism over the nation's oil and gas wealth, which has persisted in some corners of the market for years. It also shows national oil giant Saudi Aramco is taking strides towards transparency as it continues to consider a stock market debut. On Wednesday, Saudi Energy Minister and Aramco Chairman Khalid al-Falih said the kingdom expects the initial public offering for Aramco to take place in 2021, following a delay. State-controlled Aramco had 263.1 billion barrels of oil waiting to be tapped at the end of 2017, according to Dallas-based petroleum consulting firm DeGolyer and MacNaughton. That is 2.2 billion barrels more than Aramco reported in its last annual review. Aramco's natural gas reserves total 319.5 trillion cubic feet, according to the audit. The company, which is not a major player in the gas market, previously reported 302.3 trillion cubic feet of gas reserves. Saudi Arabia has additional reserves in an area along the border with Kuwait that has sat idle due to a dispute between the neighbors. Including this so-called Neutral Zone, Saudi oil reserves total 268.5 billion barrels, DeGolyer and MacNaughton concluded. That compares with an earlier estimate of 266.3 billion barrels. The Saudis commissioned the audit as part of their plan to publicly list shares of Aramco, the world's largest energy company. The kingdom hoped to attract a $2 trillion valuation and raise $100 billion to underwrite Crown Prince Mohammed bin Salman's economic transformation plan, Vision 2030. ",https://www.cnbc.com//2019/01/09/saudi-arabias-massive-oil-reserves-grow-by-2point2-billion-barrels.html,,"Saudi Arabia's massive oil reserves total 268.5 billion barrels, even bigger than previously known"
2019-01-09,"NEW YORK, Jan 9 (Reuters) - Oil prices jumped more than 2 percent on Wednesday as the extension of U.S.-China talks raised hopes of easing trade tensions between the two superpowers, but gains were capped by signs of rising U.S. refined product supply. U.S. West Texas Intermediate (WTI) crude futures rose $1.38 to $51.16 a barrel, a 2.8 percent gain, the first time this year that WTI has topped $50. Brent crude futures gained $1.34, or 2.3 percent, to $60.06 a barrel. Prices pared gains after data from the U.S. Energy Information Administration showed domestic crude stockpiles fell less than expected last week. Gasoline and distillate inventories rose more than anticipated. Crude inventories fell by 1.7 million barrels, smaller than the 2.8 million-barrel draw analysts had expected. Gasoline inventories rose by 8.1 million barrels, far exceeding analysts' expectations in a Reuters poll for a 3.4 million-barrel gain. Distillate stockpiles rose by 10.6 million barrels, more than five times the expected 1.9 million-barrel increase, the EIA data showed. ""Because of the big builds in products, the report dampened the overall bullish enthusiasm we had earlier in the day,"" said Phil Flynn, an analyst at Price Futures Group in Chicago. Still, the day's sharp gains extended a rally that has pushed prices up more than 10 percent in 2019. ""After a dreadful December for risk markets, crude oil continues to catch a positive vibe,"" said Stephen Innes at futures brokerage Oanda in Singapore, noting that investors were growing less fearful that U.S.-China trade tensions would slow global economic growth and dampen demand for crude. The trade talks in Beijing were carried over into an unscheduled third day, amid signs of progress on issues including Chinese purchases of U.S. farm and energy commodities. State newspaper China Daily said Beijing was keen to end the trade dispute, but that any agreement must involve compromise. Oil prices also have received support from supply cuts by the Organization of the Petroleum Exporting Countries and allies including Russia. The OPEC-led cuts, which officially began in January, are aimed at reining in an emerging glut as U.S. crude output <C-OUT-T-EIA> has surged to a record 11.7 million bpd. Top oil exporter Saudi Arabia plans to lower its shipments further in February, Saudi Energy Minister Khalid al-Falih told a news conference in Riyadh. Morgan Stanley cut its 2019 oil price forecasts by more than 10 percent, with plentiful supply early in the year and slowing imports into China weighing on prices, the bank said in a note. It now expects Brent to average $61 a barrel this year, and WTI to average around $54 per barrel. (Reporting by Stephanie Kelly in New York, Noah Browning in London and Henning Gloystein in Singapore; Editing by Dale Hudson and David Gregorio) ",https://www.cnbc.com//2019/01/09/reuters-america-update-8-oil-rises-more-than-2-pct-on-u-s-china-trade-talk-hope.html,"* U.S. crude climbs above $50/bbl for first time in 2019 * U.S. oil stockpiles fall less than expected -EIA * Sino-U.S. talks enter third day, U.S. officials say going well * OPEC-led supply cuts also prop up crude prices (New throughout, updates prices, market activity and comments; new byline, changes dateline, previous LONDON) ",UPDATE 8-Oil rises more than 2 pct on U.S.-China trade talk hope
2019-01-09,HEATING OIL FUTURES PARE GAINS AFTER EIA DATA SHOW MUCH LARGER-THAN-EXPECTED BUILD IN U.S. DISTILLATE INVENTORIES ,https://www.cnbc.com//2019/01/09/reuters-america-heating-oil-futures-pare-gains-after-eia-data-show-much-larger-than-expected-build-in-u-s-distillate-inventories.html,,HEATING OIL FUTURES PARE GAINS AFTER EIA DATA SHOW MUCH LARGER-THAN-EXPECTED BUILD IN U.S. DISTILLATE INVENTORIES
2019-01-09,OIL PRICES PARE GAINS AFTER EIA DATA SHOW SMALLER-THAN-EXPECTED DRAW IN U.S. CRUDE INVENTORIES ,https://www.cnbc.com//2019/01/09/reuters-america-oil-prices-pare-gains-after-eia-data-show-smaller-than-expected-draw-in-u-s-crude-inventories.html,,OIL PRICES PARE GAINS AFTER EIA DATA SHOW SMALLER-THAN-EXPECTED DRAW IN U.S. CRUDE INVENTORIES
2019-01-09,"LONDON, Jan 9 (Reuters) - Oil prices climbed around 3 percent on Wednesday as the extension of U.S.-China talks in Beijing raised hopes that the world's two largest economies would resolve their trade standoff. U.S. West Texas Intermediate (WTI) crude oil futures were at $51.36 per barrel at 1500 GMT, up $1.58, or 3.17 percent, the first time this year that WTI has topped $50. International Brent crude futures were up $1.63, or 2.78 percent, at $60.35 per barrel. Both crude price benchmarks added to Tuesday's 2 percent gains and have now been on the rise for eight straight days - their longest rally since June 2017. ""After a dreadful December for risk markets, crude oil continues to catch a positive vibe,"" said Stephen Innes at futures brokerage Oanda in Singapore, citing tensions between the superpowers which have cast a pall over the world economy. The trade talks in Beijing were carried over into an unscheduled third day on Wednesday, amid signs of progress on issues including purchases of U.S. farm and energy commodities and increased U.S. access to China's markets. ""Talks with China are going very well!"" U.S. President Donald Trump tweeted, without elaborating. State newspaper China Daily said on Wednesday that Beijing was keen to put an end to its trade dispute with the United States, but that any agreement must involve compromise on both sides. Stephen Brennock, analyst at London brokerage PVM Oil, warned against excessive optimism. ""Buyers have placed all their betting chips on the US and China resolving their trade spat,"" he said. ""A failure to secure a meaningful breakthrough in the coming days will therefore spark a turnaround in sentiment. It is also worth noting that the global economic outlook continues to darken,"" he added. The World Bank expects global economic growth to slow to 2.9 percent in 2019 from 3 percent in 2018, it said in a semi-annual report released late on Tuesday. More fundamentally, oil prices have been receiving support from supply cuts started at the end of 2018 by the Organization of the Petroleum Exporting Countries and allies including Russia. The OPEC-led cuts are aimed at reining in an emerging supply overhang, in part because U.S. crude output <C-OUT-T-EIA> surged by around 2 million barrels per day (bpd) in 2018 to a record 11.7 million bpd. Official U.S. fuel storage data from the Energy Information Administration is due at 1800 GMT on Wednesday. (Reporting by Noah Browning and Henning Gloystein; Editing by Dale Hudson and Alexandra Hudson) ",https://www.cnbc.com//2019/01/09/reuters-america-update-7-oil-rises-3-pct-on-u-s-china-trade-talk-optimism.html,"* U.S. crude oil climbs above $50/bbl for 1st time in 2019 * Sino-U.S. talks enter 3rd day, U.S. officials say going well * But trade tensions to dent 2019 economic growth - World Bank * OPEC-led supply cuts also prop up crude prices (Updates prices) ",UPDATE 7-Oil rises 3 pct on U.S.-China trade talk optimism
2019-01-09,"LONDON, Jan 9 (Reuters) - Oil prices climbed 2 percent on Wednesday as the extension of U.S.-China talks in Beijing raised hopes that the world's two largest economies would resolve their trade standoff. U.S. West Texas Intermediate (WTI) crude oil futures were at $50.84 per barrel at 1220 GMT, up $1.06, or 2.13 percent, the first time this year that WTI has topped $50. International Brent crude futures were up $1.14, or 1.94 percent, at $59.86 per barrel. Both crude price benchmarks added to Tuesday's 2 percent gains and have now been on the rise for eight straight days - their longest rally since June 2017. ""After a dreadful December for risk markets, crude oil continues to catch a positive vibe,"" said Stephen Innes at futures brokerage Oanda in Singapore, citing tensions between the superpowers which have cast a pall over the world economy. The trade talks in Beijing were carried over into an unscheduled third day on Wednesday, amid signs of progress on issues including purchases of U.S. farm and energy commodities and increased U.S. access to China's markets. ""Talks with China are going very well!"" U.S. President Donald Trump tweeted, without elaborating. State newspaper China Daily said on Wednesday that Beijing was keen to put an end to its trade dispute with the United States, but that any agreement must involve compromise on both sides. Stephen Brennock, analyst at London brokerage PVM Oil, warned against excessive optimism. ""Buyers have placed all their betting chips on the US and China resolving their trade spat,"" he said. ""A failure to secure a meaningful breakthrough in the coming days will therefore spark a turnaround in sentiment. It is also worth noting that the global economic outlook continues to darken,"" he added. The World Bank expects global economic growth to slow to 2.9 percent in 2019 from 3 percent in 2018, it said in a semi-annual report released late on Tuesday. More fundamentally, oil prices have been receiving support from supply cuts started at the end of 2018 by the Organization of the Petroleum Exporting Countries and allies including Russia. The OPEC-led cuts are aimed at reining in an emerging supply overhang, in part because U.S. crude output <C-OUT-T-EIA> surged by around 2 million barrels per day (bpd) in 2018 to a record 11.7 million bpd. Official U.S. fuel storage data from the Energy Information Administration is due at 1800 GMT on Wednesday. (Reporting by Noah Browning and Henning Gloystein; Editing by Dale Hudson and Alexandra Hudson) ",https://www.cnbc.com//2019/01/09/reuters-america-update-6-oil-rises-2-pct-on-u-s-china-trade-talk-optimism.html,"* U.S. crude oil climbs above $50/bbl for 1st time in 2019 * Sino-U.S. talks enter 3rd day, U.S. officials say going well * But trade tensions to dent 2019 economic growth - World Bank * OPEC-led supply cuts also prop up crude prices (updates prices, adds analyst) ",UPDATE 6-Oil rises 2 pct on U.S.-China trade talk optimism
