publish_datetime,content,href,publish_timestr,summarize,title
2018-12-14,"KATOWICE, Poland (Reuters) - Ministers and negotiators from nearly 200 nations were making a final effort on Friday evening to find consensus on the language and sticking points of a package to implement a landmark agreement to combat climate change.  Countries are on a self-imposed deadline to produce a “rulebook” to flesh out details of the 2015 Paris Agreement, which aims to limit the global temperature rise to below 2 degrees Celsius and which comes into force in 2020. Talks in Katowice, Poland, under way since Dec. 2, have been clouded by political divisions. Progress had been slow until some deadlocks were broken and draft texts produced overnight. Before the talks started, many expected that the deal would not be robust and fall short of the detailed plan scientists have said is needed to limit global warming to well below a 2 degree-Celsius rise this century. But on Friday evening there was more optimism than in the morning that compromises could be made to make the text acceptable to all parties. Exhausted delegates were trying to iron out differences in what could be a long night in the sprawling Spodek conference venue, a flying saucer-shaped concert and sports hall. U.N. secretary-general Antonio Guterres said he had told the Polish presidency of the talks that it was important to conclude work today “with the highest possible level of ambition”. “It’s essential for me that Katowice is not a failure. The worst thing that could happen to us is that. There would be the idea of chaos, the idea that to a certain extent we would be reproducing in Katowice what happened in Copenhagen.” Climate talks in Copenhagen in 2009 were widely regarded as a failure as they ended with a bare-minimum agreement. It took six more years to clinch a deal in Paris. The Katowice draft text is still subject to change but requires developed countries to deliver and increase on a promise of $100 billion a year of climate finance to help poorer countries adapt to climate change by 2020 and rules on how to report and monitor each nation’s greenhouse gas emissions. There has been compromise in some areas, such as tweaking language to recognise the importance of a report by the UN’s Intergovernmental Panel on Climate Change (IPCC) on limiting global warming to 1.5C, which caused rifts last week. Greater clarity is sought on what countries will do after leaving Poland and how they will strengthen their commitments and targets under the pact. “This text embeds the IPCC’s 1.5C report and recognises that (commitments) need to be updated by 2020 but fails to commit countries here and now to ramping up action,” said Jennifer Morgan, executive director at Greenpeace International. Sticking points for countries most vulnerable to climate change include reference to a mechanism to find ways to cover the growing costs of “loss and damage”, the stepping up of rich nations’ emissions targets and climate finance. “We do not want to see the Paris Agreement watered down,” said former Maldives president Mohamed Nasheed. Writing by Nina Chestney; additional reporting by Markus Wacket and and Laurie Goering; editing by Andrew Roche",https://uk.reuters.com/article/climate-change-accord/update-2-u-n-climate-talks-go-into-overtime-as-negotiators-grapple-with-text-idUKL8N1YJ4RH,14 Dec 2018,"* Issues remain around reporting and accounting for
emissions
(Updates throughout)",UPDATE 2-U.N. climate talks go into overtime as negotiators grapple with text
2018-12-14,"WASHINGTON (Reuters) - U.S. farm, automaker and food and beverage groups pressed the Trump administration on Friday to ensure that any new trade talks with the European Union lead to an increase in their access to EU markets with less red tape. U.S. President Donald Trump has demanded better terms of trade for the United States from China, the EU and Japan. Washington has already reworked the North American trade treaty with neighbours Mexico and Canada. Trump said poor trade deals have cost the United States millions of jobs. At a hearing on U.S. negotiating objectives for trade talks with the European Union, groups representing farmers, food and automobile companies said they wanted to be included in the talks and that reducing tariffs and regulatory restrictions should be a key objective.  The U.S. Trade Representative notified lawmakers in October of its plans to pursue the trade talks, though it has been unclear whether agriculture and automobiles would be included as a joint statement from the regions in July called for reductions but gave little direction on either sector. “It is fundamental that food and agriculture issues are a key component of this agreement,” U.S. Grains Council Director of Trade Policy Floyd Gaibler said at the hearing. That sentiment was echoed by others throughout the farm and food sector, as well as automaker groups. Testimony from the hearing will feed into the USTR’s formulation of negotiating objectives for the talks. It is unclear exactly when those discussions will begin. The farm and food groups on Friday also urged U.S. officials to address tariff barriers and other regulatory and labelling issues that hinder U.S. access to the lucrative European market. The European Union has more stringent standards than the United States regarding the use of pesticides, hormones and biotechnology in food crops. U.S. producers of products from beef to pistachios say these limit their access to the European market. “These are long-standing issues that we have struggled with for a long period of time,” said Gaibler, referring to the restrictions on biotechnology. He also stressed the importance of trying to remove antidumping duties that the European Union has placed on U.S. ethanol. Grocery Manufacturers Association Federal Affairs Director Nancy Wilkins reiterated that biotechnology is key issue, saying the EU’s labelling requirements for genetically modified organisms, known as GMOs, dramatically increase costs for U.S. food companies. For automakers, the deal is an opportunity to make regulations in both regions more consistent. Differing safety standards can add millions of dollars in cost per vehicle, making it difficult to sell American vehicles into Europe, the American Automotive Policy Council said. Food and automaker groups pressed U.S. officials to remove existing tariffs on steel and aluminium, at least while the negotiations are taking place. Under Trump, the United States has placed “Section 232” national security-related tariffs on steel and aluminium, prompting other countries to slap hefty retaliatory levies on U.S. goods. Jennifer Thomas, Vice President of Federal Government Affairs at the Alliance of Automobile Manufacturers, said the “steep and unexpected increases” have driven up costs at a difficult time. “We are very much at a time where my companies are witnessing flat or decreased sales,” she said. “This ongoing threat of auto tariffs, via 232, is just injecting more uncertainty at an already fragile time.” Reporting by Chris Prentice; Editing by Frances Kerry and Daniel Wallis",https://uk.reuters.com/article/usa-trade-eu/update-1-farm-automaker-groups-press-u-s-officials-to-push-for-more-eu-access-idUKL1N1YJ1J0,14 Dec 2018,"U.S. farm, automaker and food
and beverage groups pressed the Trump administration on Friday
to ensure that any new trade talks with the European Union lead
to an increase in their access to EU markets with less red tape.","UPDATE 1-Farm, automaker groups press U.S. officials to push for more EU access"
2018-12-14,"NEW YORK (Reuters) - A gauge of global stocks tumbled on Friday after weak economic data from China and Europe intensified global growth worries as investors weighed the broader impact of the trade dispute between the United States and China.  Euro zone business ended the year on a weak note, expanding at the slowest pace in over four years as new order growth all but dried up, hurt by trade tensions and violent protests in France, a survey showed. A separate survey showed French business activity plunged unexpectedly into contraction this month, retreating at the fastest pace in over four years in the face of the anti-government protests. Germany’s private-sector expansion slowed to a four-year low, meanwhile, suggesting growth in Europe’s largest economy may be weak in the final quarter. The European data came on the heels of weak readings from China, where November retail sales grew at the weakest pace since 2003 and industrial output rose the least in nearly three years, underlining risks to the economy as Beijing works to defuse its trade dispute with the United States.  “Certainly people are now starting to look through to end of cycle and say what could end of cycle look like,” said Erik Knutzen, multi-asset class chief investment officer at Neuberger Berman in New York.  “While we do expect equities to provide a reasonable return next year, as you get later in the cycle, the posture is probably to fade rallies as opposed to keep risk on through the end.” On Wall Street, U.S. stocks were not only hampered by growth worries but by a drop in Johnson & Johnson (JNJ.N) shares, which lost 10.04 percent, its biggest drop since 2002, as the biggest drag on both the Dow and S&P 500. The company’s stock fell after Reuters reported that the pharma major knew its baby powder was contaminated with cancer-causing asbestos. The Dow is now down more than 10 percent from its Oct. 3 high, putting each of the three major U.S. indexes in correction territory.  The growth worries overshadowed the latest signs of a thaw in the U.S.-China trade battle, as Beijing said it will temporarily suspend additional 25 percent tariffs on U.S.-made vehicles and auto parts starting Jan. 1, 2019.  The Dow Jones Industrial Average .DJI fell 496.87 points, or 2.02 percent, to 24,100.51, the S&P 500 .SPX lost 50.59 points, or 1.91 percent, to 2,599.95 and the Nasdaq Composite .IXIC dropped 159.67 points, or 2.26 percent, to 6,910.67. Growth concerns sent European stock markets lower to close out the week. The pan-European STOXX 600 index  lost 0.63 percent and MSCI’s gauge of stocks across the globe .MIWD00000PUS shed 1.58 percent. The STOXX still managed a weekly gain of 0.5 percent, while MSCI’s index is down nearly 5 percent over the past two weeks.  Despite the weak global data, U.S. data was solid and the dollar strengthened, as consumer spending gathered momentum in November, while industrial production rebounded and further cemented expectations the Federal Reserve will raise interest rates at its Dec. 18-19 meeting.  The dollar index .DXY rose 0.4 percent, with the euro EUR= down 0.51 percent to $1.1303.      Britain’s pound once again weakened after two days of gains, as Prime Minister Theresa May said further assurances on her Brexit deal were possible after European Union leaders told her they would not be renegotiating the agreement and scorned her stilted defence of Britain’s departure. Sterling GBP= was last trading at $1.2581, down 0.58 percent on the day. Benchmark 10-year U.S. Treasury notes US10YT=RR last rose 5/32 in price to yield 2.8949 percent, from 2.911 percent late on Thursday. Graphic: Global assets in 2018 - tmsnrt.rs/2jvdmXlGraphic: Global currencies vs. dollar - tmsnrt.rs/2egbfVhGraphic: USA-ECONOMY-RETAILSALES interactive - tmsnrt.rs/2RtKD2jGraphic: U.S. industrial output, capacity utilization DataStream Chart - tmsnrt.rs/2eeyJbf Additional reporting by Medha Singh in Bengaluru; Editing by Chizu Nomiyama and Jonathan Oatis",https://uk.reuters.com/article/global-markets/global-markets-global-growth-worry-hits-stocks-but-u-s-data-lifts-dollar-idUKL1N1YJ1R6,14 Dec 2018,"* U.S. Treasury yields fall
(Updates with close of U.S. markets)","GLOBAL MARKETS-Global growth worry hits stocks, but U.S. data lifts dollar"
2018-12-14,"NEW YORK (Reuters) - Oil prices dropped about 2 percent on Friday, weighed down by falling U.S. stock markets, while weak economic data from China pointed to lower fuel demand in the world’s biggest oil importer. Brent crude LCOc1 futures fell $1.17 to settle at $60.28 a barrel, a 1.90 percent loss. U.S. West Texas Intermediate (WTI) crude CLc1 futures lost $1.38 to settle at $51.20 a barrel, a 2.62 percent loss. Global benchmark Brent posted a weekly loss of almost 2.3 percent, while WTI declined nearly 2.7 percent. “The oil complex remains vulnerable to heavy selling into the equities especially when combined with a strengthening in the U.S. dollar as is the case so far today,” Jim Ritterbusch, president of Ritterbusch and Associates, said in a note. U.S. equity markets broadly fell as China’s November retail sales grew at their weakest pace since 2003 and industrial output rose the least in nearly three years. The report added to nerves about U.S.-China trade relations. Chinese oil refinery throughput in November fell from October, suggesting an easing in oil demand, though runs were 2.9 percent above year-ago levels. “Oil came under pressure out of poor economic data from China overnight, dampening enthusiasm for good oil demand growth in 2019 in light of a currently oversupplied market,” said Andrew Lipow, president of Lipow Oil Associates in Houston. Concerned by mounting oversupply, the Organization of the Petroleum Exporting Countries and other oil producers, including Russia, agreed last week to reduce output by 1.2 million barrels per day (bpd), or more than 1 percent of global demand. U.S. energy firms cut four oil rigs in the week to Dec. 14, General Electric Co’s (GE.N) Baker Hughes energy services firm said in its closely followed report on Friday. RIG-OL-USA-BHI The data is seen as an indicator of future production. The International Energy Agency said on Thursday it expected a deficit in oil supply by the second quarter of next year, provided OPEC members and other key producers stuck closely to last week’s deal to cut output. As part of the agreement, de facto OPEC leader Saudi Arabia plans to reduce its output to 10.2 million bpd in January. The IEA kept its 2019 forecast for global oil demand growth at 1.4 million bpd, unchanged from its projection last month, and said it expected growth of 1.3 million bpd this year. Barclays said on Friday it expects oil prices to rebound in the first half of 2019 on falling inventories, Saudi Arabia’s export cuts and an end to the Iran sanction waivers. Hedge funds cut bullish wagers on U.S. crude to the lowest levels in more than two years in the week to Dec. 11, the U.S. Commodity Futures Trading Commission (CFTC) said on Friday. Additional reporting by Christopher Johnson in London and Koustav Samanta in Singapore; Editing by Phil Berlowitz, Chris Reese and Jonathan Oatis",https://uk.reuters.com/article/global-oil/update-12-oil-drops-2-pct-on-wall-st-losses-weak-china-data-idUKL3N1YJ1H4,14 Dec 2018,"* U.S. oil drillers cut rigs for second week in row -Baker
Hughes
(Updates with CFTC data)","UPDATE 12-Oil drops 2 pct on Wall St losses, weak China data"
2018-12-14,"(Adds statements from winning bidders) By Nichola Groom Dec 14 (Reuters) - A U.S. government auction for three wind leases off the coast of Massachusetts ended on Friday with record-setting bids totaling more than $400 million from European energy giants including Royal Dutch Shell Plc and Equinor ASA. The Bureau of Ocean Energy Management (BOEM) announced the sale’s three winners - Equinor Wind US LLC, Mayflower Wind Energy LLC, and Vineyard Wind LLC, at the conclusion of the two-day sale that attracted 11 bidders and lasted 32 rounds. Mayflower is a joint venture owned by Shell and EDP Renewables, a division of Portugal’s EDP. Vineyard Wind is a joint venture between Copenhagen Infrastructure Partners and Avangrid Inc, a division of Spain’s Iberdrola SA. Equinor is the Norwegian company formerly known as Statoil. Equinor and Mayflower each bid $135 million for their leases, while Vineyard Wind bid $135.1 million, BOEM said. “We are truly blown away by this result,” BOEM Acting Director Walter Cruickshank said on a conference call to announce the winners. The amounts were by far the highest ever bid for a U.S. offshore wind lease. Equinor held the previous record of $42.5 million for a lease off the coast of New York. President Donald Trump’s administration is streamlining the permitting for offshore wind and carving out new areas off the coast for leasing to boost domestic energy production and jobs. That dovetails with recent mandates in Northeastern U.S. states such as New Jersey, Massachusetts and New York requiring utilities to procure offshore wind energy. Combined, the three leases represent nearly 390,000 acres (157,800 hectares) near the Massachusetts islands of Martha’s Vineyard and Nantucket and Rhode Island’s Block Island. The same areas failed to sell at a 2015 auction, reflecting the industry’s changing view of the potential of the United States as a market for offshore wind. “Mayflower’s entry into U.S. offshore wind is exciting,” Mayflower Director John Hartnett said in a statement. A wind farm capable of powering more than 680,000 homes could come online by the mid-2020s in its lease area, Mayflower said. Equinor said the new lease, combined with the New York lease it already holds, gives it a strong position within reach of important offshore wind markets. Vineyard Wind, which is developing a wind farm in a separate lease area off the coast of Martha’s Vineyard, said in a statement that the company was “excited to expand our offshore wind presence in the waters offshore New England.” (Reporting by Nichola Groom in Los Angeles; Editing by Rosalba O’Brien, Will Dunham and Jonathan Oatis)",https://uk.reuters.com/article/usa-offshorewind/update-2-europeans-sweep-record-u-s-offshore-wind-auction-idUKL1N1YJ1EZ,14 Dec 2018,"A U.S. government auction for three wind
leases off the coast of Massachusetts ended on Friday with
record-setting bids totaling more than $400 million from
European energy giants including Royal Dutch Shell Plc
and Equinor ASA.",UPDATE 2-Europeans sweep record U.S. offshore wind auction
2018-12-14,"* Global growth worries hit stocks * Dollar strengthens on U.S. economic data * U.S. Treasury yields fall (Updates with close of European markets) By Chuck Mikolajczak NEW YORK, Dec 14 (Reuters) - A gauge of global stocks tumbled on Friday after weak economic data from China and Europe intensified global growth worries as investors weighed the broader impact of the trade dispute between the United States and China. Euro zone business ended the year on a weak note, expanding at the slowest pace in over four years as new order growth all but dried up, hurt by trade tensions and violent protests in France, a survey showed. A separate survey showed French business activity plunged unexpectedly into contraction this month, retreating at the fastest pace in over four years in the face of the anti-government protests. Germany’s private-sector expansion slowed to a four-year low, meanwhile, suggesting growth in Europe’s largest economy may be weak in the final quarter. The European data came on the heels of weak readings from China, where November retail sales grew at the weakest pace since 2003 and industrial output rose the least in nearly three years, underlining risks to the economy as Beijing works to defuse its trade dispute with the United States. “The world is slowing down. Investors are worried the central banks missed an opportunity in 2013 to try and normalize and now they may be behind the eight ball,” said Jack Ablin, chief investment officer at Cresset Wealth Advisors in Chicago. “It seems like what they are going to do is move forward without much ammunition to fight the next downturn.” On Wall Street, U.S. stocks were not only hampered by growth worries but by a drop in Johnson & Johnson shares, which lost 9.27 percent, its biggest drop in a decade, as the biggest drag on both the Dow and S&P 500 after Reuters reported that the pharma major knew that its baby powder was contaminated with cancer-causing asbestos. The growth worries overshadowed the latest signs of a thaw in the U.S.-China trade battle, as Beijing said it will temporarily suspend additional 25 percent tariffs on U.S.-made vehicles and auto parts starting Jan. 1, 2019. The Dow Jones Industrial Average fell 454.66 points, or 1.85 percent, to 24,142.72, the S&P 500 lost 43.73 points, or 1.65 percent, to 2,606.81 and the Nasdaq Composite dropped 122.49 points, or 1.73 percent, to 6,947.84. Growth concerns sent European stock markets lower to close out the week. The pan-European STOXX 600 index lost 0.63 percent and MSCI’s gauge of stocks across the globe shed 1.41 percent. The STOXX still managed a weekly gain of 0.5 percent, however. Despite the weak global data, the dollar strengthened on the back of solid U.S. data, as consumer spending gathered momentum in November, while industrial production rebounded, further cementing expectations the Federal Reserve will raise interest rates at its Dec. 18-19 meeting. The dollar index rose 0.39 percent, with the euro down 0.53 percent to $1.1301. Britain’s pound once again weakened after two days of gains, as Prime Minister Theresa May said further assurances on her Brexit deal were possible after European Union leaders told her they would not be renegotiating the agreement and scorned her stilted defense of Britain’s departure. Sterling was last trading at $1.258, down 0.59 percent on the day. Benchmark 10-year U.S. Treasury notes last rose 7/32 in price to yield 2.8877 percent, from 2.911 percent late on Thursday. Additional reporting by Medha Singh in Bengaluru
Editing by Chizu Nomiyama",https://uk.reuters.com/article/global-markets/global-markets-global-growth-worry-hits-stocks-but-u-s-data-lifts-dollar-idUKL1N1YJ1F1,14 Dec 2018,"* U.S. Treasury yields fall
(Updates with close of European markets)","GLOBAL MARKETS-Global growth worry hits stocks, but U.S. data lifts dollar"
2018-12-14,"SAN FRANCISCO (Reuters) - California air quality regulators voted on Friday to require that transit buses have zero emissions beginning in 2029, another step by the liberal-leaning state that sets it apart from the environmental policies of the Trump administration. The California Air Resources Board voted unanimously on the proposal to ramp up the use of battery electric or fuel-cell buses until 2029, at which point all new transit buses will have to be zero-emission vehicles. The move away from diesel buses will be a boon to companies such as Chinese automaker BYD , backed by Warren Buffett’s Berkshire Hathaway Inc  and Silicon Valley startup Proterra Inc, which have bet that zero-emissions buses will eventually catch on.   Environmentals applauded the decision, while noting that California was already a hub for electric bus manufacturing.  “This is the first major regulation in the U.S. for transitioning to zero-emission buses and will serve as a model for other states and countries,” said Kathryn Phillips, director of Sierra Club California. California is the leader in setting strict environmental standards, a record that has put it conflict with federal regulators.  Reporting by Alexandria Sage; Editing by Paul Simao and Jonathan Oatis",https://uk.reuters.com/article/california-electric-buses/update-1-california-to-phase-in-electric-fuel-cell-transit-buses-regulators-idUKL1N1YJ1HA,14 Dec 2018,"California air quality
regulators voted on Friday to require that transit buses have
zero emissions beginning in 2029, another step by the
liberal-leaning state that sets it apart from the environmental
policies of the Trump administration.","UPDATE 1-California to phase in electric, fuel-cell transit buses -regulators"
2018-12-14,"KATOWICE, Poland (Reuters) - Chile has been selected to host the next United Nations’ climate conference in 2019, it was announced at the current meeting in the Polish city of Katowice on Friday. Brazil was initially slated to host the talks under but far-right president-elect Jair Bolsonaro pushed the Brazilian government to withdraw its offer to host conference.  Under U.N. rules, next year is the turn of a Latin American or Caribbean country to host the event.  Chile and Costa Rica were the forerunners. Costa Rica withdrew because of the costs but offered to help Chile in the organization of the so-called twenty-fifth Conference of the Parties (COP25). “We are delighted to tell you that for COP25, we will be working with Costa Rica,” Chile’s environment minister Carolina Schmidt told the conference in Katowice on Friday.     Reporting by Bate Felix; editing by Nina Chestney",https://uk.reuters.com/article/climate-change-accord-chile/chile-to-host-u-n-climate-talks-in-2019-idUKL8N1YJ5WE,14 Dec 2018,"Chile has been selected
to host the next United Nations' climate conference in 2019, it
was announced at the current meeting in the Polish city of
Katowice on Friday.",Chile to host U.N. climate talks in 2019
2018-12-14,,https://uk.reuters.com/article/global-softs/softs-robusta-coffee-hits-contract-low-sugar-and-cocoa-end-down-idUKL8N1YJ48Y,14 Dec 2018,"Robusta coffee futures
hit a new contract low on Friday as ample supplies and fund
selling pressured prices, while raw sugar futures were pressured
by the falling currency in top grower Brazil.
          
    COFFEE
    * March robusta coffee         settled down $34, or 2.3
percent, at $1,470 per tonne, after dipping to a new contract
low of $1,468, also the weakest for the second position sin",SOFTS-Robusta coffee hits contract low; sugar and cocoa end down
2018-12-14,"(Reuters) - U.S. energy firms cut oil rigs for a second week in a row this week, prolonging a move by drillers over the past month to reduce the number of active rigs after crude prices collapsed in October and November. Drillers cut four oil rigs in the week to Dec. 14, bringing the total count down to 873, the lowest since mid October, General Electric Co’s (GE.N) Baker Hughes energy services firm said in its closely followed report on Friday. RIG-OL-USA-BHI More than half the total U.S. oil rigs are in the Permian Basin, the country’s biggest shale oil formation. Active units there declined by three this week to 486, the lowest since early October. The U.S. rig count, an early indicator of future output, is higher than a year ago when 747 rigs were active as energy companies have spent more to capture higher prices. U.S. crude futures CLc1 were trading around $51 a barrel on Friday, down more than 2 percent for the week, on data showing slower economic growth in China. [O/R] That put the front-month up less than 1 percent so far in December after the contract crashed almost 11 percent in October and 22 percent in November. Crude futures for calendar 2019 CLYstc1 and 2020 CLYstc2 were trading around $53/bbl. U.S. financial services firm Cowen & Co this week said the exploration and production (E&P) companies it tracks have provided guidance indicating a 23 percent increase this year in planned capital spending. Cowen said the E&Ps it tracks expect to spend a total of $89.1 billion in 2018. That compares with capital spending budgets for $72.2 billion in 2017. Cowen said early 2019 spending plans were mixed. Hess Corp (HES.N) said this week it would boost capital spending by 38 percent in 2019 to $2.9 billion, noting its oil and natural gas output should see compound annual production growth through 2025 of more than 10 percent due in part to development of its Bakken shale projects. Analysts at Simmons & Co, energy specialists at U.S. investment bank Piper Jaffray, this week forecast the average combined oil and natural gas rig count would rise from 876 in 2017 to 1,031 in 2018, 1,092 in 2019 and 1,227 in 2020. Year-to-date, the total number of oil and gas rigs active in the United States has averaged 1,030. That keeps the total count for 2018 on track for the highest since 2014, which averaged 1,862 rigs. Most rigs produce both oil and gas. The U.S. Energy Information Administration (EIA) this week projected average annual U.S. production will rise to a record 10.9 million barrels per day (bpd) in 2018 and 12.1 million bpd in 2019 from 9.4 million bpd in 2017. [EIA/M] The current all-time U.S. annual output peak was in 1970 at 9.6 million bpd, according to federal energy data. Reporting by Scott DiSavino; Editing by Meredith Mazzilli",https://uk.reuters.com/article/usa-rigs-baker-hughes/update-1-u-s-oil-drillers-cut-rigs-for-second-week-in-a-row-baker-hughes-idUKL1N1YJ1BT,14 Dec 2018,"U.S. energy firms cut oil rigs for a
second week in a row this week, prolonging a move by drillers
over the past month to reduce the number of active rigs after
crude prices collapsed in October and November.",UPDATE 1-U.S. oil drillers cut rigs for second week in a row -Baker Hughes
