publish_datetime,content,href,story_abstract,title
2019-01-02,"investors@ SINGAPORE, Jan 3 (Reuters) - Oil prices fell on Thursday amid volatile currency and stock markets, and as analysts warned of an economic slowdown for 2019 just as crude supply is rising globally. U.S. West Texas Intermediate (WTI) crude oil futures dropped by around 2 percent from their last settlement, or 93 cents, to $45.61 by 0404 GMT. International Brent crude futures were down 1.1 percent, or 60 cents, at $54.31 a barrel. In physical oil markets, top exporter Saudi Arabia is expected to cut February prices for heavier crude grades sold to Asia by up to 50 cents a barrel due to weaker fuel oil margins, respondents to a Reuters survey said on Thursday. Markets were roiled by a more than 3 percent slump of the U.S. dollar against the Japanese yen overnight, and after tech giant Apple cut its sales forecast. ""We did not foresee the magnitude of the economic deceleration, particularly in Greater China,"" Apple chief executive Tim Cook said. The slowdown in China and turmoil in stock and currency markets is making investors nervous, including in oil markets. Investment bank Jefferies said in a 2019 opening note to clients and employees that the start of the year ""doesn't feel as firm, the future doesn't feel as certain and optimistic, and the path forward does not seem as clear."" The U.S. bank added that ""markets are extremely volatile and virtually impossible to anticipate or navigate."" Shipping brokerage Eastport said the turmoil in markets is scaring off investors. ""Falling share prices tend to damage consumer sentiment, which often results in increased caution and reduced spending...Business managers also tend to limit capex, thus weighing on investment as well."" SUPPLY SURGE Oil markets have also come under pressure from a surge in supply. U.S. crude production stood at a record 11.7 million barrels per day (bpd) in late 2018, making the United States the world's biggest oil producer. Others are not sitting idle, with Russian output reaching a record of more than 11 million bpd in 2018. Supply from Iraq, the number two producer in the Organization of the Petroleum Exporting Countries (OPEC) behind Saudi Arabia, is also up, with December exports at 3.73 million bpd, up from 3.37 million bpd in November. With production rising and demand growth expected to slow, many analysts expect a global oil supply overhang to build in the first months of 2019. (Reporting by Henning Gloystein; editing by Richard Pullin) ",https://www.cnbc.com//2019/01/02/reuters-america-update-2-oil-prices-slide-on-supply-surge-global-market-turmoil-scares-off-investors.html,"* Saudi Arabia expected to cut Feb physical crude prices * Fear and the global economy: https://tmsnrt.rs/2AtMMVh * Apple cuts sales forecast on weakening China * U.S. dollar tumbles against Japanese yen * Oil supply surge is creating supply overhang (Adds Saudi price preview, comment; updates prices) ","UPDATE 2-Oil prices slide on supply surge, global market turmoil scares off investors"
2019-01-02,"U.S. WEST TEXAS INTERMEDIATE CRUDE OIL FUTURES FALL BY MORE THAN 2 PERCENT AMID GLOBAL MARKET TURMOIL, SUPPLY SURGE ",https://www.cnbc.com//2019/01/02/reuters-america-u-s-west-texas-intermediate-crude-oil-futures-fall-by-more-than-2-percent-amid-global-market-turmoil-supply-surge.html,,"U.S. WEST TEXAS INTERMEDIATE CRUDE OIL FUTURES FALL BY MORE THAN 2 PERCENT AMID GLOBAL MARKET TURMOIL, SUPPLY SURGE"
2019-01-02,"surge@ SINGAPORE, Jan 3 (Reuters) - Oil prices fell on Thursday amid volatile currency and stock markets, and as analysts warned of an economic slowdown for 2019 just as crude supply is rising globally. U.S. West Texas Intermediate (WTI) crude oil futures were at $45.93 per barrel at 0152 GMT, down 61 cents, or 1.3 percent, from their last settlement. International Brent crude futures were down 36 cents, or 0.7 percent, at $54.55 per barrel. Markets were roiled by a more than 3 percent crash of the U.S.-dollar against Japan's yen overnight, and after U.S. tech giant Apple cut its sales forecast. ""We did not foresee the magnitude of the economic deceleration, particularly in Greater China,"" Apple chief executive Tim Cook said. The slowdown in China and turmoil in stock and currency markets is making investors nervous, including in oil markets. Investment bank Jefferies said in a 2019 opening note to clients and employees that the start of the year ""doesn't feel as firm, the future doesn't feel as certain and optimistic, and the path forward does not seem as clear."" The U.S. bank added that ""markets are extremely volatile and virtually impossible to anticipate or navigate."" SUPPLY SURGE Oil markets have also come under pressure from a surge in supply. U.S. crude production stood at a record 11.7 million barrels per day (bpd) in late 2018, making the United States the world's biggest oil producer. Others are not sitting idle, with Russian output reaching a record of more than 11 million bpd in 2018. Supply from Iraq, the number two producer in the Organization of the Petroleum Exporting Countries (OPEC) behind Saudi Arabia, is also up, with December exports at 3.73 million bpd, up from 3.37 million bpd in November. With production rising and demand growth expected to slow, many analysts expect a global oil supply overhang to build in the first months of 2019. (Reporting by Henning Gloystein; editing by Richard Pullin) ",https://www.cnbc.com//2019/01/02/reuters-america-update-1-oil-prices-fall-amid-currency-and-share-market-turmoil-crude-supply-surge.html,"* Fear and the global economy: https://tmsnrt.rs/2AtMMVh * Apple cuts sales forecast on weakening China * U.S.-dollar tumbles against Japan's yen * Oil supply surge is creating supply overhang (Adds supply detail, graphic; updates prices) ","UPDATE 1-Oil prices fall amid currency and share market turmoil, crude supply surge"
2019-01-02,"Fear and the global economy: https://tmsnrt.rs/2AtMMVh By Henning Gloystein SINGAPORE, Jan 3 (Reuters) - Oil prices fell by more than one percent on Thursday amid volatile currency and stock markets, and as analysts warned of an economic slowdown for 2019. U.S. West Texas Intermediate (WTI) crude oil futures were at $45.83 per barrel at 0120 GMT, down 71 cents, or 1.5 percent, from their last settlement. International Brent crude futures were down 51 cents, or 0.9 percent, at $54.40 per barrel. Markets were roiled by a more than 3 percent crash of the U.S.-dollar against Japan's yen overnight, and after U.S. tech giant Apple cut its sales forecast. ""We did not foresee the magnitude of the economic deceleration, particularly in Greater China,"" Apple chief executive Tim Cook said. The slowdown in China and turmoil in stock and currency markets is making investors nervous, including in oil markets. Investment bank Jefferies said in a 2019 opening note to clients and employees that the start of the year ""doesn't feel as firm, the future doesn't feel as certain and optimistic, and the path forward does not seem as clear."" The U.S. bank added that ""markets are extremely volatile and virtually impossible to anticipate or navigate."" (Reporting by Henning Gloystein; editing by Richard Pullin) ",https://www.cnbc.com//2019/01/02/reuters-america-oil-prices-drop-amid-currency-and-stock-market-turmoil.html,* Apple cuts sales forecast on weakening China * U.S.-dollar tumbles against Japan's yen ,Oil prices drop amid currency and stock market turmoil
2019-01-02,"NEW YORK, Jan 2 (Reuters) - Oil prices rose about 2 percent in choppy trading on Wednesday, supported by a slight recovery on Wall Street, even as concerns remained about weakening global economic growth which could hurt demand for oil. Brent crude futures gained $1.11, or 2.1 percent, to settle at $54.91 a barrel, after trading between $52.51 and $56.56. U.S. West Texas Intermediate (WTI) crude ended $1.13, or 2.5 percent, higher at $46.54 a barrel, after hitting a session low at $44.35 and high at $47.78. Oil futures were buoyed by U.S. equity markets as major stock indices pared earlier losses. Crude futures have recently tracked stocks on Wall Street, which in 2018 recorded its worst year in a decade. However, manufacturing data from China earlier added to ongoing concerns about a slowing global economy and increased output out of countries like Russia. China's factory activity contracted for the first time in more than two years in December, highlighting the challenges facing Beijing as it seeks to end a bruising trade war with Washington. ""We still view some slippage in the Chinese economy as a significant bearish consideration given the fact that they had become the largest crude importer in the world,"" Jim Ritterbusch, president of Ritterbusch and Associates, said in a note Euro zone manufacturing data also proved disappointing, as activity barely expanded at the end of 2018, according to a survey. Worries about an economic slowdown and excess supply dragged down oil prices from multi-year highs reached in October 2018. Crude futures ended 2018 down for the first year since 2015, with WTI slumping 25 percent and Brent tumbling 21 percent. Russian production hit a post-Soviet record in 2018, figures showed on Wednesday. Other data showed U.S. output reached a record in October and Iraq boosted oil exports in December. Surging shale output has helped make the United States the world's biggest oil producer, ahead of Saudi Arabia and Russia. Oil production has been at or near record highs in all three countries. Signs of rising production illustrate the challenge facing the Organization of the Petroleum Exporting Countries and its allies, including Russia, which are seeking to prop up the market with a supply cut of 1.2 million barrels per day. However, the energy minister for the United Arab Emirates, an OPEC member, said on Tuesday he remained optimistic about achieving a market balance in the first quarter. (Additional reporting by Alex Lawler and Noah Browning in London and Henning Gloystein in Singapore Editing by Marguerita Choy and Paul Simao) ",https://www.cnbc.com//2019/01/02/reuters-america-update-15-oil-volatile-ends-up-2-pct-but-demand-concerns-still-weigh.html,"* U.S. equity markets lend some support to crude futures * Contraction in China factory activity hangs over oil * Russian, U.S. output set records, Iraq boosts exports (Updates with settlement prices, market activity, adds commentary) ","UPDATE 15-Oil volatile, ends up 2 pct but demand concerns still weigh"
2019-01-02,"NEW YORK, Jan 2 (Reuters) - Oil prices rose 4 percent in choppy trading on Wednesday, but concerns remained about rising crude production and weakening global economic growth which could hurt demand for oil. Brent crude futures rose $2.38 to $56.18 a barrel, a 4.4 percent gain, by 11:27 a.m. EST (1627 GMT) after earlier falling as low as $52.51. U.S. West Texas Intermediate (WTI) crude futures rose $2.09 to $47.50 a barrel, a 4.6 percent gain, after sinking to $44.35. ""Given the high levels of price volatility we've witnessed over the last month, a $2 daily move isn't really anything other than signs we continue to have price volatility,"" said Gene McGillian, vice president of market research for Tradition Energy in Stamford, Connecticut. Oil futures were buoyed by some gains in U.S. stocks, with the Nasdaq Composite turning positive after earlier losses. Crude futures have recently tracked stocks on Wall Street. However, disappointing manufacturing data from China earlier added to ongoing concerns about a slowing global economy and increased output out of countries like Russia. China's factory activity contracted for the first time in over two years in December, highlighting the challenges facing Beijing as it seeks to end a bruising trade war with Washington. ""The manufacturing survey data out of China this week is particularly negative for crude oil, as it goes to the heart of the key demand center for the market,"" said John Kilduff, a partner at Again Capital Management in New York. Worries about an economic slowdown and excess supply dragged oil prices from multi-year highs reached in October 2018. Crude futures ended 2018 down for the first year since 2015. Russian production hit a post-Soviet record in 2018, figures showed on Wednesday. Other data showed U.S. output reached a record in October and Iraq boosted oil exports in December. Surging shale output has helped make the United States the world's biggest oil producer, ahead of Saudi Arabia and Russia. Oil production has been at or near record highs in all three countries. Signs of rising production illustrate the challenge facing the Organization of the Petroleum Exporting Countries and its allies, including Russia, which are seeking to prop up the market with a supply cut of 1.2 million barrels per day. However, the energy minister for the United Arab Emirates, an OPEC member, said on Tuesday he remained optimistic about achieving a market balance in the first quarter. (Additional reporting by Alex Lawler and Noah Browning in London and Henning Gloystein in Singapore Editing by Bernadette Baum) ",https://www.cnbc.com//2019/01/02/reuters-america-update-13-oil-jumps-4-percent-but-demand-concerns-still-weigh.html,"* China factory activity shrinks for first time in over 2 years * Russian, U.S. output set records, Iraq boosts exports (Updates prices, market activity, adds commentary) ","UPDATE 13-Oil jumps 4 percent, but demand concerns still weigh"
2019-01-02,,https://www.cnbc.com//2019/01/02/reuters-america-u-s-crude-futures-rise-by-5-pct-to-session-high-of-47-point-72-a-barrel.html,,*U.S. CRUDE FUTURES RISE BY 5 PCT TO SESSION HIGH OF $47.72 A BARREL
2019-01-02,"NEW YORK, Jan 2 (Reuters) - Oil prices rose 3 percent on Wednesday, tracking U.S. equity markets that also pared some earlier losses, but traders said concerns about rising crude production and weakening global economic trends were likely to keep rallies contained. Brent crude futures rose $1.69, or 3.2 percent, to $55.46 a barrel by 10:59 a.m. EST (1559 GMT) after earlier falling as low as $52.51. U.S. West Texas Intermediate (WTI) crude futures gained $1.37 to $46.78 a barrel, a 3 percent gain, after sinking to $44.35. U.S. equity markets pared some losses in mid-morning trade, boosting oil prices. Crude futures have recently tracked closely with Wall Street. ""Energy markets are following lockstep with what the equity markets are doing here, and I think that's going to continue to be the case,"" said Brian LaRose at ICAP Technical Analysis. However, disappointing manufacturing data from China earlier added to ongoing concerns about a slowing global economy and increased output out of countries like Russia. China's factory activity contracted for the first time in over two years in December, highlighting the challenges facing Beijing as it seeks to end a bruising trade war with Washington. ""The manufacturing survey data out of China this week is particularly negative for crude oil, as it goes to the heart of the key demand center for the market,"" said John Kilduff, a partner at Again Capital Management in New York. Worries about an economic slowdown and excess supply dragged oil prices from multi-year highs reached in October 2018. Crude futures ended 2018 down for the first year since 2015. Russian production hit a post-Soviet record in 2018, figures showed on Wednesday. Other data showed U.S. output reached a record in October and Iraq boosted oil exports in December. Surging shale output has helped make the United States the world's biggest oil producer, ahead of Saudi Arabia and Russia. Oil production has been at or near record highs in all three countries. The signs of rising production illustrate the challenge facing the Organization of the Petroleum Exporting Countries and its allies, including Russia, which are seeking to prop up the market with a supply cut of 1.2 million barrels per day. However, the energy minister for the United Arab Emirates, an OPEC member, said on Tuesday he remained optimistic about achieving a market balance in the first quarter. (Additional reporting by Alex Lawler and Noah Browning in London and Henning Gloystein in Singapore Editing by Marguerita Choy and Jan Harvey) ",https://www.cnbc.com//2019/01/02/reuters-america-update-12-oil-rises-3-percent-but-demand-concerns-still-weigh.html,"* U.S. equity markets pare losses, boosting crude futures * China factory activity shrinks for first time in over 2 years * Russian, U.S. output set records, Iraq boosts exports (Updates prices, market activity, adds commentary; changes byline, dateline, updates bullets, previous LONDON) ","UPDATE 12-Oil rises 3 percent, but demand concerns still weigh"
2019-01-02,"TORONTO, Jan 2 (Reuters) - The Canadian dollar strengthened against its broadly stronger U.S. counterpart on Wednesday, paring some of its 2018 decline as higher oil prices offset domestic data showing a slowdown in manufacturing growth. The IHS Markit Canada Manufacturing Purchasing Managers' index fell to a seasonally adjusted 53.6 in December, its lowest in nearly two years, from 54.9 in November, as production growth faltered and export orders stagnated. Signs of slower Canadian manufacturing growth came as weak data in Asia and Europe added to fears of a global economic slowdown. Still, stocks pared some earlier losses and the price of oil, one of Canada's major exports, turned higher. U.S. crude oil futures were up nearly 2 percent at $46.31 a  barrel. At 10:14 a.m. (1514 GMT), the Canadian dollar was  trading 0.4 percent higher at 1.3597 to the greenback, or 73.55 U.S. cents. The currency, which touched on Friday its weakest since May 2017 at 1.3665, traded in a range of 1.3570 to 1.3662. In 2018, the loonie declined 7.8 percent, its worst performance in three years as oil prices plunged and expectations dwindled for additional rate hikes in 2019 from the Bank of Canada. Canadian government bond prices were higher across a flatter yield curve, with the two-year up 3 Canadian cents to yield 1.845 percent and the 10-year rising 38  Canadian cents to yield 1.921 percent. The 10-year yield hit its lowest intraday since December 2017 at 1.871 percent. The country's employment report for December is due on Friday. (Reporting by Fergal Smith Editing by Nick Zieminski) ",https://www.cnbc.com//2019/01/02/reuters-america-canada-fx-debt-c-pares-its-recent-decline-as-oil-prices-rally.html,* Canadian dollar rises 0.4 percent against the greenback * Price of U.S. oil rises nearly 2 percent * Canada manufacturing PMI falls to nearly 2-year low * Canadian bond prices rise across a flatter yield curve * Canada's 10-year yield hits its lowest in more than one year ,CANADA FX DEBT-C$ pares its recent decline as oil prices rally
2019-01-02,"CRUDE FUTURES EXTEND GAINS, BRENT RISES MORE THAN $2 TO SESSION HIGH OF $55.90 A BARREL ",https://www.cnbc.com//2019/01/02/reuters-america-crude-futures-extend-gains-brent-rises-more-than-2-to-session-high-of-55-point-90-a-barrel.html,,"CRUDE FUTURES EXTEND GAINS, BRENT RISES MORE THAN $2 TO SESSION HIGH OF $55.90 A BARREL"
