publish_datetime,content,href,publish_timestr,summarize,title
2018-03-02,"NEW YORK, March 2 (Thomson Reuters Foundation) - I mplementing the Paris climate agreement by investing trillions of dollars to slow greenhouse gas emissions would be far cheaper than paying the costs of people sickened by polluted air, scientists said on Friday. Governments worldwide could save $54 trillion in health care by investing less than half that amount in green projects by mid-century, researchers said in a study published in The Lancet Planetary Health, an online academic journal. Such an investment would result in 30 million fewer premature deaths related to air pollution, said the study’s co-author Jon Sampedro, a researcher at Spain’s Basque Centre for Climate Change. The Paris agreement reached in 2015 by nearly 200 countries committed to curbing greenhouse emissions enough to keep the global hike in temperatures “well below” 2 degrees Celsius (3.6 Fahrenheit) above pre-industrial times while “pursuing efforts” for a far tougher 1.5 C ceiling. A United Nations draft report earlier this year projected that unless governments take unprecedented measures, the global temperature rise is on track to exceed the accord’s tougher target. Authors of the study said their calculations of steep savings could convince policy-makers to adopt more aggressive policies to curb human emissions of greenhouse gasses that include carbon dioxide from burning fossil fuels. “We hope (that) ... might help policymakers move towards adopting more ambitious climate policies and measures to reduce air pollution,” said Anil Markandya, a professor at the Basque Centre, in a statement. The team of researchers from Spain, the United States and Italy ran computer models that combined future estimates of emissions, air pollution-related deaths and healthcare benefits for the entire world. Achieving the highest levels of savings would require China and India making the largest joint investment, some $9 trillion, to tackle climate change, the study said. The two countries would then save most by having healthier populations, it said. Together China and India account for about a third of global emissions, according to the World Resources Institute, a Washington-based think tank. The Paris agreement allowed nations to set their own targets to slow climate change, with no sanctions for non-compliance. President Donald Trump announced last year he was pulling the United States, the world’s second biggest emitter of heat-trapping carbon dioxide, out of the deal. China is the biggest such emitter. His decision isolates the United States as the only country opposed to the pact. (Reporting by Sebastien Malo @sebastienmalo, Editing by Ellen Wulfhorst ((Please credit the Thomson Reuters Foundation, the charitable arm of Thomson Reuters, that covers humanitarian news, women's rights, trafficking, property rights, climate change and resilience. Visit news.trust.org)",https://uk.reuters.com/article/global-climatechange-costs/implementing-climate-pact-would-dramatically-save-health-care-costs-researchers-idUKL2N1QK0KU,02 Mar 2018,"NEW YORK, March 2 (Thomson Reuters Foundation) -
I mplementing the Paris climate agreement by investing trillions
of dollars to slow greenhouse gas emissions would be far cheaper
than paying the costs of people sickened by polluted air,
scientists said on Friday.",Implementing climate pact would dramatically save health care costs- researchers
2018-03-02,"UNITED NATIONS (Reuters) - China delayed a U.S. request for a United Nations Security Council committee to blacklist 33 ships, 27 shipping companies, and a Taiwan man for violating international sanctions on North Korea, diplomats said on Friday. The United States submitted the request a week ago, a move it says is “aimed at shutting down North Korea’s illicit maritime smuggling activities to obtain oil and sell coal.”     The U.N. request coincided with the United States imposing its largest package of unilateral sanctions against North Korea on Friday, intensifying pressure on Pyongyang to give up its nuclear weapons and missile programmes. China did not give a reason for placing a hold on the U.S. request. A hold can be lifted and is often used when a Security Council member wants more information, but sometimes it can lead to a permanent blocking of a proposed blacklisting. The Security Council North Korea sanctions committee works on the basis of unanimity. If agreed, the 33 ships proposed by the United States, 19 of which are North Korean vessels, would be subjected to a global port entry ban. Countries would also be required to deregister the 14 ships that are not North Korean. The 27 proposed companies and the one individual would be subjected to an asset freeze.  The U.N. Security Council has unanimously boosted sanctions on North Korea since 2006 in a bid to choke off funding for Pyongyang’s nuclear and ballistic missile programs, banning exports including coal, iron, lead, textiles and seafood, and capping imports of crude oil and refined petroleum products. In October the United States proposed eight ships for U.N. designation for smuggling banned cargo from North Korea. The committee agreed to ban four ships from ports globally, while Washington postponed a bid to blacklist the remaining four.  In December the United States proposed 10 ships for blacklisting, the committee agreed to designate four, while diplomats said China objected listing the remaining six. Reporting by Michelle Nichols; Editing by James Dalgleish",https://uk.reuters.com/article/northkorea-missiles-un/update-1-at-u-n-china-delays-u-s-bid-to-blacklist-ships-companies-over-n-korea-idUKL2N1QK1Y1,02 Mar 2018,"China delayed a U.S.
request for a United Nations Security Council committee to
blacklist 33 ships, 27 shipping companies, and a Taiwan man for
violating international sanctions on North Korea, diplomats said
on Friday.","UPDATE 1-At U.N., China delays U.S. bid to blacklist ships, companies over N.Korea"
2018-03-02,"(Recasts; adds industry, analyst, government comments) By David Ljunggren and Leah Schnurr MEXICO CITY/OTTAWA, March 2 (Reuters) - Canadian officials are bombarding U.S. counterparts with calls to secure an exemption on potential steel and aluminium tariffs and threatening retaliation, but Ottawa has limited leverage to counter the plan, industry insiders and analysts said on Friday. Simultaneously mulling retaliatory targets and insisting the tariffs may never happen, trade officials are working the phones but will not identify potential sanctions to avoid “painting oneself into a corner”, according to one well-placed Canadian source. A second Canadian source familiar with the issue said officials are making the point that the steel and aluminum industries are so integrated that an exemption for Canada, the largest supplier of both steel and aluminum to the United States, is obvious but admitted leveraging person-to-person contacts may not matter in the end. “As we have all seen in this particular context with this particular administration, there is one guy who is going to decide at the end,” said the second source, who spoke on the condition of anonymity, referring to U.S. President Donald Trump. Liberal Prime Minister Justin Trudeau said on Friday that tariffs would be “absolutely unacceptable” and would cause significant and serious disruption to the market on both side of the border. Retaliatory options all risk hurting Canada as much as they do the United States, which has an economy 10 times the size of its northern neighbor. “Retaliation is equivalent to grabbing yourself by the throat, putting the gun to your head and saying, ‘Stop it or the dummy buys it’,” said trade lawyer Milos Barutciski at law firm Bennett Jones. Crops, meat and energy trade in both directions across the Canada-U.S. border, making it difficult to retaliate against U.S. products in those industries. Canada imports U.S. soymeal, for example, to feed pigs, and then trucks some of the herds to the United States for fattening and slaughter. “The risk for agriculture in Canada and throughout North America, is if we get caught up in a trade war we compromise the competitiveness of the whole industry,” said Brian Innes, president of Canadian Agri-Food Trade Alliance, whose members include meat, grain and oilseed growers and companies. Threatening to retaliate through energy products is also fraught. Canadian heavy oil producers depend on U.S. refineries to buy much of their output. Further hampering Canada’s ability to hit back, the provision of national security cited by Trump in announcing the tariff means Canada does not automatically get the retaliatory right under WTO rules, Avery Shenfeld, chief economist at CIBC Economics, said in a research note. The last time Canada prepared for a trade war with the United States, in 2013 over contentious meat labeling rules, it targeted dozens of seemingly random American exports, from cherries and chocolate, to wine and office chairs. The goods had been chosen to hit where key U.S. legislators live, rather than inflict broader economic pain. U.S. industry groups and voters pressed elected officials to avoid retaliation that would have especially hurt their own districts. “They tried the charm offensive, it didn’t do the trick,” said Gerry Ritz, who was Canadian agriculture minister in the Conservative government of the time. “They’ve spent a lot of time and money wandering around down there but haven’t hit the right people. “You can’t do a shotgun approach, you need more of a one-on-one sniper approach.” (Additional reporting by Rod Nickel in Winnipeg; Writing by Andrea Hopkins; Editing by Amran Abocar and Daniel Wallis)",https://uk.reuters.com/article/usa-trade-canada-tariffs/update-1-canada-retaliation-in-u-s-tariff-row-like-grabbing-your-own-throat-idUKL2N1QK1S2,02 Mar 2018,"Canadian officials
are bombarding U.S. counterparts with calls to secure an
exemption on potential steel and aluminium tariffs and
threatening retaliation, but Ottawa has limited leverage to
counter the plan, industry insiders and analysts said on Friday.",UPDATE 1-Canada retaliation in U.S. tariff row 'like grabbing your own throat'
2018-03-02,"NEW YORK (Reuters) - Stocks on Wall Street rebounded on Friday as investors who were initially spooked by the prospect of a global trade war backed off those concerns on the notion that President Donald Trump was just rattling sabres as a negotiating tactic. Trump’s pledge on Thursday to impose hefty tariffs on steel and aluminium imports sparked concerns about tit-for-tat  retaliation that could wound a healthy U.S. economy that is poised to deliver record corporate earnings.  An ensuing rout in risk assets knocked the dollar from multi-week highs and briefly pushed all three major U.S. stock indexes into negative territory for the year as fears of a global protectionist wave would be negative for the greenback. “Absolutely unacceptable” said Canadian Prime Minister Justin Trudeau about the potential imposition of any U.S. steel and aluminium tariffs. However, investors decided a full-blown global trade war was not in the making and that Trump was only grabbing people’s attention about the U.S. trade deficit, said Phil Orlando, chief equity strategist at Federated Investors in New York.   “For a real estate guy like that, you pound the podium, you rattle some sabres, you get everybody’s attention and then you negotiate back to some reasonable midpoint,” Orlando said.  The tariffs are unlikely to significantly hurt corporate America’s overall earnings, according to stock market strategists, who did not immediately adjust their profit estimates following Trump’s announcement. MSCI’s gauge of stock performance in 47 countries .MIWD00000PUS pared losses of 1 percent to close little changed.  The S&P 500 and Nasdaq rebounded from losses of 1 percent or more to close higher. The Dow, however, ended lower and remained in negative territory for the year so far. The Dow Jones Industrial Average .DJI fell 70.92 points, or 0.29 percent, to 24,538.06. The S&P 500 .SPX gained 13.58 points, or 0.51 percent, to 2,691.25, and the Nasdaq Composite .IXIC added 77.31 points, or 1.08 percent, to 7,257.87. Earlier in Europe and Asia, where markets were closed when Trump's tariff proposal was announced on Thursday, major equity indexes fell more than 2 percent. The Nikkei index .N225 tumbled 2.5 percent in Tokyo and the Hang Seng index .HSI fell 1.5 percent in Hong Kong. Asian steelmakers were hit hard, with South Korea’s Posco (005490.KS) down 3.6 percent and Japan’s Nippon Steel (5401.T) off 3.8 percent. Toyota Motor (7203.T) shares slid 2.4 percent after the company said tariffs would substantially raise production costs and the price of cars and trucks sold in America. The pan-European FTSEurofirst 300 index .FTEU3 of leading regional shares lost 2.13 percent to close at 1,437.14. The sell-off in European stocks weighed particularly on the export-oriented German DAX index .GDAXI, which fell 2.27 percent to a six-month low. ArcelorMittal SA (MT.AS), the world’s biggest steel maker, fell 3.7 percent while euro zone automakers and parts companies .SXAP fell 2.29 percent. Investors feared that Trump’s move could herald the tough trade actions he had promised during the electoral campaign as a way to incentivize companies to just “buy American, hire American,” said John Doyle, vice president of dealing and trading at Tempus Inc. in Washington. “The U.S. dollar may face some scrutiny and as a result struggle to hold on to recent gains,” Doyle said.  The dollar index .DXY fell 0.42 percent, with the euro EUR= up 0.5 percent to $1.2328. The Japanese yen firmed 0.50 percent versus the greenback at 105.72 per dollar. The Mexican peso, which was lower during most of the session, gained 0.15 percent at 18.80. The Canadian dollar fell 0.39 percent versus the greenback at 1.29 per dollar. U.S. Treasury yields rose as markets priced in the risk of a trade war. The 10-year yield bounced back from a three-week low as the Bank of Japan’s chief hinted at a possible exit from its ultra-easy policies if inflation hits its target in fiscal year 2019. The benchmark 10-year note US10YT=RR fell 18/32 in price to push its yield up to 2.8679 percent. Germany’s benchmark 10-year Bund yield DE10YT=RR dropped as low as 0.606, its lowest level since late January, before inching up to 0.648 percent. Oil prices rose as Wall Street stocks bounced off session lows, but crude benchmarks posted a decline for the week, the first weekly decline in three weeks, on fears that U.S. tariffs on steel and aluminium could squeeze economic growth, and as U.S. crude inventories climbed. U.S. crude CLcv1 rose 26 cents to settle at $61.25 per barrel and Brent LCOcv1 settled up 54 cents at $64.37 per barrel. Reporting by Herbert Lash, additional reporting by Richard Leong in New York; Editing by Diane Craft and Leslie Adler",https://uk.reuters.com/article/global-markets/global-markets-stocks-rebound-as-trade-war-fears-ebb-dollar-falls-idUKL2N1QK1R4,02 Mar 2018,"Stocks on Wall Street
rebounded on Friday as investors who were initially spooked by
the prospect of a global trade war backed off those concerns on
the notion that President Donald Trump was just rattling sabers
as a negotiating tactic.","GLOBAL MARKETS-Stocks rebound as trade war fears ebb, dollar falls"
2018-03-02,"UNITED NATIONS, March 2 (Reuters) - China delayed a U.S. request for a United Nations Security Council committee to blacklist 33 ships, 27 shipping companies, and a Taiwan man for violating international sanctions on North Korea, diplomats said on Friday. The United States submitted the request a week ago, a move it says is “aimed at shutting down North Korea’s illicit maritime smuggling activities to obtain oil and sell coal.” The U.N. request coincided with the U.S. imposing its largest package of unilateral sanctions against North Korea on Friday, intensifying pressure on Pyongyang to give up its nuclear weapons and missile programmes. China did not give a reason for placing a so-called hold on the U.S. request. A hold can be lifted and is often used when a Security Council member wants more information, but sometimes it can lead to a permanent blocking of a proposed blacklisting. The Security Council North Korea sanctions committee works on the basis of unanimity. If agreed, the 33 ships proposed by the United States, 19 of which are North Korean vessels, would be subjected to a global port entry ban. Countries would also be required to deregister the 14 ships that are not North Korean. The 27 proposed companies and the one individuals would be subjected to an asset freeze. The U.N. Security Council has unanimously boosted sanctions on North Korea since 2006 in a bid to choke off funding for Pyongyang’s nuclear and ballistic missile programs, banning exports including coal, iron, lead, textiles and seafood, and capping imports of crude oil and refined petroleum products. Reporting by Michelle Nichols",https://uk.reuters.com/article/northkorea-missiles-un/at-u-n-china-delays-u-s-bid-to-blacklist-ships-companies-over-n-korea-idUKL2N1QK1UX,02 Mar 2018,"China delayed a U.S.
request for a United Nations Security Council committee to
blacklist 33 ships, 27 shipping companies, and a Taiwan man for
violating international sanctions on North Korea, diplomats said
on Friday.","At U.N., China delays U.S. bid to blacklist ships, companies over N.Korea"
2018-03-02,"NEW YORK (Reuters) - Oil prices rose on Friday as Wall Street stocks bounced off session lows, but benchmark crude futures posted their first weekly decline in three weeks on fears U.S. plans to impose tariffs on steel and aluminum could squeeze economic growth and jitters about rising U.S. crude production. On Thursday, oil followed the stock market lower after President Donald Trump said he would impose hefty tariffs to protect U.S. producers. Investors feared the move would spark a trade war. The U.S. oil and gas industry slammed the tariff plan, saying it would kill energy jobs by raising costs for big infrastructure projects. Oil slid along with equities again early on Friday, but oil rebounded with U.S. stocks as the S&P 500 index .SPX and the Nasdaq .IXIC moved into positive territory. [.N] Brent futures LCOc1 rose 54 cents, or 0.9 percent, to settle at $64.37 a barrel, while U.S. West Texas Intermediate (WTI) crude CLc1 gained 26 cents, or 0.4 percent, to settle at $61.25. For the week, Brent was down about 4 percent and WTI down more than 3 percent. The premium of the Brent front-month contract over WTI WTCLc1-LCOc1 briefly fell to its lowest since August before edging up by the market close. “Tariffs brought concerns that economic growth will be unable to boost demand,” said Gene McGillian, director of market research at Tradition Energy. Crude prices remained under pressure from concerns that U.S. production may be high enough to offset output cuts from OPEC and Russia, he said.  On Wednesday, the government reported that U.S. crude stocks USOILC=ECI rose faster than expected while gasoline inventories posted a surprisingly large increase. [EIA/S] “We are being driven by the pickup in U.S. inventories and in general terms the market went a bit too far, too soon,” said Ric Spooner, chief market analyst at CMC Markets in Sydney. “Then we have the volatility in the U.S. dollar and the implications of the tariff news to factor in,” he said. The Organization of the Petroleum Exporting Countries meets for a dinner on Monday in Houston with U.S. shale firms, the latest sign of the producer group widening talks about how best to tame a global oil glut. U.S. crude output slipped in the last month of 2017, but in November hit an all-time high of 10.057 million barrels per day. Weekly data showed another record and further gains are expected. Additional reporting by Scott DiSavino in New York, Aaron Sheldrick in Tokyo and Ahmad Ghaddar in London; Editing by Dale Hudson and David Gregorio",https://uk.reuters.com/article/global-oil/update-7-oil-rises-as-wall-street-bounces-off-lows-crude-posts-weekly-loss-idUKL4N1QK16T,02 Mar 2018,"* U.S. crude output hit all-time high in November
(New throughout, updates prices and market activity to
settlement)","UPDATE 7-Oil rises as Wall Street bounces off lows, crude posts weekly loss"
2018-03-02,"(Adds oil, gold settlements, close of European markets) * Trump steel, aluminum tariff plan raises trade war fears * U.S. debt yields up as trade jitters dwarf inflation fears * Trump tweets “trade wars are good, and easy to win” By Herbert Lash NEW YORK, March 2 (Reuters) - World equity markets slid further and the U.S. dollar dropped to its lowest in more than two years against the yen on Friday as concern over protectionism added to investor uncertainties about rising inflation and the outlook for U.S. interest rates. President Donald Trump’s pledge on Thursday to impose hefty tariffs on steel and aluminum imports raised the prospect of a global trade war that could weaken a healthy U.S. economy that is poised to deliver record corporate earnings. The rout in risk assets knocked the dollar from multi-week highs as the specter of protectionism spurred fear of retaliation by other nations, which would be negative for the greenback. Canadian Prime Minister Justin Trudeau called the imposition of any U.S. steel and aluminum tariffs “absolutely unacceptable.” Major equity indices in Europe fell on Friday more than 2 percent, as markets in Europe and Asia were closed when Trump’s tariff proposal was announced on Thursday. The Nikkei index fell 2.5 percent in Tokyo and the Hang Seng index fell 1.5 percent in Hong Kong. Asian steelmakers were hit hard, with South Korea’s Posco down 3.6 percent and Japan’s Nippon Steel off 3.8 percent. Toyota Motor shares slid 2.4 percent after it said tariffs would substantially raise production costs and the price of cars and trucks sold in America. Trump’s move could herald the tough trade actions he had promised during the electoral campaign as a way to incentivize companies to just “buy American, hire American,” said John Doyle, vice president of dealing and trading at Tempus Inc. in Washington. “The U.S. dollar may face some scrutiny and as a result struggle to hold on to recent gains,” Doyle said. “It is the type of scenario that is unprecedented, thus wild swings may occur as this is digested and analyzed the next few days.” Volatility will continue until investors get some clarity on the path of U.S. interest rates, inflation, global trade policy and the international response, said Michael Arone, chief investment strategist at State Street Global Advisors in Boston. “Investors do not like uncertain outcomes, they just don’t,” Arone said. “If we could just eliminate some of this noise, there’s a really healthy underlying stock market.” MSCI’s gauge of stock performance in 47 countries fell 0.29 percent while the pan-European FTSEurofirst 300 index of leading regional shares lost 2.13 percent to close at 1,437.14. The sell-off in European stocks weighed particularly on the export-oriented German DAX index, which fell 2.27 percent to a six-month low. ArcelorMittal SA, the world’s biggest steelmaker, fell 3.7 percent while euro zone automakers and parts companies fell 2.29 percent. On Wall Street, the Dow Jones Industrial Average fell 210.36 points, or 0.85 percent, to 24,398.62. The S&P 500 lost 3.59 points, or 0.13 percent, to 2,674.08 and the Nasdaq Composite added 25.30 points, or 0.35 percent, to 7,205.87. The dollar index fell 0.41 percent, with the euro up 0.49 percent to $1.2327. The Japanese yen firmed 0.66 percent versus the greenback at 105.56 per dollar. The Mexican peso lost 0.13 percent to 18.86, while the Canadian dollar fell 0.43 percent versus the greenback at 1.29. U.S. Treasury yields rose, with the 10-year yield bouncing back from a three-week low as the Bank of Japan’s chief hinted at a possible exit from its ultra-easy policies if inflation hits its target in its fiscal 2019. Benchmark 10-year notes fell 14/32 in price to push its yield up 2.8552 percent. Germany’s benchmark 10-year Bund yield dropped as low as 0.606 - its lowest since late January - before inching up to 0.648 percent. Oil prices rose as Wall Street stocks bounced off session lows, but crude benchmarks declined for the first time in three weeks on fears U.S. plans to impose tariffs on steel and aluminium could squeeze economic growth, and as U.S. crude inventories climbed. U.S. crude rose 26 cents to settle at $61.25 per barrel and Brent settled up 54 cents at $64.37 per barrel. Reporting by Herbert Lash, additional reporting by Richard
Leong in New York
Editing by Bernadette Baum and Diane Craft",https://uk.reuters.com/article/global-markets/global-markets-stocks-dollar-tumble-on-global-trade-war-fears-idUKL2N1QK1IO,02 Mar 2018,"World equity markets slid
further and the U.S. dollar dropped to its lowest in more than
two years against the yen on Friday as concern over
protectionism added to investor uncertainties about rising
inflation and the outlook for U.S. interest rates.","GLOBAL MARKETS-Stocks, dollar tumble on global trade war fears"
2018-03-02,"NEW YORK (Reuters) - More than three years after the collapse in oil prices, energy-producing states such as Alaska, Oklahoma and Louisiana continue to struggle with budget shortfalls, and fiscal 2019 is no different as lawmakers seek permanent revenue solutions.     States that benefited from the energy boom were left reeling when prices collapsed in mid-2014, leading to a continuous scramble to make up for lost oil-related revenue. Alaska, which depended heavily on revenues from oil activity, dealt with the sudden fiscal pressures by tapping into reserve funds and cutting spending. Some say the fiscal uncertainty surrounding the state has impacted private sector investment. The state’s proposed capital budget for fiscal 2019 is $150 million, down from nearly $2 billion in fiscal 2013, a drop of more than 90 percent. It still faces a budget deficit of $2.5 billion for next year. “Less state funding doesn’t instill a lot of confidence in private investors,” said John MacKinnon, the executive director of the Associated General Contractors of Alaska. As a result, employees in the state’s construction industry are working fewer hours, MacKinnon said, noting that carpenters’ hours were down by 20 percent in 2017 versus 2016. The amount of money invested by public and private sources in construction projects in Alaska has decreased from $8.82 billion in 2014 to a projected $6.57 billion in 2018, according to data from the Institute of Social and Economic Research (ISER) at the University of Alaska Anchorage. And the number of Alaskans employed in the construction business statewide, excluding public and self-employed workers, has also decreased from an average of 17,075 workers in 2014 to a projected average of 14,962 in 2017, the data said. Alaska has also not authorized any new General Obligation bond issuance since 2012 when voters approved of $449.9 million of debt, according to the state’s Office of Management and Budget (OMB). As of June 30, $110.35 million of that debt was unissued, the office said. “The fiscal situation is such that taking on additional liabilities is not a smart thing to do at the moment,” said Scott Goldsmith, professor emeritus of economics at ISER. Barring any legislative actions, the state’s constitutional budget reserve — its primary reserve account — could be empty by April 2019, said Pat Pitney, the OMB’s director. Pitney said she also feels that private investment has been pulling back from the state.  “We have businessmen saying, ‘I’m not investing in Alaska because there’s uncertainty, and I’m putting my money somewhere else or I’m going to wait,’” she said.  In Louisiana and Oklahoma, legislators also face budget deficits for the next fiscal year, having attempted to fill past shortfalls with temporary tax increases and one-time fixes, respectively. Louisiana faces a fiscal cliff totaling roughly $1 billion because of a sunset on temporary tax increases adopted in fiscal 2015 and fiscal 2016 and set to expire in mid-2018. The decline in the oil industry in part drove the tax increases, said Manfred Dix, an economist with the state’s Office of Planning and Budget. “We cannot depend on crude oil dramatically increasing again,” Dix said. Oklahoma’s challenges stem from a combination of low oil prices and extensive one-time actions from the legislature, said Marcy Block, an analyst at Fitch Ratings. The state faces a deficit of about $167 million. Oklahoma Governor Mary Fallin has criticized the legislature in the past for failing to find long-term solutions to recurring deficits.  While oil prices have ticked up in the last half year, analysts and government employees reached by Reuters do not expect a return to their 2014 levels anytime soon — if at all.  U.S. crude CLc1 last clocked $61.18 per barrel, far below the more than $100 per barrel price it hit in 2014. Credit agency S&P Global Ratings said on Tuesday that oil-producing states in 2018 should experience positive economic growth. However, Fitch said on Jan. 25 that while oil prices and production have edged higher, states seem to be tempering their revenue and price forecasts. “We are going to be low for a while, and they (states) need to align their budgets to that fact,” Fitch’s Block said. Reporting by Stephanie Kelly; Editing by Daniel Bases and Chizu Nomiyama",https://uk.reuters.com/article/usa-municipals-energy/alaska-other-oil-states-fight-budget-deficits-for-fiscal-year-2019-idUKL1N1NU197,02 Mar 2018,"More than three years after
the collapse in oil prices, energy-producing states such as
Alaska, Oklahoma and Louisiana continue to struggle with budget
shortfalls, and fiscal 2019 is no different as lawmakers seek
permanent revenue solutions.","Alaska, other oil states fight budget deficits for fiscal year 2019"
2018-03-02,,https://uk.reuters.com/article/usa-weather-energy-power-outages/factbox-storm-knocks-out-power-to-near-1-7-mln-in-u-s-mid-atlantic-northeast-idUKL2N1QK0WG,02 Mar 2018,"U.S. Mid Atlantic, Midwest and Northeast utilities said almost 1.7
million homes and businesses were without power on Friday as a snow and ice storm battered the
region.
    That is down from a high near 1.8 million affected by the storm as utilities in the South
and Midwest return customers to service, while the storm knocked out more homes and businesses
in the Northeast.
    Most of the current outages were in Virginia, Maryland, West Virginia, Ohio, Michigan and
New Y","FACTBOX-Storm knocks out power to near 1.7 mln in U.S. Mid Atlantic, Northeast"
2018-03-02,"(Adds company comment) March 2 (Reuters) - Dominion Energy Inc said on Friday the first vessel carrying liquefied natural gas from its newly constructed Cove Point LNG export terminal in Maryland left the facility, another sign of growing U.S. prowess as an oil and gas producer. The LNG tanker Gemmata left fully loaded, according to energy data provider Genscape, which said it observed the loading of the vessel through its cameras set up to watch the facility. Dominion said it spent about $4 billion to add export facilities at Cove Point, long an LNG import terminal on Chesapeake Bay. The facility is still undergoing final commissioning, the company said. Cove Point is the second big LNG export terminal in the Lower 48 U.S. states after Cheniere Energy Inc’s Sabine Pass terminal in Louisiana, which exported its first cargo in February 2016. After decades of importing massive amounts of gas, the United States became an exporter of the fuel in 2017 for the first time in 60 years due to record U.S. gas production from shale fields. The United States is expected to become the world’s third- biggest LNG exporter by capacity in 2018, furthering President Donald Trump’s goal of American energy dominance by exporting U.S. oil and gas to help create jobs at home and provide more security to the nation’s allies around the world. U.S. LNG export capacity is expected to rise to 10.1 billion cubic feet per day (bcfd) by the end of 2020 from 3.8 bcfd today. Cove Point is designed to liquefy about 0.75 bcfd of gas. One bcfd can power about 5 million homes. Dominion said Royal Dutch Shell Plc took the initial LNG cargo from Cove Point. Gemmata is a Shell vessel. The company did not say where Gemmata was heading. Reuters shipping data said it was available for orders. Another vessel, the Methane Spirit, is also headed for Cove Point, according to Reuters shipping data. Methane Spirit is located near Singapore and is expected to reach Cove Point around March 31. Dominion sold the project’s capacity for 20 years to a subsidiary of GAIL (India) Ltd and to ST Cove Point, a joint venture of units of Japanese trading company Sumitomo Corp and Tokyo Gas Co Ltd. Some of the LNG going to ST Cove Point will go to Tokyo Gas and some will go to Kansai Electric Power Co Inc, according to Sumitomo’s Pacific Summit Energy (PSE) unit. Reporting by Scott DiSavino
Editing by Bernadette Baum and Jonathan Oatis",https://uk.reuters.com/article/dominion-cove-point-lng/update-4-dominion-maryland-cove-point-lng-facility-exports-first-cargo-idUKL2N1QK0HR,02 Mar 2018,"Dominion Energy Inc said on Friday
the first vessel carrying liquefied natural gas from its newly
constructed Cove Point LNG export terminal in Maryland left the
facility, another sign of growing U.S. prowess as an oil and gas
producer.",UPDATE 4-Dominion Maryland Cove Point LNG facility exports first cargo
