2019-02-10,"* Asian stock markets: tmsnrt.rs/2zpUAr4 * MSCI ex-Japan a shade weaker, Chinese markets resume trading * U.S.-China trade talks to dominate narrative this week * U.S. border deal talks collapse, gov’t shutdown looms * Dollar index near six-week highs on safe haven flows By Swati Pandey SYDNEY, Feb 11 (Reuters) - Asian shares started the week on the backfoot on Monday as worries about global growth, U.S. politics and the ongoing Sino-U.S. tariff war kept investors cautious, while the safe-haven greenback held near a six-week top against major currencies. MSCI’s broadest index of Asia-Pacific shares outside Japan was a tad weaker after it was toppled from a four-month top on Friday. Trading volumes are expected to be thin with Japan on public holiday, while Chinese markets reopen after a week-long break for the Lunar New Year holiday. World stocks ended last week in the red amid uncertainty about global economic growth and trade tensions, posting their first weekly drop this year. Still, Wall Street’s main equity indexes recouped losses late on Friday, with the benchmark S&P 500 ending marginally positive and the Nasdaq adding 0.14 percent. The Dow Jones Industrial Average fell 0.25 percent. Investors are looking ahead to trade talks this week with a delegation of U.S. officials traveling to China for the next round of negotiations. Of recent concern to markets was the collapse in talks between U.S. Democrat and Republican lawmakers over the weekend amid a clash over immigrant detention policy, raising fears of another government shutdown. That development comes in the wake of other news headlines that markets have had to process since late last week. These include a sharp downgrade to euro zone growth this year and next and  U.S. President Donald Trump’s declaration that he had no plans to meet with Chinese President Xi Jinping before a March 1 deadline to achieve a trade deal. “Growth is probably the big area of risk – the U.S. is still on a healthy track but China stabilisation is more hope than reality at the moment while European momentum continues to soften,” JPMorgan analysts said in a note. “Investors have plenty to be nervous about, including the ongoing growth softness in Europe and the risk this drags the other major geographies down with it,” they added. “But U.S. trade policies shouldn’t be high on the list, trade rhetoric will stay a problem though.” Markets will closely watch earnings from major U.S. companies including Coca-Cola Co, PepsiCo Inc, Walmart Inc, Home Depot Inc, Macy’s Inc and Gap Inc for further clues about the health of the consumer sector. Analysts now expect first-quarter earnings for S&P 500 companies to decline 0.1 percent from a year earlier, which would be the first such quarterly profit decline since 2016, according to IBES data from Refinitiv. In currency markets, the dollar held near a six-week high around 96.665 against a basket of currencies, and had its strongest weekly gain in six months, as traders piled into the greenback in a safe-haven move. The euro was slightly weaker at $1.1321 while sterling down 0.1 percent at $1.2933. The Australian dollar hovered near one-month lows after the country’s central bank shifted away from a previous tightening bias to say rates could now go in either direction. The Aussie was last at $0.7092 after going as deep as $0.7060 on Friday. Oil prices held near recent ranges with gains capped by concerns about slowing global demand. U.S. crude was 13 cents weaker in early Asia at $52.57 per barrel while Brent had settled at $62.06 on Friday. Editing by Sam Holmes",https://uk.reuters.com/article/global-markets/global-markets-asian-shares-in-tight-range-ahead-of-u-s-china-trade-talks-idUKL3N2050S2,10 Feb 2019,"* MSCI ex-Japan a shade weaker, Chinese markets resume
trading",GLOBAL MARKETS-Asian shares in tight range ahead of U.S.-China trade talks
2019-02-10,"BERLIN (Reuters) - Climate change is the top security concern in a poll conducted by the Washington-based Pew Research Centre, followed by Islamist terrorism and cyber attacks while respondents in a growing number of countries worried about the power and influence of the United States. In 13 of 26 countries, people listed climate change as the top global threat, with the Islamic State militant group topping the list in eight and cyber attacks in four, the non-profit, non-partisan Pew Research Centre said in its report. Worries about climate change have increased sharply since 2013, with double-digit percentage point increases seen in countries including the United States, Mexico, France, Britain, South Africa and Kenya, according to the poll of 27,612 people conducted between May and August, 2018. North Korea’s nuclear programme and the global economy were also significant concerns, while respondents in Poland named Russian power and influence as the top threat. The largest shift in sentiment centred on the United States, it said, with a median of 45 percent of people naming U.S. power and influence as a threat in 2018, up from 25 percent in 2013, when Barack Obama was U.S. president. In 10 countries, including Germany, Japan and South Korea, roughly half of respondents or more saw U.S. power and influence as a major threat to their nation, up from eight in 2017 and three in 2013, the poll showed.  In Mexico, where those concerns have spiked since the election of U.S. President Donald Trump, the percentage jumped to 64 percent, the poll showed.  Trump has railed against illegal migration and the North American Free Trade Agreement (NAFTA), and is pressing to build a wall between the two countries. In 2018, a median of 61 percent of respondents across all countries represented viewed cyber attacks as a serious concern, up from 54 percent in 2017.  The number of countries that saw Islamic State as a threat fell by double-digit percentage points in Israel, Spain, the United States and Japan.                Reporting by Andrea Shalal; editing by Jason Neely",https://uk.reuters.com/article/global-security/climate-change-seen-as-top-threat-but-u-s-power-a-growing-worry-poll-idUKL1N20502B,10 Feb 2019,"Climate change is the top
security concern in a poll conducted by the Washington-based Pew
Research Center, followed by Islamist terrorism and cyber
attacks while respondents in a growing number of countries
worried about the power and influence of the United States.","Climate change seen as top threat, but U.S. power a growing worry -poll"
2019-02-10,"(Recasts with forecast on exchange rate, treasury interest rate) CAIRO, Feb 10 (Reuters) - Egypt has revised its average expected exchange rate to 18 Egyptian pounds to the dollar from 17.25 pounds for the 2018-2019 fiscal year, according to a Finance Ministry report published on Sunday. The report, issued after the first half of the financial year running from July to June, also revised its forecast for the average interest rate offered on treasury bonds and bills to 18.6 percent, up from 14.7 percent previously. The Egyptian pound has strengthened slightly against the U.S. currency since late January, and was trading at 17.605 to the dollar on Sunday. The report also forecast an average crude oil price of $67 per barrel for Egypt’s 2019-2020 financial year budget. The country spent 30.169 billion Egyptian pounds ($1.7 billion) on fuel subsidies in July to December 2018, up from 26.651 billion EGP in the same period the previous year, the report said. $1 = 17.6050 Egyptian pounds
Reporting by Ehab Farouk
Writing by Aidan Lewis
Editing by Robin Pomeroy and Dale Hudson",https://uk.reuters.com/article/egypt-economy/update-1-egypt-forecasts-weaker-average-exchange-rate-for-fy-2018-19-idUKL5N2050M5,10 Feb 2019,"Egypt has revised its average
expected exchange rate to 18 Egyptian pounds to the dollar from
17.25 pounds for the 2018-2019 fiscal year, according to a
Finance Ministry report published on Sunday.",UPDATE 1-Egypt forecasts weaker average exchange rate for FY 2018/19
2019-02-10,"CAIRO, Feb 10 (Reuters) - Egypt expects an average crude oil price of $67 per barrel for its 2019-2020 financial year budget, according to a finance ministry report published on Sunday. The country spent 30.169 billion Egyptian pounds ($1.7 billion) on fuel subsidies in July to December 2018, up from 26.651 billion EGP in the same period the previous year, the report said. Egypt’s financial year runs from July to June. ($1 = 17.6050 Egyptian pounds) (Reporting by Ehab Farouk Writing by Aidan Lewis Editing by Robin Pomeroy)",https://uk.reuters.com/article/egypt-economy/egypt-sees-average-oil-price-of-67-for-2019-20-budget-idUKS8N1VZ04O,10 Feb 2019,"Egypt expects an average crude oil
price of $67 per barrel for its 2019-2020 financial year budget,
according to a finance ministry report published on Sunday.",Egypt sees average oil price of $67 for 2019-20 budget
2019-02-10,"ALGIERS (Reuters) - Algeria’s President Abdelaziz Bouteflika said on Sunday he would seek a fifth term in a presidential election set for April 18, the state news agency APS reported on Sunday, putting an end to months of uncertainty caused by his poor health. Bouteflika, 81, who has been in office since 1999 but has been seen in public only rarely since suffering a stroke in 2013 that confined him to a wheelchair, is likely to win a fifth term as the Algerian opposition remains weak and fragmented. APS said Bouteflika wanted to amend the constitution if re-elected. It did not say which specific amendments he would seek but a source familiar with the matter said he would likely propose the creation of new post of vice-president to help him govern the large, energy-rich north African nation. Among names cited by Algerian media as a possible future vice-president are veteran former U.N. diplomat Lakhdar Brahimi and Prime Minister Ahmed Ouyahia. Bouteflika’s announcement came a day after the ruling FLN party picked him as its official presidential candidate. Several political parties, trade unions and business organizations have already said they would support his re-election bid. His re-election would provide short-term stability for the FLN, the army and business tycoons, and postpone a potentially difficult succession. Algeria is a key gas supplier to Europe and an ally of the United States in the fight against Islamist militants in the Sahel region of North Africa. Bouteflika remains popular with many Algerians, who credit him with ending the country’s long civil war by offering an amnesty to former Islamist fighters. Reporting By Lamine Chikhi; Editing by Gareth Jones",https://uk.reuters.com/article/algeria-election/update-1-algerias-president-bouteflika-to-seek-fifth-term-aps-agency-idUKL5N2050DW,10 Feb 2019,"Algeria's President Abdelaziz
Bouteflika said on Sunday he would seek a fifth term in a
presidential election set for April 18, the state news agency
APS reported on Sunday, putting an end to months of uncertainty
caused by his poor health.",UPDATE 1-Algeria's President Bouteflika to seek fifth term - APS agency
2019-02-10,"* Investment decision can unlock value in massive gas reserve * Indian firm has signed purchase agreement for gas from project * First gas likely to come to India by 2024, ENH chairman says (Adds details) By Promit Mukherjee NEW DELHI, Feb 10 (Reuters) - A final investment decision, commonly called FID, for a massive offshore natural gas block in Mozambique is expected to be ready by March or April, the chairman of Mozambique’s national oil company ENH said in New Delhi on Sunday. This is the first time any of the seven partners in the block has given a specific timeline regarding an investment plan for the block, located east of Mozambique’s Rovuma basin and called Area 1. An FID for the block could unlock value in one of the world’s biggest recent gas discoveries, estimated at 75 trillion cubic feet. FID is essentially a stage in funding based on which banks can agree to extend lines of credit for a particular project. Indian companies - state-owned explorer Oil and Natural Gas Corp Ltd through its overseas arm ONGC Videsh Ltd, Oil India Ltd and Bharat Petroleum Corp Ltd together hold the highest share in the block with a 30 percent stake. National oil company of Mozambique Empresa Nacional de Hydrocarbonetos (ENH) holds 15 percent and Anadarko Mozambique Area, a subsidiary of U.S.-based explorer Anadarko Petroleum , holds 26.5 percent and is operator of the block. “One of the Indian companies has already signed a share and purchase agreement for the gas ... The first molecules will come to India by 2024,” ENH chairman Omar Mitha said. The location of Mozambique is strategic for Indian imports of natural gas and it does not have the geopolitical challenges of the Middle East, Mitha said. Area 4, an adjoining gas discovery operated by Italian major Eni, will see its FID by July, the chairman added. The investment decision for the 75-trillion-cubic-feet natural gas reserves involves setting up two liquefied natural gas (LNG) plants of 12.88 million tonnes per annum in total. Reporting by Promit Mukherjee; Editing by Dale Hudson",https://uk.reuters.com/article/india-gas-mozambique/update-1-final-investment-decision-for-mozambique-gas-block-seen-by-march-april-idUKL3N205090,10 Feb 2019,"* Investment decision can unlock value in massive gas
reserve",UPDATE 1-Final investment decision for Mozambique gas block seen by March-April
2019-02-10,"* Investment decision can unlock value in massive gas reserve * Indian firm has signed purchase agreement for gas from project * First gas likely to come to India by 2024, ENH chairman says By Promit Mukherjee NEW DELHI, Feb 10 (Reuters) - A final investment decision, commonly called FID, for a massive offshore natural gas block in Mozambique is expected to be ready by March or April, the chairman of Mozambique’s national oil company ENH said in New Delhi on Sunday. This is the first time any of the seven partners in the block has given a specific timeline regarding an investment plan for the block, located east of Mozambique’s Rovuma basin and called Area 1. An FID for the block could unlock value in one of the world’s biggest recent gas discoveries, estimated at 75 trillion cubic feet. FID is essentially a stage in funding based on which banks can agree to extend lines of credit for a particular project. Indian companies - state-owned explorer Oil and Natural Gas Corp Ltd through its overseas arm ONGC Videsh Ltd, Oil India Ltd and Bharat Petroleum Corp Ltd together hold the highest share in the block with a 30 percent stake. National oil company of Mozambique Empresa Nacional de Hydrocarbonetos (ENH) holds 15 percent and Anadarko Mozambique Area, a subsidiary of U.S.-based explorer Anadarko Petroleum , holds 26.5 percent and is operator of the block. “One of the Indian companies has already signed a share and purchase agreement for the gas ... The first molecules will come to India by 2024,” ENH chairman Omar Mitha said. Reporting by Promit Mukherjee; Editing by Dale Hudson",https://uk.reuters.com/article/india-gas-mozambique/final-investment-decision-for-mozambique-gas-block-seen-by-march-april-idUKL5N2050E6,10 Feb 2019,"* Investment decision can unlock value in massive gas
reserve",Final investment decision for Mozambique gas block seen by March-April
2019-02-10,"DUBAI, Feb 10 (Reuters) - Algeria’s president Abdelaziz Bouteflika said on Sunday he was planning to run in April’s presidential elections, the state news agency APS reported. Reporting By Ahmed Tolba; Editing by Elaine Hardcastle",https://uk.reuters.com/article/algeria-election/algerias-bouteflika-says-to-run-in-presidential-elections-aps-agency-idUKD5N1Y200U,10 Feb 2019,"Algeria's president Abdelaziz
Bouteflika said on Sunday he was planning to run in April's
presidential elections, the state news agency APS reported.",Algeria's Bouteflika says to run in presidential elections- APS agency
2019-02-10,"GREATER NOIDA, India, Feb 10 (Reuters) - South Sudan will return to producing more than 350,000 barrels of crude per day by the middle of 2020, up from current levels of just over 140,000 barrels per day (bpd) currently, the country’s oil minister said on Sunday. Production is expected to rise to 270,000 bpd by the end of 2019, Oil Minister Ezekiel Lul Gatkuoth told Reuters. He was speaking on the sidelines of the Petrotech conference in Greater Noida, a satellite city of India’s capital New Delhi. The world’s youngest country, which split from Sudan in 2011, has one of the largest reserves of crude in sub-Saharan Africa, only a third of which have been explored so far. The country lost many of its oilfields to a civil war that broke out two years after its independence. A September peace agreement is largely holding. “By the end of the year, block 3 and 7 will be hitting 180,000 bpd, blocks 1, 2 and 4 will be producing 70,000 bpd, and block 5A will be producing 20,000 bpd,” Gatkuoth said. “We used to produce 350,000 to 400,000 bpd. We expect to go back to those levels by the middle of next year,” he said. South Sudan has signed a preliminary agreement with Russia’s Zarubezhneft for exploring some of the blocks, Gatkuoth said. “They are interested in block B1, B2, E1 and E2. We will be working to see where they are likely to be interested in the most,” he said. South Africa, which has committed to investing $1 billion in the country, would collaborate with South Sudan on the construction of pipelines and a new refinery along the border with Ethiopia, the minister said. “We have agreed to build a refinery on the border of Ethiopia, we have already signed an agreement with Ethiopia to offtake refined products,” Gatkuoth said. Land-locked South Sudan is looking to boost its export options as it looks beyond its neighbour Sudan, the minister said. “We have new blocks in the southern part of South Sudan, oil from which will be exported to East Africa (through the new pipelines),” he said. American oil majors such as Exxon Mobil and Chevron showed interest in investing in South Sudan, but are currently not interested because of the conflict, he said. “We have been approaching Exxon officials, and I will be meeting them in Houston next month,” he said. (Reporting by Sudarshan Varadhan Editing by Alasdair Pal and Frances Kerry)",https://uk.reuters.com/article/south-sudan-oil/south-sudan-to-return-to-pre-war-oil-production-levels-by-mid-2020-minister-idUKL3N20505Z,10 Feb 2019,"South Sudan will
return to producing more than 350,000 barrels of crude per day
by the middle of 2020, up from current levels of just over
140,000 barrels per day (bpd) currently, the country's oil
minister said on Sunday.",South Sudan to return to pre-war oil production levels by mid-2020: minister
2019-02-10,"(Adds quotes from interview, plans to resume LNG production.) NEW DELHI, Feb 10 (Reuters) - The Saudi-backed government in Yemen hopes to scale up its crude production to 110,000 barrels per day (bpd) in 2019, with exports touching about 75,000 bpd, its oil minister told Reuters on Sunday. The government of Abd-Rabbu Mansour Hadi controls the southern port city of Aden and areas holding Yemen’s oil-and-gas fields. The Iranian-aligned Houthi group controls the capital Sanaa and the oil terminal of Ras Issa on the western coast. Yemen’s oil output has collapsed since 2015 when the Saudi-led military coalition intervened in Yemen’s war to try to restore Hadi’s government to power. “We will maintain production from four blocks and are planning to build a pipeline to Arab Sea (Arabian Sea) to resume exports from these blocks,” Hadi’s oil minister, Aws Abdullah al-Awd, said in an interview. The conflict has choked energy output and shuttered a key export terminal and pipeline. Yemen produced an average of 50,000 bpd of crude in 2018 compared with around 127,000 bpd in 2014. Last year it exported some quantities of oil. Yemen has proven oil reserves of around 3 billion barrels, according to the U.S. Energy Information Administration (EIA). The oil minister said Yemen also wanted to resume production of LNG, which had been halted as a result of the conflict. “Our country has been affected by the war for the past three years, but thank God, now things are coming back. Hopefully 2019 will be good for Yemen,” he said. He predicted LNG output would rise in 2019 to 6.7 million tonnes and half of that amount would be exported. “In 2020, we hope to export all of our LNG production, mainly to customers in Asia,” he said, noting companies including Total, U.S-based Hunt Oil and Korean companies operate the LNG project. (Reporting by Nidhi Verma; Editing by Neil Fullick)",https://uk.reuters.com/article/yemen-security-oil/update-1-yemen-aims-to-export-about-75000-bpd-oil-in-2019-minister-idUKL5N20503K,10 Feb 2019,"The Saudi-backed government in
Yemen hopes to scale up its crude production to 110,000 barrels
per day (bpd) in 2019, with exports touching about 75,000 bpd,
its oil minister told Reuters on Sunday.","UPDATE 1-Yemen aims to export about 75,000 bpd oil in 2019-Minister"
