pairwise;pairwise1;pairwise2
('intermediate', 'futures');intermediate;futures
('reporting', 'aaron');reporting;aaron
('according', 'data');according;data
('united', 'china');united;china
('north', 'sea');north;sea
('texas', 'intermediate');texas;intermediate
('sheldrick', 'editing');sheldrick;editing
('june', 'reuters');june;reuters
('reporting', 'editing');reporting;editing
('editing', 'marguerita');editing;marguerita
('intermediate', 'wti');intermediate;wti
('jim', 'ritterbusch');jim;ritterbusch
('henning', 'gloystein');henning;gloystein
('oct', 'reuters');oct;reuters
('president', 'donald');president;donald
('west', 'intermediate');west;intermediate
('rig', 'count');rig;count
('reuters', 'rose');reuters;rose
('editing', 'choy');editing;choy
('record', 'high');record;high
('christopher', 'london');christopher;london
('west', 'texas');west;texas
('york', 'reuters');york;reuters
('click', 'enlarge');click;enlarge
('data', 'showed');data;showed
('joseph', 'radford');joseph;radford
('futures', 'cents');futures;cents
('united', 'states');united;states
('london', 'reuters');london;reuters
('inventories', 'fell');inventories;fell
('gulf', 'mexico');gulf;mexico
('including', 'russia');including;russia
('gloystein', 'editing');gloystein;editing
('july', 'reuters');july;reuters
('long', 'positions');long;positions
('donald', 'trump');donald;trump
('irina', 'top');irina;top
('trade', 'tensions');trade;tensions
('economic', 'growth');economic;growth
('previous', 'session');previous;session
('american', 'petroleum');american;petroleum
('aaron', 'tokyo');aaron;tokyo
('benchmark', 'brent');benchmark;brent
('christopher', 'johnson');christopher;johnson
('organization', 'petroleum');organization;petroleum
('second', 'half');second;half
('cushing', 'oklahoma');cushing;oklahoma
('henning', 'editing');henning;editing
('tsvetana', 'reads');tsvetana;reads
('texas', 'wti');texas;wti
('west', 'wti');west;wti
('additional', 'reporting');additional;reporting
('spare', 'capacity');spare;capacity
('marguerita', 'choy');marguerita;choy
('brent', 'rose');brent;rose
('paraskova', 'top');paraskova;top
('aaron', 'sheldrick');aaron;sheldrick
('information', 'administration');information;administration
('organization', 'exporting');organization;exporting
('petroleum', 'institute');petroleum;institute
('brent', 'futures');brent;futures
('rose', 'cents');rose;cents
('told', 'cnbc');told;cnbc
('irina', 'slav');irina;slav
('iranian', 'exports');iranian;exports
('middle', 'east');middle;east
('president', 'trump');president;trump
('states', 'china');states;china
('singapore', 'editing');singapore;editing
('oklahoma', 'delivery');oklahoma;delivery
('texas', 'futures');texas;futures
('exporting', 'countries');exporting;countries
('net', 'long');net;long
('petroleum', 'exporting');petroleum;exporting
('edt', 'gmt');edt;gmt
('petroleum', 'countries');petroleum;countries
('tsvetana', 'top');tsvetana;top
('cushing', 'delivery');cushing;delivery
('american', 'institute');american;institute
('brent', 'cents');brent;cents
('first', 'time');first;time
('aaron', 'editing');aaron;editing
('trump', 'administration');trump;administration
('paraskova', 'reads');paraskova;reads
('next', 'month');next;month
('told', 'reuters');told;reuters
('nuclear', 'deal');nuclear;deal
('sheldrick', 'tokyo');sheldrick;tokyo
('gulf', 'coast');gulf;coast
('reporting', 'sheldrick');reporting;sheldrick
('gmt', 'cents');gmt;cents
('trade', 'war');trade;war
('tsvetana', 'paraskova');tsvetana;paraskova
('hedge', 'funds');hedge;funds
('top', 'reads');top;reads
('futures', 'rose');futures;rose
('wti', 'futures');wti;futures
('johnson', 'london');johnson;london
('trade', 'united');trade;united
('third', 'quarter');third;quarter
