,first,second
0,came,despite
1,sea,bab
2,rose,wednesday
3,including,libya
4,eia,wednesday
5,june,american
6,international,markets
7,stretched,due
8,despite,pledge
9,largest,decline
10,producers,place
11,president,hassan
12,arms,deal
13,pipeline,outages
14,supplies,three
15,bab,strait
16,prince,mohammed
17,following,washington
18,big,producers
19,virendra,chauhan
20,trading,session
21,four,months
22,vienna,organization
23,offset,loss
24,producer,pushing
25,almost,nearly
26,fell,tuesday
27,virendra,analyst
28,investors,remained
29,three,weeks
30,record,june
31,halting,shipments
32,introduced,prop
33,benchmark,fell
34,yemen,movement
35,shipments,red
36,bmi,markets
37,refining,capacity
38,sheldrick,richard
39,es,sider
40,editing,pullin
41,sheldrick,editing
42,washington,exit
43,prince,bin
44,compared,forecast
45,four,weeks
46,end,glut
47,libya,national
48,cnbc,box
49,bab,el
50,first,november
51,brennock,london
52,earlier,trading
53,deal,tehran
54,previously,agreed
55,head,commodities
56,president,associates
57,major,exporter
58,first,weeks
59,demanded,calls
60,reject,calls
61,three,increasing
62,trump,tariffs
63,members,including
64,prince,salman
65,yemen,attacked
66,calls,trump
67,temporarily,shipments
68,gained,cents
69,bullish,sentiment
70,biggest,drop
71,producer,group
72,gulf,countries
73,sea,lane
74,stephen,brennock
75,oversupply,concerns
76,likely,remain
77,stephen,analyst
78,rex,tillerson
79,minister,khalid
80,contributed,recent
81,singapore,july
82,rose,monday
83,agreed,cuts
84,fellow,members
85,libya,corp
86,agency,monthly
87,impose,tariffs
88,libyan,supplies
89,yield,touched
90,iranian,zanganeh
91,demand,led
92,reported,citing
93,crown,bin
94,analyst,pvm
95,discuss,policy
96,gmt,fell
97,large,markets
98,weekly,fall
99,place,end
100,fourth,quarter
101,distillate,stockpiles
102,gene,mcgillian
103,syncrude,sands
104,technical,analyst
105,rose,investors
106,stockpiles,build
107,demand,traders
108,pioneer,natural
109,geopolitical,risks
110,uncertainty,impact
111,adds,updates
112,genscape,inventories
113,bab,mandeb
114,venezuela,following
115,rig,indicator
116,potential,iranian
117,squawk,box
118,countries,together
119,reopening,return
120,direction,around
121,suspended,shipments
122,among,traders
123,gmt,canadian
124,stretched,limit
125,api,tuesday
126,middle,gulf
127,gasoline,distillate
128,seems,likely
129,lowest,decades
130,demand,grow
131,top,increasing
132,nuclear,program
133,survey,showed
134,petroleum,report
135,edt,dollar
136,pumped,around
137,large,however
138,recent,months
139,major,partners
140,hold,steady
141,iranian,escalating
142,squeezed,loss
143,weekly,record
144,sands,facility
145,tariffs,chinese
146,money,raised
147,governor,adeeb
148,loosen,controls
149,diesel,heating
150,austin,chalk
151,dow,jones
152,meet,vienna
153,thursday,rising
154,several,glut
155,july,funds
156,rising,organization
157,analyst,told
158,vienna,june
159,hub,rose
160,mohammed,salman
161,shipments,sea
162,stephen,london
163,senior,official
164,exit,nuclear
165,familiar,told
166,tariff,imports
167,countries,big
168,recent,rise
169,thursday,session
170,falling,venezuelan
171,continue,decline
172,harry,tchilinguirian
173,editing,richard
174,research,analyst
175,number,drilling
176,middle,countries
177,major,put
178,allies,including
179,hit,low
180,markets,however
181,dme,oman
182,expectations,decrease
183,bijan,zanganeh
184,starting,july
185,compliance,agreed
186,two,ships
187,rose,thursday
188,pressure,rising
189,however,meetings
190,told,squawk
191,first,two
192,two,biggest
193,countries,welcome
194,important,tanker
195,markets,watching
196,according,eia
197,supplies,due
198,vienna,discuss
199,inventories,oklahoma
200,told,wednesday
201,iranian,following
202,tightness,cushing
203,shipments,strait
204,losses,venezuela
205,losses,countries
206,views,expressed
207,producers,agreed
208,greenback,cents
209,jim,president
210,loss,iranian
211,cushing,rose
212,hedge,bullish
213,lowest,nearly
214,tank,helped
215,highest,late
216,head,research
217,going,see
218,associates,tamas
219,major,consumers
220,arguing,contributed
221,rise,imposing
222,exporting,producers
223,texas,ended
224,time,writing
225,minister,zanganeh
226,cushion,might
227,ending,standoff
228,spare,cushion
229,temporarily,halting
230,downside,risks
231,major,trading
232,thursday,cents
233,struggle,uncertainty
234,count,indicator
235,earlier,month
236,wednesday,analysts
237,delivery,rose
238,drop,supplies
239,recently,highs
240,july,two
241,lower,demand
242,two,waterway
243,vienna,meeting
244,shipping,bab
245,canadian,trading
246,sea,shipping
247,raised,concerns
248,already,curtail
249,nicolas,maduro
250,countries,agreed
251,two,tankers
252,move,fearing
253,place,early
254,benchmark,cents
255,earlier,session
256,started,cut
257,bullish,report
258,forecast,record
259,enlarge,click
260,helped,looming
261,oilfield,services
262,toronto,canadian
263,producers,committed
264,wednesday,drop
265,following,exit
266,sharp,previous
267,president,nicolas
268,exit,deal
269,told,box
270,bullish,bets
271,venezuela,libya
272,capacity,cushion
273,start,pumping
274,bnp,paribas
275,aaron,editing
276,nearly,tuesday
277,tamas,varga
278,outlook,demand
279,crown,salman
280,real,estate
281,important,routes
282,looming,markets
283,canada,major
284,friday,rig
285,ended,thursday
286,inventories,dropped
287,analyst,london
288,demand,asia
289,controls,prop
290,struggle,direction
291,drop,inventories
292,short,positions
293,trading,partners
294,rising,back
295,countries,countries
296,curb,supplies
297,deal,raise
298,options,volatility
299,though,comes
300,august,thomson
301,wednesday,reopening
302,move,slump
303,fall,two
304,june,climbing
305,venezuela,president
306,around,gmt
307,june,vienna
308,administration,reported
309,three,producers
310,american,report
311,count,early
312,capacity,libya
313,cnbc,jim
314,markets,meetings
315,sheldrick,pullin
316,tuesday,traders
317,forecast,decline
318,gloystein,singapore
319,brennock,brokerage
320,due,losses
321,producers,cut
322,inventories,cushing
323,wednesday,supported
324,curb,country
325,markets,direction
326,drop,iranian
327,past,months
328,inventories,delivery
329,oman,contract
330,comes,amid
331,reporting,sheldrick
332,meeting,next
333,ended,monday
334,reporting,aaron
335,analyst,brokerage
336,jim,ritterbusch
337,pushing,controls
338,gloystein,editing
339,told,europe
340,time,demand
341,countries,though
342,might,stretched
343,around,impact
344,put,place
345,major,place
346,raise,around
347,started,curtail
348,say,much
349,cushing,clearly
350,session,low
351,two,sources
352,corp,four
353,fuel,consumption
354,canada,sands
355,reached,record
356,exporting,big
357,yemen,houthi
358,billions,dollars
359,brokerage,associates
360,agreed,raise
361,loss,capacity
362,producers,withholding
363,returning,compliance
364,exporting,well
365,routes,houthis
366,official,showed
367,showed,unexpected
368,raise,july
369,distillate,include
370,address,concerns
371,bullish,positions
372,gulf,welcome
373,rising,inventories
374,hassan,rouhani
375,fuel,inventories
376,tracking,showed
377,contract,expires
378,producers,june
379,east,gulf
380,medium,term
381,president,maduro
382,drifted,lower
383,evidence,higher
384,average,daily
385,rising,demand
386,part,due
387,attacked,ships
388,commodity,strategy
389,many,countries
390,decide,policy
391,edt,canadian
392,current,levels
393,pioneer,resources
394,matter,wednesday
395,four,terminals
396,vienna,austria
397,showing,inventories
398,gasoline,rose
399,june,according
400,emerging,higher
401,industry,sources
402,commodities,strategy
403,exceeding,expectations
404,brennock,analyst
405,comes,expense
406,early,future
407,red,bab
408,net,positions
409,adds,details
410,third,two
411,east,countries
412,tanker,routes
413,high,emerging
414,producer,demanded
415,aaron,richard
416,loss,storage
417,civil,war
418,independent,refiners
419,attacked,tankers
420,weakening,economic
421,risen,around
422,welcome,though
423,houthis,two
424,reopening,allow
425,tankers,yemen
426,natural,resources
427,losses,session
428,aaron,sheldrick
429,early,end
430,relax,cuts
431,routes,attacked
432,forward,policy
433,seek,buyers
434,initial,public
435,facility,alberta
436,monday,cents
437,net,profit
438,past,three
439,cnbc,europe
440,lane,bab
441,delivery,wti
442,rose,supported
443,houthi,movement
444,head,commodity
445,trump,announced
446,june,discuss
447,sharp,losses
448,rising,east
449,crown,mohammed
450,eased,cents
451,ihs,markit
452,bmi,research
453,ships,waterway
454,allies,poised
455,clearly,screaming
456,delivery,point
457,concerns,impact
458,nuclear,arms
459,pvm,tamas
460,economic,crisis
461,forecast,hit
462,show,build
463,already,cut
464,institute,report
465,fearing,slump
466,escalating,tensions
467,iranian,washington
468,fund,positions
469,limit,losses
470,uncertainty,around
471,pushing,loosen
472,sea,strait
473,two,producers
474,aspects,singapore
475,drop,libyan
476,offset,disruptions
477,basket,currencies
478,brokerage,pvm
479,emerging,evidence
480,including,withholding
481,stockpiles,include
482,london,associates
483,facility,canada
484,red,strait
485,hit,highs
486,increased,july
487,terminals,ending
488,inventories,loss
489,cnbc,wednesday
490,major,currencies
491,ahead,meeting
492,canadian,government
493,standoff,shut
494,monthly,two
495,early,several
496,reporting,henning
497,reported,inventories
498,de,facto
499,losses,previous
500,chinese,products
501,syncrude,facility
502,analyst,aspects
503,public,offering
504,supplies,top
505,investors,cautious
506,tanker,loaded
507,shipping,lane
508,managers,long
509,although,added
510,like,venezuela
511,petroleum,well
512,red,shipping
513,meeting,june
514,gmt,dollar
515,routes,yemen
516,biggest,two
517,six,months
518,vienna,agreed
519,partners,including
520,east,asia
521,include,diesel
522,recently,hit
523,funds,bullish
524,expressed,london
525,monday,traders
526,including,started
527,deal,cut
528,squawk,europe
529,hit,rising
530,hub,wti
531,early,indicator
532,end,deal
533,houthis,attacked
534,cut,purchases
535,storage,tank
536,month,earlier
537,jefferies,note
538,offset,losses
539,record,highs
540,facility,near
541,fuel,demand
542,tuesday,stocks
543,measurable,boost
544,yemen,houthis
545,due,later
546,wednesday,fell
547,henning,editing
548,reporting,gloystein
549,fell,thursday
550,managers,raised
551,information,reported
552,markets,struggle
553,big,including
554,already,started
555,crown,prince
556,chauhan,analyst
557,tanker,houthis
558,demanded,reject
559,yemen,ships
560,important,yemen
561,henning,gloystein
562,producers,increasing
563,oklahoma,rose
564,time,november
565,cut,deal
566,oklahoma,point
567,push,looming
568,trading,lower
569,third,straight
570,members,organization
571,together,producers
572,chinese,starting
573,secondary,sources
574,earlier,despite
575,second,row
576,weeks,looming
577,stockpiles,diesel
578,decline,inventories
579,minister,bijan
580,stocks,oklahoma
581,controls,introduced
582,producers,meet
583,limit,due
584,cushing,screaming
585,allow,return
586,going,forward
587,largest,company
588,washington,nuclear
589,biggest,monthly
590,level,three
591,analysts,reopening
592,direction,uncertainty
593,key,catalyst
594,welcome,comes
595,producer,reject
596,time,country
597,downward,pressure
598,strengthening,dollar
599,national,noc
600,total,count
601,trump,tweet
602,high,evidence
603,compensate,losses
604,four,export
605,shut,libya
606,tank,push
607,exporting,allies
608,dollar,trading
609,cushing,fell
610,showed,rose
611,countries,vienna
612,refining,activity
613,storage,capacity
614,cnbc,cramer
615,associates,varga
616,following,president
617,contributed,rise
618,july,hedge
619,gulf,source
620,threatened,impose
621,stockpiles,fell
622,drop,commercial
623,distillate,diesel
624,traders,citing
625,intermediate,cents
626,impose,duties
627,countries,well
628,sides,impose
629,box,europe
630,looming,large
631,venezuela,concerns
632,mohammed,bin
633,monday,investors
634,end,cuts
635,research,markets
636,looming,however
637,analysts,decrease
638,p,index
639,meeting,agreement
640,third,weekly
641,put,early
642,fill,gap
643,producers,put
644,high,june
645,good,news
646,upward,pressure
647,aug,fell
648,capacity,might
649,fell,api
650,announcement,national
651,geopolitical,risk
652,july,sources
653,cushing,point
654,including,venezuela
655,iranian,bijan
656,loosen,introduced
657,many,analysts
