,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,"xinyu cui, Wenlong Cheng, Xiaojun Han",If you are not the author of this article and you wish to reproduce material from it in a third party non-RSC publication you must formally request permission using Copyright Clearance Center. Go to our Instructions for using Copyright Clearance Center page f… [+2546 chars],"J. Mater. Chem. B, 2018, Accepted Manuscript DOI : 10.1039/C8TB01891J, Paper xinyu cui, Wenlong Cheng, Xiaojun Han The integrating various theranostic modalities into one nanoplatform for combined treatment of tumor is highly demanded in biomedicine field. Ho…",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Rsc.org'}",Lipid bilayer modified gold nanorod@mesoporous silica nanoparticles for controlled drug delivery triggered by near-infrared light,https://pubs.rsc.org/en/content/articlelanding/2018/tb/c8tb01891j,,499
1,,"People in South America were consuming products of the cacao tree the source of chocolate more than 5,000 years ago, according to analysis of prehistoric artefacts. Researchers have long known that cocoa was a ritual drink for the people of pre-Columbian Mexi… [+904 chars]",The cryptocurrency’s production generated about as much carbon dioxide over 30 months as 1 million cars in the same period.,2018-11-06T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",‘Mining’ Bitcoin takes more energy than mining gold,https://www.nature.com/articles/d41586-018-07283-3,https://media.nature.com/lw1024/magazine-assets/d41586-018-07283-3/d41586-018-07283-3_16243956.jpg,14
2,,"People in South America were consuming products of the cacao tree the source of chocolate more than 5,000 years ago, according to analysis of prehistoric artefacts. Researchers have long known that cocoa was a ritual drink for the people of pre-Columbian Mexi… [+904 chars]",The cryptocurrency’s production generated about as much carbon dioxide over 30 months as 1 million cars in the same period.,2018-11-06T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",‘Mining’ Bitcoin takes more energy than mining gold,https://www.nature.com/articles/d41586-018-07283-3?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29,https://media.nature.com/lw1024/magazine-assets/d41586-018-07283-3/d41586-018-07283-3_16243956.jpg,13
3,Chris Kohler,"Historical game sales data can be hard to come by, so I was quite interested to see NPD analyst Mat Piscatella tweet a series of all-time best-seller lists for the Nintendo 64, PlayStation 1, Saturn, Dreamcast, and Game Boy Color over the weekend. Some of the… [+2376 chars]","Historical game sales data can be hard to come by, so I was quite interested to see NPD analyst Mat Piscatella tweet a series of all-time best-seller lists for the Nintendo 64, PlayStation 1, Saturn, Dreamcast, and Game Boy Color over the weekend. Some of the…",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Kotaku.com'}","The Best-Selling Games For PS1, N64, Saturn, And Dreamcast",https://kotaku.com/the-best-selling-games-for-ps1-n64-saturn-and-dreamc-1830239627,"https://i.kinja-img.com/gawker-media/image/upload/s--wHMZsesd--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/nicllf07ygofuawqsjqg.png",27
4,"Associated Press, By Associated Press","ORLEANS, Mass. The sound of curling stones sliding down the smooth ice rumbled like a distant thunder inside Charles Moore Arena. Yells of ""sweep"" and ""up"" echoed in the area, while newcomers to the sport of curling did their best to learn the game of sliding… [+3793 chars]","ORLEANS, Mass. — The sound of curling stones sliding down the smooth ice rumbled like a distant thunder inside Charles Moore Arena. Yells of ""sweep"" and ""up"" echoed in the area, while newcomers to the sport of curling did their best to learn the game of slidi…",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",Curling club finds new home in Cape Cod,http://www.bostonherald.com/news/local_coverage/2018/11/curling_club_finds_new_home_in_cape_cod,,651
5,,"Liz is one of Australias sporting greats, widely respected for her athletic prowess and leadership. In her twenties, she chose a career in netball over the one she had in the law; playing a record-breaking 122 games for her country, and captaining the nationa… [+844 chars]","While struggling to conceive her son, Liz faced infertility head on. She found it hard to access reliable information on the subject (R)",2018-11-06T00:00:00Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}","Liz Ellis on infertility, netball and love",https://www.abc.net.au/radio/programs/conversations/liz-ellis-rpt/10449252,https://www.abc.net.au/cm/rimage/9702656-16x9-large.png?v=3,850
6,"Borlaug BA, Anstrom KJ, Lewis GD, et al.","Question Does inhaled inorganic nitrite improve exercise capacity in patients with heart failure with preserved ejection fraction (HFpEF)? Findings In this randomized clinical trial that included 105 patients with HFpEF, inhaled inorganic nitrite compared wit… [+37002 chars]","This randomized clinical trial compares the effect of 4 weeks’ administration of inhaled, nebulized inorganic nitrite vs placebo on exercise capacity in patients with heart failure with preserved ejection fraction (HFpEF).",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Jamanetwork.com'}",Effect of Inorganic Nitrite on Exercise Capacity in HFpEF,https://jamanetwork.com/journals/jama/fullarticle/2712543,https://jamanetwork.com/data/Journals/jama/937606/joi180118va.png,862
7,"Hualu Zhou, Xuanqing Gong, Hongyu Lin, Hongming Chen, Dengtong Huang, Dan Li, Hong Shan, Jinhao Gao",If you are not the author of this article and you wish to reproduce material from it in a third party non-RSC publication you must formally request permission using Copyright Clearance Center. Go to our Instructions for using Copyright Clearance Center page f… [+2546 chars],"J. Mater. Chem. B, 2018, Accepted Manuscript DOI : 10.1039/C8TB02390E, Paper Hualu Zhou, Xuanqing Gong, Hongyu Lin, Hongming Chen, Dengtong Huang, Dan Li, Hong Shan, Jinhao Gao Physicochemical properties of nanoparticles have been tuned via various synthetic …",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Rsc.org'}",Gold nanoparticles impair autophagy flux through shape-dependent endocytosis and lysosomal dysfunction,https://pubs.rsc.org/en/content/articlelanding/2018/tb/c8tb02390e,,462
8,"Anna Y. Lee, Adam D. Ewing, Kyle Ellrott, Yin Hu, Kathleen E. Houlahan, J. Christopher Bare, Shadrielle Melijah G. Espiritu, Vincent Huang, Kristen Dang, Zechen Chong, Cristian Caloian, Takafumi N. Yamaguchi, Michael R. Kellen, Ken Chen, Thea C. Norman, Stephen H. Friend…",,"The phenotypes of cancer cells are driven in part by somatic structural variants. Structural variants can initiate tumors, enhance their aggressiveness, and provide unique therapeutic opportunities. Whole-genome sequencing of tumors can allow exhaustive ident…",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Biomedcentral.com'}",Combining accurate tumor genome simulation with crowdsourcing to benchmark somatic structural variant detection,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1539-5,https://images.springer.com/sgw/journals/medium/13059.jpg,777
9,,"- [Phil] SharePoint Online is powerful tool and it looks a lot nicer out of the box than older versions did. It also has built-in functionality to change look and feel, but there may be times when you'll want to go just a little further. Hi, I'm Phil Gold. I'… [+905 chars]","SharePoint Online boasts built-in functionality that can help you modify the look and feel of your SharePoint site. Using themes and CSS, you have control over your site's appearance, and can create a more customized experience for your users. In this course,…",2018-11-06T00:00:00Z,"{'id': None, 'name': 'Linkedin.com'}",SharePoint 2019: Customizing with Themes and CSS,https://www.linkedin.com/learning/sharepoint-2019-customizing-with-themes-and-css,https://cdn.lynda.com/courses/765309-636767411252844179_338x600_thumb.jpg,335
