publish_datetime,content,href,story_abstract,title
2018-12-11,"SINGAPORE, Dec 12 (Reuters) - U.S. oil prices climbed on Wednesday, supported by expectations that an OPEC-led supply cut announced last week for 2019 would stabilize markets. Disruptions to Libyan oil exports after local militia seized the country's biggest oilfield, El Sharara, were also buoying prices, traders said. U.S. West Texas Intermediate (WTI) crude futures were at $52.15 per barrel at 0023 GMT, up 1 percent from their last settlement. International Brent crude oil futures had yet to trade. Analysts said a decision by the Organisation of the Petroleum Exporting Countries (OPEC) and some non-OPEC producers including Russia to cut supply by 1.2 million barrels per day (bpd) would likely stabilize prices, although several said they did not expect the agreement to push markets much higher. ""OPEC production curbs will stabilize the market,"" ANZ bank said on Wednesday. Crude prices had lost a third of their value between early October and the announcement of the cuts. Fereidun Fesharaki of energy consultancy FGE said in a note that the OPEC-led cuts would likely be ""insufficient to mop up the inventories in the targeted three-month period till the end of the first quarter of 2019."" As a result, FGE said prices were ""likely to hover in the $55-60 per barrel range for Brent, with WTI sitting some $5-10 per barrel below this given current fundamentals."" Fawad Razaqzada, market analyst at futures brokerage Forex.com, said ""additional doubts were raised after the decision to reduce output was made on Friday, when ... OPEC refused to specify which country would cut how much."" Undermining the supply cuts is soaring output in the United States, where crude production <C-OUT-T-EIA> has hit a record 11.7 million bpd. The United States is set to end 2018 as the world's top oil producer, ahead of Russia and Saudi Arabia, with the U.S. Energy Information Administration (EIA) saying on Tuesday that the nation's annualized average output would be 10.88 million bpd over the year. The 2018 output increase would be 1.53 million bpd, the EIA said, adding that it expected production to average an unprecedented 12.06 million bpd in 2019. ""U.S. oil production growth continues relentlessly and will probably continue for the foreseeable future to offset any supply-side adjustments from the OPEC+ group,"" Razaqzada said. (Reporting by Henning Gloystein Editing by Joseph Radford) ",https://www.cnbc.com//2018/12/11/reuters-america-oil-prices-rise-as-opec-led-supply-cuts-expected-to-stabilize-markets.html,,Oil prices rise as OPEC-led supply cuts expected to stabilize markets
2018-12-11,HEATING OIL FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW SMALLER-THAN-EXPECTED BUILD IN U.S. DISTILLATE STOCKS ,https://www.cnbc.com//2018/12/11/reuters-america-heating-oil-futures-extend-gains-in-post-settlement-trade-after-api-data-show-smaller-than-expected-build-in-u-s.html,,HEATING OIL FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW SMALLER-THAN-EXPECTED BUILD IN U.S. DISTILLATE STOCKS
2018-12-11,CRUDE FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW MUCH LARGER-THAN-EXPECTED DRAW IN U.S. STOCKPILES ,https://www.cnbc.com//2018/12/11/reuters-america-crude-futures-extend-gains-in-post-settlement-trade-after-api-data-show-much-larger-than-expected-draw-in-u-s-stockpiles.html,,CRUDE FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW MUCH LARGER-THAN-EXPECTED DRAW IN U.S. STOCKPILES
2018-12-11,"NEW YORK, Dec 11 (Reuters) - Oil futures edged higher on Tuesday after paring most of their gains as stock markets turned negative on worries about a possible U.S. government shutdown. U.S. stock markets pulled back after President Donald Trump threatened to shut down the federal government over funding for a wall along the U.S.-Mexico border. ""It looks like the prospect of a U.S. government shutdown is not good for any asset class. Equities reacted first, taking oil prices down with it,"" said John Kilduff, a partner at Again Capital Management in New York. Prices rose over $1 a barrel earlier in the session after Libya's National Oil Company (NOC) declared a force majeure on exports from the country's biggest oilfield, which was seized last weekend by a militia group. NOC said on Monday that the shutdown of the El Sharara oilfield would result in a production loss of 315,000 barrels per day (bpd), and an additional loss of 73,000 bpd at the El Feel oilfield. After the strong start, Brent futures ended just 23 cents, or 0.4 percent, higher at $60.20 a barrel, while U.S. West Texas Intermediate (WTI) crude rose 65 cents, or 1.3 percent, to $51.65. Also adding pressure to the market, was Russia's slower-than-expected planned cuts in production as part of an OPEC-led deal agreed last week to curb output by a joint 1.2 million bpd from January to shore up prices. Russia said on Tuesday it planned to cut oil output by just 50,000 to 60,000 bpd in January, as it gradually builds to an agreed cut of 220,000 bpd. ""Crude futures are roughly unchanged from just prior to the OPEC agreement as the market is apparently expressing concerns over an indicated slow start to Russia's output reductions next month,"" Jim Ritterbusch, president of Ritterbusch and Associates in Chicago, said in a report. Other analysts noted the reduction by the Organization of the Petroleum Exporting Countries and allies, like Russia, may not be deep enough to restore balance to the market especially after the U.S. government confirmed its forecast that the United States would end this year as the new top producing nation. The Energy Information Administration (EIA) forecast U.S. output would rise to a record 10.9 million bpd in 2018 and 12.1 million bpd in 2019. The market will get a peak at U.S. oil inventories this afternoon when the American Petroleum Institute (API), an industry group, releases a report at 4:30 p.m. EST. Analysts estimated crude stocks declined 3 million barrels last week, according to a Reuters poll. (Additional reporting by Amanda Cooper in London and Henning Gloystein in Singapore; Editing by Marguerita Choy and Edmund Blair) ",https://www.cnbc.com//2018/12/11/reuters-america-update-10-oil-pares-gains-on-threatened-u-s-government-shutdown.html,"* Libya declares force majeure on biggest oilfield * Trump, top Democrats clash over border wall * Russia outlines gradual cut as part of OPEC+ deal * Coming Up: API weekly U.S. inventories at 2130 GMT (Adds closing prices) ",UPDATE 10-Oil pares gains on threatened U.S. government shutdown
2018-12-11,"NEW YORK, Dec 11 (Reuters) - Oil futures pared most of their gains on Tuesday as stock markets turned negative on worries about a possible U.S. government shutdown. U.S. stock markets pulled back after President Donald Trump threatened to shut down the federal government over funding for a wall along the U.S.-Mexico border. ""It looks like the prospect of a U.S. government shutdown is not good for any asset class. Equities reacted first, taking oil prices down with it,"" said John Kilduff, a partner at Again Capital Management in New York. Prices rose over $1 a barrel earlier in the session before the stock market pulled back and after Libya's National Oil Company (NOC) declared a force majeure on exports from the country's biggest oilfield, which was seized last weekend by a militia group. NOC said on Monday that the shutdown of the El Sharara oilfield would result in a production loss of 315,000 barrels per day (bpd), and an additional loss of 73,000 bpd at the El Feel oilfield. After the strong start, Brent futures, the global benchmark, were up 29 cents, or 0.5 percent, at $60.26 a barrel at 2:30 p.m. EST (1930 GMT), while U.S. West Texas Intermediate crude was up 69 cents, or 1.4 percent, at $51.69. Also adding pressure to the market, was Russia's slower-than-expected planned cuts in production as part of an OPEC-led deal agreed last week to curb output by a joint 1.2 million bpd from January to shore up prices. Russia said on Tuesday it planned to cut oil output by just 50,000 to 60,000 bpd in January, as it gradually builds to an agreed cut of 220,000 bpd. ""Crude futures are roughly unchanged from just prior to the OPEC agreement as the market is apparently expressing concerns over an indicated slow start to Russia's output reductions next month,"" Jim Ritterbusch, president of Ritterbusch and Associates in Chicago, said in a report. Other analysts noted the OPEC-led reductions may not be deep enough to restore balance to the market especially after the U.S. Energy Information Administration confirmed its forecast that the United States would end this year as the new top producing nation. The EIA forecast U.S. output would rise to a record 10.9 million bpd in 2018 and 12.1 million bpd in 2019. The market will get a peak at U.S. oil inventories this afternoon when the American Petroleum Institute (API), an industry group, releases a report at 4:30 p.m. EST. Analysts estimated crude stocks declined 3 million barrels last week, according to a Reuters poll. (Additional reporting by Amanda Cooper in London and Henning Gloystein in Singapore; Editing by Marguerita Choy and Edmund Balir) ",https://www.cnbc.com//2018/12/11/reuters-america-update-9-oil-pares-gains-along-with-equities-after-u-s-govt-shutdown-threat.html,"* Libya declares force majeure on biggest oilfield * Trump, top Democrats clash over border wall * Russia outlines gradual cut as part of OPEC+ deal * Coming Up: API weekly U.S. inventories at 2130 GMT (Adds latest prices, quote, U.S. govt shutdown threat, EIA production forecast) ",UPDATE 9-Oil pares gains along with equities after U.S. govt shutdown threat
2018-12-11,"President Donald Trump has told foreign leaders that ""America First"" means he will always put the needs of America ahead of the needs of other nations — and that they should do the same for their own country. Saudi Arabia's leadership appears to be on board with that message. Last week, Saudi Arabia disregarded Trump's public pressure campaign to keep pumping at full throttle and cut fuel costs. The kingdom instead persuaded two dozen oil producers to cut output and announced a steep drop in Saudi production over the next two months. ""Saudi Arabia today had a 'Saudi first' policy,"" Helima Croft, global head of commodity strategy at RBC Capital Markets, said on Friday. Hours earlier, OPEC, Russia and several other producers agreed to take 1.2 million barrels per day off the market beginning in January. ",https://www.cnbc.com//2018/12/11/defying-trump-saudi-arabia-chooses-saudi-first-policy.html,,"Defying Trump, Saudi Arabia chooses 'Saudi first' oil policy at OPEC meeting"
2018-12-11,"Despite dramatic slides in the oil market, some forecasters remain positive on prices and demand going into 2019. A year ahead outlook report from Bank of America Merrill Lynch expects Brent crude to regain its recent losses in 2019 and settle at $70 a barrel. But amid mounting global uncertainty on everything from trade and monetary policy to politics, that forecast is far from consensus. ""Volatility will be high in the near future, but going into 2019, we are constructive on oil prices,"" Hootan Yazhari, head of global frontier markets equity research at Bank of America Merrill Lynch, told CNBC's Dan Murphy on Tuesday. ""We believe oil prices will resume their path back up to $70 average next year, potentially higher in the second quarter for a brief spell of time. We believe the (OPEC) cuts were sufficient,"" Yazhari said, predicting a ""relatively balanced oil market"" and stable inventories next year. But worries over the strength of crude remain rife, with other market analysts pointing to $60 barrels or lower in the coming year. Brent crude is down nearly 30 percent from its October highs of more than $86. After a dramatic summit of OPEC and non-OPEC members over the weekend that triggered an immediate boost in oil prices, the commodity has already dropped back to pre-meeting levels, falling 3.1 percent by the end of Monday. The 15-member cartel, led by Saudi Arabia, agreed with Russia to cut production by 1.2 million barrels per day (bpd) by January to support prices amid a global supply glut and fears of waning demand. ",https://www.cnbc.com//2018/12/11/bank-of-america-sees-oil-gains-in-2019-forecast.html,,"Bank of America sees oil gains in 2019, but that forecast is far from universal"
2018-12-11,"Oil prices rose on Tuesday, recovering some of the previous session's losses with the help of a slightly weaker dollar and an outage hurting Libyan production. Tuesday's recovery in global equities eased some pressure on oil, but the U.S. stock market turned negative around midday. Crude futures pared gains as stocks fell. Brent crude oil futures ended Tuesday's session 23 cents higher at $60.20 a barrel, off a session high of $61.10. U.S. crude futures rose 65 cents, or 1.3 percent, to $51.65 a barrel, after earlier rising more than 2 percent to $52.43. ""The dollar is a bit weaker, but other than that, I don't see any reason why this market should rally right now. It fell quite hard yesterday, so it might correct higher,"" PVM Oil Associates Tamas Varga said. Global stocks have fallen by more than 5 percent so far this month on worries about the impact of a U.S. trade dispute with China on economic growth. Any slowdown would hurt oil demand. ",https://www.cnbc.com//2018/12/11/oil-markets-libyan-export-disruption-global-stock-markets-in-focus.html,,"US crude rises 1.3%, settling at $51.65, as Libya supply outage supports price"
2018-12-11,"president@ (Adds Rouhani quotes and background) GENEVA, Dec 11 (Reuters) - Exports of Iranian oil have improved since early November, Iran's president Hassan Rouhani said in a statement broadcast live on state TV on Tuesday. The United States imposed sanctions on Iran's oil industry in early November and U.S. officials have said they want to reduce Iran's oil exports to zero. Tensions have spiked between Iran and the United States after U.S. President Donald Trump pulled out of an international agreement on Iran's nuclear program in May. He said the deal was flawed because it did not include curbs on Iran's development of ballistic missiles or its support for proxies in Syria, Yemen, Lebanon and Iraq. ""The goal of the Americans was to block our oil exports. I want to say frankly to our people that our oil exports after (Nov. 4) have improved by degrees,"" Rouhani said. ""So the Americans have been unsuccessful with regard to the oil issue."" The United States was also unsuccessful in preventing OPEC from cutting production, Rouhani said. OPEC and its Russia-led allies agreed last week to slash oil production by more than the market had expected despite pressure from Trump to reduce the price of crude. ""The Americans were unsuccessful in this OPEC meeting and the Islamic Republic of Iran, fortunately, had some good successes,"" Rouhani said. ""The process of selling our oil will continue in the same way as it did before this meeting."" (Reporting by Babak Dehghanpisheh, editing by Louise Heavens) ",https://www.cnbc.com//2018/12/11/reuters-america-update-1-iranian-oil-exports-have-improved-since-early-november-iran-president.html,,UPDATE 1-Iranian oil exports have improved since early November- Iran president
2018-12-11,"SINGAPORE, Dec 12 (Reuters) - U.S. oil prices climbed on Wednesday, supported by expectations that an OPEC-led supply cut announced last week for 2019 would stabilize markets. Disruptions to Libyan oil exports after local militia seized the country's biggest oilfield, El Sharara, were also buoying prices, traders said. U.S. West Texas Intermediate (WTI) crude futures were at $52.15 per barrel at 0023 GMT, up 1 percent from their last settlement. International Brent crude oil futures had yet to trade. Analysts said a decision by the Organisation of the Petroleum Exporting Countries (OPEC) and some non-OPEC producers including Russia to cut supply by 1.2 million barrels per day (bpd) would likely stabilize prices, although several said they did not expect the agreement to push markets much higher. ""OPEC production curbs will stabilize the market,"" ANZ bank said on Wednesday. Crude prices had lost a third of their value between early October and the announcement of the cuts. Fereidun Fesharaki of energy consultancy FGE said in a note that the OPEC-led cuts would likely be ""insufficient to mop up the inventories in the targeted three-month period till the end of the first quarter of 2019."" As a result, FGE said prices were ""likely to hover in the $55-60 per barrel range for Brent, with WTI sitting some $5-10 per barrel below this given current fundamentals."" Fawad Razaqzada, market analyst at futures brokerage Forex.com, said ""additional doubts were raised after the decision to reduce output was made on Friday, when ... OPEC refused to specify which country would cut how much."" Undermining the supply cuts is soaring output in the United States, where crude production <C-OUT-T-EIA> has hit a record 11.7 million bpd. The United States is set to end 2018 as the world's top oil producer, ahead of Russia and Saudi Arabia, with the U.S. Energy Information Administration (EIA) saying on Tuesday that the nation's annualized average output would be 10.88 million bpd over the year. The 2018 output increase would be 1.53 million bpd, the EIA said, adding that it expected production to average an unprecedented 12.06 million bpd in 2019. ""U.S. oil production growth continues relentlessly and will probably continue for the foreseeable future to offset any supply-side adjustments from the OPEC+ group,"" Razaqzada said. (Reporting by Henning Gloystein Editing by Joseph Radford) ",https://www.cnbc.com//2018/12/11/reuters-america-oil-prices-rise-as-opec-led-supply-cuts-expected-to-stabilize-markets.html,,Oil prices rise as OPEC-led supply cuts expected to stabilize markets
2018-12-11,HEATING OIL FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW SMALLER-THAN-EXPECTED BUILD IN U.S. DISTILLATE STOCKS ,https://www.cnbc.com//2018/12/11/reuters-america-heating-oil-futures-extend-gains-in-post-settlement-trade-after-api-data-show-smaller-than-expected-build-in-u-s.html,,HEATING OIL FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW SMALLER-THAN-EXPECTED BUILD IN U.S. DISTILLATE STOCKS
2018-12-11,CRUDE FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW MUCH LARGER-THAN-EXPECTED DRAW IN U.S. STOCKPILES ,https://www.cnbc.com//2018/12/11/reuters-america-crude-futures-extend-gains-in-post-settlement-trade-after-api-data-show-much-larger-than-expected-draw-in-u-s-stockpiles.html,,CRUDE FUTURES EXTEND GAINS IN POST-SETTLEMENT TRADE AFTER API DATA SHOW MUCH LARGER-THAN-EXPECTED DRAW IN U.S. STOCKPILES
2018-12-11,"NEW YORK, Dec 11 (Reuters) - Oil futures edged higher on Tuesday after paring most of their gains as stock markets turned negative on worries about a possible U.S. government shutdown. U.S. stock markets pulled back after President Donald Trump threatened to shut down the federal government over funding for a wall along the U.S.-Mexico border. ""It looks like the prospect of a U.S. government shutdown is not good for any asset class. Equities reacted first, taking oil prices down with it,"" said John Kilduff, a partner at Again Capital Management in New York. Prices rose over $1 a barrel earlier in the session after Libya's National Oil Company (NOC) declared a force majeure on exports from the country's biggest oilfield, which was seized last weekend by a militia group. NOC said on Monday that the shutdown of the El Sharara oilfield would result in a production loss of 315,000 barrels per day (bpd), and an additional loss of 73,000 bpd at the El Feel oilfield. After the strong start, Brent futures ended just 23 cents, or 0.4 percent, higher at $60.20 a barrel, while U.S. West Texas Intermediate (WTI) crude rose 65 cents, or 1.3 percent, to $51.65. Also adding pressure to the market, was Russia's slower-than-expected planned cuts in production as part of an OPEC-led deal agreed last week to curb output by a joint 1.2 million bpd from January to shore up prices. Russia said on Tuesday it planned to cut oil output by just 50,000 to 60,000 bpd in January, as it gradually builds to an agreed cut of 220,000 bpd. ""Crude futures are roughly unchanged from just prior to the OPEC agreement as the market is apparently expressing concerns over an indicated slow start to Russia's output reductions next month,"" Jim Ritterbusch, president of Ritterbusch and Associates in Chicago, said in a report. Other analysts noted the reduction by the Organization of the Petroleum Exporting Countries and allies, like Russia, may not be deep enough to restore balance to the market especially after the U.S. government confirmed its forecast that the United States would end this year as the new top producing nation. The Energy Information Administration (EIA) forecast U.S. output would rise to a record 10.9 million bpd in 2018 and 12.1 million bpd in 2019. The market will get a peak at U.S. oil inventories this afternoon when the American Petroleum Institute (API), an industry group, releases a report at 4:30 p.m. EST. Analysts estimated crude stocks declined 3 million barrels last week, according to a Reuters poll. (Additional reporting by Amanda Cooper in London and Henning Gloystein in Singapore; Editing by Marguerita Choy and Edmund Blair) ",https://www.cnbc.com//2018/12/11/reuters-america-update-10-oil-pares-gains-on-threatened-u-s-government-shutdown.html,"* Libya declares force majeure on biggest oilfield * Trump, top Democrats clash over border wall * Russia outlines gradual cut as part of OPEC+ deal * Coming Up: API weekly U.S. inventories at 2130 GMT (Adds closing prices) ",UPDATE 10-Oil pares gains on threatened U.S. government shutdown
2018-12-11,"NEW YORK, Dec 11 (Reuters) - Oil futures pared most of their gains on Tuesday as stock markets turned negative on worries about a possible U.S. government shutdown. U.S. stock markets pulled back after President Donald Trump threatened to shut down the federal government over funding for a wall along the U.S.-Mexico border. ""It looks like the prospect of a U.S. government shutdown is not good for any asset class. Equities reacted first, taking oil prices down with it,"" said John Kilduff, a partner at Again Capital Management in New York. Prices rose over $1 a barrel earlier in the session before the stock market pulled back and after Libya's National Oil Company (NOC) declared a force majeure on exports from the country's biggest oilfield, which was seized last weekend by a militia group. NOC said on Monday that the shutdown of the El Sharara oilfield would result in a production loss of 315,000 barrels per day (bpd), and an additional loss of 73,000 bpd at the El Feel oilfield. After the strong start, Brent futures, the global benchmark, were up 29 cents, or 0.5 percent, at $60.26 a barrel at 2:30 p.m. EST (1930 GMT), while U.S. West Texas Intermediate crude was up 69 cents, or 1.4 percent, at $51.69. Also adding pressure to the market, was Russia's slower-than-expected planned cuts in production as part of an OPEC-led deal agreed last week to curb output by a joint 1.2 million bpd from January to shore up prices. Russia said on Tuesday it planned to cut oil output by just 50,000 to 60,000 bpd in January, as it gradually builds to an agreed cut of 220,000 bpd. ""Crude futures are roughly unchanged from just prior to the OPEC agreement as the market is apparently expressing concerns over an indicated slow start to Russia's output reductions next month,"" Jim Ritterbusch, president of Ritterbusch and Associates in Chicago, said in a report. Other analysts noted the OPEC-led reductions may not be deep enough to restore balance to the market especially after the U.S. Energy Information Administration confirmed its forecast that the United States would end this year as the new top producing nation. The EIA forecast U.S. output would rise to a record 10.9 million bpd in 2018 and 12.1 million bpd in 2019. The market will get a peak at U.S. oil inventories this afternoon when the American Petroleum Institute (API), an industry group, releases a report at 4:30 p.m. EST. Analysts estimated crude stocks declined 3 million barrels last week, according to a Reuters poll. (Additional reporting by Amanda Cooper in London and Henning Gloystein in Singapore; Editing by Marguerita Choy and Edmund Balir) ",https://www.cnbc.com//2018/12/11/reuters-america-update-9-oil-pares-gains-along-with-equities-after-u-s-govt-shutdown-threat.html,"* Libya declares force majeure on biggest oilfield * Trump, top Democrats clash over border wall * Russia outlines gradual cut as part of OPEC+ deal * Coming Up: API weekly U.S. inventories at 2130 GMT (Adds latest prices, quote, U.S. govt shutdown threat, EIA production forecast) ",UPDATE 9-Oil pares gains along with equities after U.S. govt shutdown threat
2018-12-11,"President Donald Trump has told foreign leaders that ""America First"" means he will always put the needs of America ahead of the needs of other nations — and that they should do the same for their own country. Saudi Arabia's leadership appears to be on board with that message. Last week, Saudi Arabia disregarded Trump's public pressure campaign to keep pumping at full throttle and cut fuel costs. The kingdom instead persuaded two dozen oil producers to cut output and announced a steep drop in Saudi production over the next two months. ""Saudi Arabia today had a 'Saudi first' policy,"" Helima Croft, global head of commodity strategy at RBC Capital Markets, said on Friday. Hours earlier, OPEC, Russia and several other producers agreed to take 1.2 million barrels per day off the market beginning in January. ",https://www.cnbc.com//2018/12/11/defying-trump-saudi-arabia-chooses-saudi-first-policy.html,,"Defying Trump, Saudi Arabia chooses 'Saudi first' oil policy at OPEC meeting"
