,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,,"To enable volume discounts on this site, use coupon code: BULKRATE during checkout. You will see a discount applied at the bottom of the shopping cart. Competitive pricing is available. Contact us for details. What is Bulk Rate? BulkRate is a semi-wholesale s… [+545 chars]","SKU #: 621325, Price: CA$14.46 free shipping Product Description Dial Diameter: 34mm Case Thickness: 9mm Band Length: / Band Width: 16mm Model Number: 9180 Case Shape: Round Dial Window Material Type: Glass Boxes & Cases Material: No package Band Material Typ…",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Dx.com'}",SKMEI Fashion Quartz Harajuku Watches Stainless Steel Strap Galaxy Star Diamond Mirror Watch For Women Rose Gold,http://www.dx.com/p/skmei-fashion-quartz-harajuku-watches-stainless-steel-strap-galaxy-star-diamond-mirror-watch-for-women-rose-gold-621322,//img.dxcdn.com/productimages/sku_621325_1.jpg,74
1,Tyler Durden,"The ""weaponized autists"" at 4Chan have done it again, because they can; a new meme suggesting that liberals are soulless idiots who can't think for themselves has gone viral. The concept compares Democrats to ""nonplayable characters,"" or NPCs - the recurring … [+3902 chars]","The ""weaponized autists"" at 4Chan have done it again, because they can; a new meme suggesting that liberals are soulless idiots who can't think for themselves has gone viral. The concept compares Democrats to ""nonplayable characters,"" or NPCs - the recurring …",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Zerohedge.com'}",4Chan Sparks Mass Triggering With NPC Meme; Twitter Responds With Ban Hammer,https://www.zerohedge.com/news/2018-10-16/4chan-sparks-mass-triggering-npc-meme-twitter-responds-ban-hammer,https://www.zerohedge.com/sites/default/files/styles/max_650x650/public/2018-10/enemy%20npc.jpg?itok=y4GWcQGs,279
2,Chivis,"Chivis Martinez Borderland Beat-from DOJ-DEA website 5M reward for ""El 85"" 10M reward for Mencho El 85 and El Mencho WASHINGTON – The United States of America, through its Departments of Justice, Treasury, and State announced today a series of measures to tar… [+14365 chars]","Chivis Martinez Borderland  Beat-from DOJ-DEA website    5M reward for ""El 85"" 10M reward for Mencho      El 85 and El Mencho     WASHINGTON...",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Borderlandbeat.com'}","Justice, Treasury, and State Departments Coordinate efforts against CJNG",http://www.borderlandbeat.com/2018/10/justice-treasury-and-state-departments.html,https://1.bp.blogspot.com/-YO7S1I4J6ok/W8Z44nLsuTI/AAAAAAAAi4Q/w8awHFMK0C0uHqgYLOmbSElO1SNYzP-UgCLcBGAs/w1200-h630-p-k-no-nu/el%2B85%2Bmencho%2Bbb2018.jpg,255
3,Reportlinker,"NEW YORK, Oct. 16, 2018 /PRNewswire/ -- This report analyzes the worldwide markets for Commercial Biotechnology Separation Systems in US$ Million. Read the full report: https://www.reportlinker.com/p03646062 The Global market is further analyzed by the follow… [+29104 chars]","NEW YORK, Oct. 16, 2018 /PRNewswire/ -- This report analyzes the worldwide markets for Commercial Biotechnology Separation Systems in US$ Million. Read the full report: https://www.reportlinker.com/p03646062 The Global market is further analyzed by the follow…",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Prnewswire.com'}",Global Commercial Biotechnology Separation Systems Industry,https://www.prnewswire.com/news-releases/global-commercial-biotechnology-separation-systems-industry-300732294.html,/content/dam/prnewswire/common/prn_facebook_sharing_logo.jpg,312
4,,"To enable volume discounts on this site, use coupon code: BULKRATE during checkout. You will see a discount applied at the bottom of the shopping cart. Competitive pricing is available. Contact us for details. What is Bulk Rate? BulkRate is a semi-wholesale s… [+545 chars]","SKU #: 621401, Price: CA$20.78 free shipping Product Description Case Thickness: 14mm Band Width: 24mm Model Number: 1392 Dial Diameter: 48mm Band Length: / Feature: None Movement: Digital Band Material Type: Stainless Steel Case Shape: Square Dial Window Mat…",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Dx.com'}",SKMEI Multifunction Waterproof Business Men\'s Watch Digital Dual Display Outdoor Sport Watches Rose Gold,http://www.dx.com/p/skmei-multifunction-waterproof-business-mens-watch-digital-dual-display-outdoor-sport-watches-rose-gold-621401,//img.dxcdn.com/productimages/sku_621401_1.jpg,56
5,,"To enable volume discounts on this site, use coupon code: BULKRATE during checkout. You will see a discount applied at the bottom of the shopping cart. Competitive pricing is available. Contact us for details. What is Bulk Rate? BulkRate is a semi-wholesale s… [+545 chars]","SKU #: 621404, Price: CA$20.78 free shipping Product Description Case Thickness: 14mm Band Width: 24mm Model Number: 1392 Dial Diameter: 48mm Band Length: / Feature: None Movement: Digital Band Material Type: Stainless Steel Case Shape: Square Dial Window Mat…",2018-10-17T00:00:00Z,"{'id': None, 'name': 'Dx.com'}",SKMEI Multifunction Waterproof Business Men\'s Watch Digital Dual Display Outdoor Sport Watches Gold,http://www.dx.com/p/skmei-multifunction-waterproof-business-mens-watch-digital-dual-display-outdoor-sport-watches-gold-621401,//img.dxcdn.com/productimages/sku_621404_1.jpg,55
6,Cristian Gnaticov,"This first-gen Audi RS7 may have a yellow wrap, but due to the significant visual makeover, nobody is going to scream taxi at it. Among the extra bits fitted to this super saloon we find large fender flares at both ends, a ducktail spoiler, new rim set and ad… [+1032 chars]",The video was shot in Romania and shows a yellow RS7 with a U.S.-made wide body kit .,2018-10-17T00:02:04Z,"{'id': None, 'name': 'Carscoops.com'}",Wide-Bodied Audi RS7 Is As Flash As A Rat With A Gold Tooth,https://www.carscoops.com/2018/10/wide-bodied-audi-rs7-flash-rat-gold-tooth/,https://images.carscoops.com/2018/10/3bd28586-audi-rs7-tuning-romania.jpg,11
7,newsfeedback@fool.com (Harsh Chauhan),"When Steve Jobs released the first edition of the iPhone in June 2007, he promised that Apple ( NASDAQ:AAPL ) would ""reinvent the phone"" by putting three devices into one (an iPod, a mobile phone, and an ""internet communication device""). His audacious prophec… [+5233 chars]","This time, the disruption is in homes, not phones.",2018-10-17T00:05:00Z,"{'id': None, 'name': 'Fool.com'}",Here's How Amazon Is the New Apple,https://www.fool.com/investing/2018/10/16/heres-how-amazon-is-the-new-apple.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F496431%2Fecho-show-black-calling.jpg&h=630&w=1200&op=resize,54
8,,"HotUKDeals Part of Pepper - The World's Largest Deal Community HotUKDeals is a community for deal seekers. Find and share the best deals, promotional codes and vouchers from on and off the web.",£1.37 - Xbox.com Store Never played this but been watching it for a while to see if it gets reduced and at £1.37 it would be rude not to give it a go,2018-10-17T00:09:14Z,"{'id': None, 'name': 'Hotukdeals.com'}",102° - Final Exam 80% off xbox with Gold marketplace £1.37,https://www.hotukdeals.com/deals/final-exam-80-off-xbox-with-gold-marketplace-137-3081757,https://images.hotukdeals.com/threads/thread_full_screen/default/3081757_1.jpg,33
9,"OTC Markets Group - News, Filings & Corporate Actions",,"Get Stock & Bond Quotes, Trade Prices, Charts, Financials and Company News & Information for OTCQX, OTCQB and Pink Securities.",2018-10-17T00:17:54Z,"{'id': None, 'name': 'Otcmarkets.com'}",First Mining Gold Corp. (FFMGF: OTCQX International) | First Mining Announces Management Change,https://www.otcmarkets.com/stock/FFMGF/news?id=207174,,192
