,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Josiah Wilmoth,"The co-chief investment officer of one the cryptocurrency industrys largest investment firms said that he expects the next bitcoin bull run to carry the cryptocurrency market cap 1,000 percent above its current valuation. Pantera Capitals Joey Krug made this … [+2662 chars]","The co-chief investment officer of one the cryptocurrency industry’s largest investment firms said that he expects the next bitcoin bull run to carry the cryptocurrency market cap 1,000 percent above its current valuation. Pantera Capital’s Joey Krug made thi…",2018-10-17T00:30:03Z,"{'id': 'crypto-coins-news', 'name': 'Crypto Coins News'}",Next Bitcoin Bull Run Will See Crypto Market Rise ‘10x’: Pantera CIO,https://www.ccn.com/next-bitcoin-bull-run-will-see-crypto-prices-rise-10x-pantera-cio/,https://www.ccn.com/wp-content/uploads/2018/10/joey-krug-pantera-capital.jpg,1
1,Emilio Janus,Bitmain’s beleaguered IPO faces further challenges as the latest Trump tariffs hit mining hardware. The situation is also likely to affect planned IPOs by Canaan and Ebang according to the South China Morning Post. Financial Controversy Bitmain must have hope… [+2305 chars],Bitmain’s beleaguered IPO faces further challenges as the latest Trump tariffs hit mining hardware. The situation is also likely to affect planned IPOs by Canaan and Ebang according to the South China Morning Post. Financial Controversy Bitmain must have hope…,2018-10-17T01:00:05Z,"{'id': None, 'name': 'Bitcoinist.com'}",Trump Trade War Tariffs Compound Bitmain IPO Woes,https://bitcoinist.com/trump-trade-war-tariffs-add-to-bitmain-ipo-woes/,https://bitcoinist.com/wp-content/uploads/2018/10/shutterstock_459602719-e1539732354962.jpg,12
2,,"Following a televised report this week that information about Iowa voters is for sale on the internet, Iowa Secretary of State Paul Pate said Tuesday the data is a public record that does not include confidential information — although it’s illegal to sell. “… [+759 chars]","Following a televised report this week that information about Iowa voters is for sale on the internet, Iowa Secretary of State Paul Pate said Tuesday the data is a public record that does not include confidential information — although it’s illegal to sell.",2018-10-17T01:16:00Z,"{'id': None, 'name': 'Thegazette.com'}","Save your Bitcoin: Voter data for sale online already available to public, Iowa official says",https://www.thegazette.com/subject/news/government/save-your-bitcoin-voter-data-for-sale-online-already-available-to-public-iowa-official-says-20181016,https://www.thegazette.com/storyimage/GA/20181016/ARTICLE/181019657/AR/0/AR-181019657.jpg,23
3,Gary Davis,"Most ransomware strains have the same commonalities bitter ransom notes, payment demanded in cryptocurrency, and inventive names. A select few, however, can go undetected by a handful of antimalware products. Meet GandCrab ransomware, a strain that somehow ma… [+2633 chars]","on Oct 16, 2018 Most ransomware strains have the same commonalities – bitter ransom notes, payment demanded in cryptocurrency, and inventive names. A select few, however, can go undetected by a handful of antimalware products. Meet GandCrab ransomware, a stra…",2018-10-17T01:22:00Z,"{'id': None, 'name': 'Mcafee.com'}",Breaking Down the Rapidly Evolving GandCrab Ransomware,https://securingtomorrow.mcafee.com/consumer/consumer-threat-notices/gandcrab-ransomware/,https://securingtomorrow.mcafee.com/wp-content/uploads/2018/10/img_1614529513687532.jpg,25
4,Dalmas Ngetich,"After Cory Johnson revelation that they have been in constant communication with the Trump administration, Ripple supporter should interpret this as positive. It appears as if this positivity is spreading. In a report the FSB said cryptocurrencies and blockch… [+3069 chars]","After Cory Johnson revelation that they have been in constant communication with the Trump administration, Ripple supporter should interpret this as positive. It appears as if this positivity is spreading. In a report the FSB said cryptocurrencies and blockch…",2018-10-17T02:00:09Z,"{'id': None, 'name': 'Newsbtc.com'}",XRP Price Analysis: FSB Subtle Endorsement of Ripple Positive for XRP,https://www.newsbtc.com/2018/10/17/xrp-price-analysis-fsb-report/,https://s3.amazonaws.com/main-newsbtc-images/2018/04/17064013/techanalysis-xrp3.jpg,10
5,Dalmas Ngetich,"It will always be there that EOS critics will point out to the level of centralization visible in the block producers list. Unfortunately, they will always turn a blind eye to the platforms stellar performance. Nonetheless, we expect higher highs in days to c… [+5087 chars]","It will always be there that EOS critics will point out to the level of centralization visible in the block producers list. Unfortunately, they will always turn a blind eye to the platform’s stellar performance. Nonetheless, we expect higher highs in days to …",2018-10-17T02:00:14Z,"{'id': None, 'name': 'Newsbtc.com'}",EOS Price Analysis: Charlie Lee Positive on LN as Monero Prepares for a Hard Fork,https://www.newsbtc.com/2018/10/17/eos-price-analysis-monero-hard-fork/,https://s3.amazonaws.com/main-newsbtc-images/2018/06/27193704/technology-3435575_1920.jpg,21
6,Observer Staff Report,"A new phishing scam on campus is attempting to blackmail people for money, the Office of Information Technologies (OIT) said in an email to the Notre Dame community. The scam involves an email message claiming to have embarrassing video, pictures and informat… [+403 chars]","A new phishing scam on campus is attempting to blackmail people for money, the Office of Information Technologies (OIT) said in an email to the Notre Dame community. The scam involves an email message claiming to have “embarrassing video, pictures and informa…",2018-10-17T02:51:51Z,"{'id': None, 'name': 'Ndsmcobserver.com'}",New phishing scam reported to OIT,https://ndsmcobserver.com/2018/10/new-phishing-scam-reported-to-oit/,http://cdn.ndsmcobserver.com/resources/og_default.png,26
7,Georgi Georgiev,"The crypto exchange launched by Japans largest social network, LINE, announced the listing of its own token LINK (LNK) for trading against Bitcoin, Ethereum, and Tether. LNK Up For Trading on Bitbox Bitbox, the cryptocurrency exchange launched by messaging gi… [+2227 chars]","The crypto exchange launched by Japan’s largest social network, LINE, announced the listing of its own token LINK (LNK) for trading against Bitcoin, Ethereum, and Tether. LNK Up For Trading on Bitbox Bitbox, the cryptocurrency exchange launched by messaging g…",2018-10-17T03:00:51Z,"{'id': None, 'name': 'Bitcoinist.com'}",LINE’s Cryptocurrency Exchange Lists Its Own Token for Trading,https://bitcoinist.com/lines-cryptocurrency-exchange-lists-its-own-token-for-trading/,https://bitcoinist.com/wp-content/uploads/2018/10/shutterstock_1071411770-e1539733490977.jpg,11
8,Sarah Jenn,"Bitcoin Price Key Highlights Bitcoin price is still stuck in consolidation, forming higher lows and lower highs inside a symmetrical triangle on the short-term chart. Price is approaching the peak of this formation so a breakout might be due soon, providing l… [+1566 chars]","Bitcoin Price Key Highlights Bitcoin price is still stuck in consolidation, forming higher lows and lower highs inside a symmetrical triangle on the short-term chart. Price is approaching the peak of this formation so a breakout might be due soon, providing l…",2018-10-17T03:54:40Z,"{'id': None, 'name': 'Newsbtc.com'}",Bitcoin (BTC) Price Watch: Watch This Triangle for Directional Clues,https://www.newsbtc.com/2018/10/17/bitcoin-btc-price-watch-watch-this-triangle-for-directional-clues/,https://s3.amazonaws.com/main-newsbtc-images/2018/08/23144815/techanalysis-btc6-bullish.jpg,3
9,Kesha Hodge,"It is estimated that approximately 8% of Americans own some form of cryptocurrency. 1 Although cryptocurrency first appeared in 2008, it is still in its early stages. In fact, what is meant by a cryptocurrency is still evolving. It was not until March of this… [+4323 chars]","It is estimated that approximately 8% of Americans own some form of cryptocurrency.1 Although cryptocurrency first appeared in 2008, it is still in its ear",2018-10-17T04:15:44Z,"{'id': None, 'name': 'Propertyinsurancecoveragelaw.com'}","Is Cryptocurrency covered by Insurance? It Depends, Is Cryptocurrency “Money” or “Property”?",https://www.propertyinsurancecoveragelaw.com/2018/10/articles/insurance/is-cryptocurrency-covered-by-insurance-it-depends-is-cryptocurrency-money-or-property/,https://www.propertyinsurancecoveragelaw.com/files/2018/10/Cryptocurrency-669x229.jpg,24
