,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Elie Dolgin,"Jonathan Page has been around cannabis all his life. Growing up on Canadas Vancouver Island in the 1970s, he was surrounded by hippie beachcombers and dope smokers. So after earning a PhD in plant biology and phytochemistry, he felt completely at ease working… [+16105 chars]",Opportunities abound to improve the cultivation of a once-forbidden plant.,2018-10-17T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",What legal weed in Canada means for science,https://www.nature.com/articles/d41586-018-07037-1?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29,https://media.nature.com/lw1024/magazine-assets/d41586-018-07037-1/d41586-018-07037-1_16202114.jpg,51
1,Elie Dolgin,"Jonathan Page has been around cannabis all his life. Growing up on Canadas Vancouver Island in the 1970s, he was surrounded by hippie beachcombers and dope smokers. So after earning a PhD in plant biology and phytochemistry, he felt completely at ease working… [+16105 chars]",Opportunities abound to improve the cultivation of a once-forbidden plant.,2018-10-17T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",What legal weed in Canada means for science,https://www.nature.com/articles/d41586-018-07037-1,https://media.nature.com/lw1024/magazine-assets/d41586-018-07037-1/d41586-018-07037-1_16202114.jpg,53
2,AMANDA SEITZ and WILL WEISSERT,"Democratic Rep. Beto O'Rourke abandoned his optimistic tone and attacked Republican U.S. Senator Ted Cruz as ""Lyin"" Ted in their second debate before the election, borrowing a nickname first used by President Donald Trump. It was one of the challenger's last … [+5313 chars]","Democratic Rep. Beto O'Rourke abandoned his optimistic tone and attacked Republican U.S. Senator Ted Cruz as ""Lyin"" Ted in their second debate before the election, borrowing a nickname first used by President Donald Trump.",2018-10-17T00:05:00Z,"{'id': None, 'name': 'Startribune.com'}","AP FACT CHECK: Cruz, O'Rourke claims cite taxes, immigration",http://www.startribune.com/ap-fact-check-cruz-o-rourke-claims-cite-taxes-immigration/497765981/,http://assets.startribune.com/static/img/branding/logos/strib-social-card.png?d=1539630205,121
3,MATTHEW LEE,"WASHINGTON President Donald Trump put a big and risky bet on Saudi Arabia and its 33-year-old crown prince. It's now become much riskier. From the early days of his presidency, Trump and his foreign policy team embraced the kingdom and Mohammed bin Salman as … [+5949 chars]",President Donald Trump put a big and risky bet on Saudi Arabia and its 33-year-old crown prince. It's now become much riskier.,2018-10-17T00:05:00Z,"{'id': None, 'name': 'Startribune.com'}",Analysis: Trump's Saudi bet has become much riskier,http://www.startribune.com/analysis-trump-s-saudi-bet-has-become-much-riskier/497765961/,http://assets.startribune.com/static/img/branding/logos/strib-social-card.png?d=1539630205,123
4,MARLEY JAY,"US stocks rocketed to their biggest gain in six months on Tuesday following strong earnings from major financial and health care companies as well as encouraging reports on the US economy. The Dow Jones Industrial Average jumped 547 points. Morgan Stanley, Go… [+5184 chars]",US stocks rocketed to their biggest gain in six months on Tuesday following strong earnings from major financial and health care companies as well as encouraging reports on the US economy. The Dow Jones Industrial Average jumped 547 points.,2018-10-17T00:07:12Z,"{'id': None, 'name': 'Stuff.co.nz'}",US stocks lurch to biggest gain in six months after market rout,https://www.stuff.co.nz/business/world/107906213/US-stocks-lurch-to-biggest-gain-in-six-months-after-market-rout,https://resources.stuff.co.nz/content/dam/images/1/s/8/u/v/i/image.related.StuffLandscapeSixteenByNine.1420x800.1s8syt.png/1539735077588.jpg,55
5,Benny Avni,"President Trump is facing his trickiest diplomatic dilemma to date: how to punish a wayward ally, Saudi Arabia, without strengthening its regional foes particularly US enemies, like Iran. This is a far bigger issue than, say, Trumps crude tweets or past real-… [+4275 chars]","President Trump is facing his trickiest diplomatic dilemma to date: how to punish a wayward ally, Saudi Arabia, without strengthening its regional foes — particularly US enemies, like Iran. This is a far bigger issue than, say, Trump’s crude tweets or past re…",2018-10-17T00:07:19Z,"{'id': None, 'name': 'Nypost.com'}",Punish the Saudis — but not by rewarding Iran,https://nypost.com/2018/10/16/punish-the-saudis-but-not-by-rewarding-iran/,https://thenypost.files.wordpress.com/2018/10/saudi-arabia-khashoggi.jpg?quality=90&strip=all&w=1200,37
6,https://www.dailymail.co.uk/home/search.html?s=&authornamef=Reuters,"By Wayne Cole SYDNEY, Oct 17 (Reuters) - Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies. Japan's Nikkei … [+3200 chars]","By Wayne ColeSYDNEY, Oct 17 (Reuters) - Asian equities got some much  needed relief on Wednesday after upbeat U.S. earnings reports  drove a rebound on Wall...",2018-10-17T00:28:08Z,"{'id': 'daily-mail', 'name': 'Daily Mail'}",Asia shares rally as Wall St bounce relieves,https://www.dailymail.co.uk/wires/reuters/article-6284381/Asia-shares-rally-Wall-St-bounce-relieves.html,https://i.dailymail.co.uk/i/pix/m_logo_636x382px.png,86
7,Wayne Cole,SYDNEY (Reuters) - Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies. Japan's Nikkei.N225 leaped out of the… [+3241 chars],Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies.,2018-10-17T00:29:48Z,"{'id': 'reuters', 'name': 'Reuters'}",Asia shares rally as Wall Street bounce relieves,https://www.reuters.com/article/us-global-markets/asia-shares-rally-as-wall-street-bounce-relieves-idUSKCN1MR01U,https://s3.reutersmedia.net/resources/r/?m=02&d=20181017&t=2&i=1315510250&w=1200&r=LYNXNPEE9G00K,17
8,Wayne Cole,SYDNEY (Reuters) - Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies. Japan’s Nikkei leaped out of the gate… [+3119 chars],Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies.,2018-10-17T00:30:33Z,"{'id': 'reuters', 'name': 'Reuters'}",Asia shares rally as Wall St. bounce relieves,https://in.reuters.com/article/us-global-markets/asia-shares-rally-as-wall-street-bounce-relieves-idINKCN1MR01U,https://s3.reutersmedia.net/resources/r/?m=02&d=20181017&t=2&i=1315511468&w=1200&r=LYNXNPEE9G00K,87
9,Wayne Cole,SYDNEY (Reuters) - Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies. Japan’s Nikkei leaped out of the gate… [+3119 chars],Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies.,2018-10-17T00:34:14Z,"{'id': 'reuters', 'name': 'Reuters'}",Asia shares rally as Wall Street bounce relieves,https://ca.reuters.com/article/topNews/idCAKCN1MR01U-OCATP,https://s3.reutersmedia.net/resources/r/?m=02&d=20181017&t=2&i=1315511461&w=1200&r=LYNXNPEE9G00K-OCATP,127
10,,SYDNEY: Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies. Japan's Nikkei leaped out of the gates with an e… [+3149 chars],Asian equities got some much needed relief on Wednesday after upbeat U.S. earnings reports drove a rebound on Wall Street and helped restore a little confidence in emerging market stocks and currencies.,2018-10-17T00:35:30Z,"{'id': None, 'name': 'Channelnewsasia.com'}",Asia shares rally as Wall Street bounce relieves,https://www.channelnewsasia.com/news/business/asia-shares-rally-as-wall-street-bounce-relieves-10834818,http://www.channelnewsasia.com/image/10834816/16x9/991/557/b518018342deda1961b5d314f1c81a79/Uc/file-photo--a-logo-of-japan-exchange-group-inc--is-seen-on-a-gavel-before-the-new-year-opening-ceremony-at-the-tokyo-stock-exchange-1.jpg,33
11,"Hasan Dudar and Nathan Bomey and Deirdre Shesgreen, USA TODAY",WASHINGTON — The international outcry over Saudi Arabia’s alleged involvement in the disappearance of Saudi journalist Jamal Khashoggi in Turkey has triggered talk of a sudden spike in oil prices — and plenty of uncertainty — given the Middle Eastern country’… [+6123 chars],Punishment over Khashoggi could mean oil spike,2018-10-17T00:50:15Z,"{'id': None, 'name': 'Khou.com'}",Will oil prices rise in the wake of the missing Saudi journalist case?,https://www.khou.com/article/news/nation-now/will-oil-prices-rise-in-the-wake-of-the-missing-saudi-journalist-case/465-5d7d84bc-ad40-4792-a05a-d4ae90274b2a,https://media.khou.com/assets/GANNETT/images/31ee8db3-5538-47c7-8268-8bcacc3e1ea8/31ee8db3-5538-47c7-8268-8bcacc3e1ea8_1140x641.jpg,129
12,Reuters Editorial,"TOKYO (Reuters) - U.S. oil prices extended gains on Wednesday after industry data showed a surprise decline in U.S. crude inventories. U.S. West Texas Intermediate crude CLc1 was up 35 cents, or 0.5 percent, at $72.27 a barrel by 0007 GMT on Wednesday, having… [+2317 chars]",U.S. oil prices extended gains on Wednesday after industry data showed a surprise decline in U.S. crude inventories.,2018-10-17T00:50:41Z,"{'id': 'reuters', 'name': 'Reuters'}",Oil prices edge up on surprise drawdown in U.S. crude stockpiles,https://ca.reuters.com/article/businessNews/idCAKCN1MR03G-OCABS,https://s4.reutersmedia.net/resources/r/?m=02&d=20181017&t=2&i=1315522616&w=1200&r=LYNXNPEE9G01L-OCABS,117
13,Reuters Editorial,"TOKYO (Reuters) - U.S. oil prices extended gains on Wednesday after industry data showed a surprise decline in U.S. crude inventories. U.S. West Texas Intermediate crude was up 35 cents, or 0.5 percent, at $72.27 a barrel by 0007 GMT on Wednesday, having sett… [+2307 chars]",U.S. oil prices extended gains on Wednesday after industry data showed a surprise decline in U.S. crude inventories.,2018-10-17T00:51:50Z,"{'id': 'reuters', 'name': 'Reuters'}",Oil prices edge up on surprise drawdown in U.S. crude stockpiles,https://in.reuters.com/article/global-oil/oil-prices-edge-up-on-surprise-drawdown-in-u-s-crude-stockpiles-idINKCN1MR03I,https://s3.reutersmedia.net/resources/r/?m=02&d=20181017&t=2&i=1315515870&w=1200&r=LYNXNPEE9G01Q,44
